rank,song,artist
1,Nimekuzoea,Nandy
2,Feeling ft. Buju,"LADIPOE, Buju"
3,Show Me,Joeboy
4,Rock,Olamide
5,Kilometre,Burna Boy
6,Coachella ft. Kwesi Arthur,"Sarkodie, Kwesi Arthur"
7,For You,Teni
8,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",Jay Bahd
9,Slow Down,King Promise
10,Forever (Remix) ft. Omah Lay,"Gyakie, Omah Lay"
11,History ft. Fireboy DML,"Cheque, Fireboy DML"
12,Running (To You) ft. Simi,"Chike, Simi"
13,Bounce,Ruger
14,Dollar On You,Kuami Eugene
15,Baby Go ft. Kizz Daniel,"Otile Brown, Kizz Daniel"
16,Coming ft. Busiswa,"Naira Marley, Busiswa"
17,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur,"Yaw Tog, Stormzy, Kwesi Arthur"
18,Jailer (feat. Jaywillz),Olamide
19,"Africa, One Of A Kind","Angelique Kidjo, Mr Eazi, Salif Keita"
20,Essence (feat. Tems),Wizkid
21,Soundgasm,Rema
22,Outside,Buju
23,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest
24,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA
25,La La (feat. CKay),Davido
26,I Want (feat. Mutoriah),Chris Kaiga
27,Weekend,Eddy Kenzo
28,Bling (feat. Amaarae & Buju),Blaqbonez
29,LV N ATTN feat. Wizkid,"Lojay, Sarz"
30,Dimension (feat. Skepta & Rema),JAE5
31,Sika,Blxckie
32,Bobo,Aya Nakamura
33,Niko Sawa (feat. Bien),Nviiri The Storyteller
34,It Is What It Is,Adekunle Gold
35,Best I Ever Had,Nasty C
36,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah
37,GUPTA (feat. Lady Du & Mellow and Sleazy),"Focalistic, Mr JazziQ"
38,John Wick (feat. Sir Trill & Da Muziqal Chef),De Mthuda
39,"Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa)","Busta 929, Mpura"
40,Do I Qualify (feat. Han-C) [Edit],DJ Clock
41,Pronto,"Ajebo Hustlers, Omah Lay"
42,PEPE,"L.A.X, Davido"
43,Somebody Baby,"Davido, Peruzzi"
44,Thunder,Chrystel
45,I Miss You,Joda Kgosi
46,Felony,CKay
47,Le temps,Tayc
48,Stereo,Bensoul
49,Je veux que toi (feat. Fally Ipupa),Bramsito
50,Tornado,chuXchu
51,Questions,Shekhinah
52,Right Now,Elaine
53,Sere (Remix),"Spinall, Fireboy DML, 6LACK"
54,Baajo,"Kwesi Arthur, Joeboy"
55,Verified (feat. Mayorkun),Laycon
56,Akekho,KekeLingo
57,KOLO (feat. Oxlade),Ice Prince
58,Long Way,Emtee
59,Shine Your Light (feat. Akon),"Master KG, David Guetta"
60,Un coup (feat. Dadju),Fally Ipupa
61,Big Boss,Didi B
62,LEGGO,"Serge Ibaka, Tayc"
63,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido"
64,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky
65,Southy Love (feat. Fireboy DML),Peruzzi
66,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo, Blaqnick, MasterBlaq"
67,Rush,"Dangbana Republik, Bella Shmurda"
68,Nossas Coisas (feat. ARY),C4 pedro
69,La Vie Est Belle,"Kabza De Small, DJ Maphorisa, TRESOR"
70,Ebabayo (feat. Nokwazi),Prince Kaybee
71,Early Momo (feat. GoodGirl LA),Vector
72,THE 5 YEAR PLAN (feat. Wordz),A-Reece
73,Jennifer,GUCHI
74,Baikoko ft. Diamond Platnumz,Mbosso
75,First Sermon,Black Sherif
76,Such Kinda Love ft. Jovial,Otile Brown
77,Touch It,KiDi
78,Godly,Omah Lay
79,Sukari,Zuchu
80,Infinity ft. Omah Lay,Olamide
81,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba
82,Number One ft. Zuchu,Rayvanny
83,Nobody,Anjella
84,Abule,Patoranking
85,Focus,Joeboy
86,Yalaah,Mbosso
87,Kiss ft. Rayvanny,Bahati
88,Door ft. Kwesi Arthur,Joeboy
89,Cheketua ,Barnaba Classic  (TZ)
90,Spiritual ft. Kuami Eugene & Patoranking,KiDi
91,Biibi Besi ft. Kuami Eugene,Kwame Yogot
92,Lala ft. Jux,Rayvanny
93,Mtaalam,Mbosso
94,Attitude ft. Awilo Longomba & H Baba,Harmonize
95,AGYEIWAA ft. Reggie & City Boy,O'Kenneth
96,Wewe Ni Mungu,Bahati
97,Pete Yangu ft. Nadia Mukami,Bahati
98,Nyumba Ndogo,Zuchu
99,Najieka,Jay Melody
100,Tabia Za Wakenya (Kanairo),Mejja
