rank,song,artist,apple,boom,RT
1,Nimekuzoea,Nandy,1,5,3.5
2,Feeling ft. Buju,"LADIPOE, Buju",2,11,7.5
3,Show Me,Joeboy,7,22,18.0
4,Rock,Olamide,15,15,22.5
5,Kilometre,Burna Boy,23,14,30.0
6,Coachella ft. Kwesi Arthur,"Sarkodie, Kwesi Arthur",24,13,30.5
7,For You,Teni,28,21,38.5
8,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",Jay Bahd,27,31,42.5
9,Slow Down,King Promise,9,69,43.5
10,Forever (Remix) ft. Omah Lay,"Gyakie, Omah Lay",35,26,48.0
11,History ft. Fireboy DML,"Cheque, Fireboy DML",41,17,49.5
12,Running (To You) ft. Simi,"Chike, Simi",45,10,50.0
13,Bounce,Ruger,29,52,55.0
14,Dollar On You,Kuami Eugene,57,55,84.5
15,Baby Go ft. Kizz Daniel,"Otile Brown, Kizz Daniel",36,98,85.0
16,Coming ft. Busiswa,"Naira Marley, Busiswa",65,51,90.5
17,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur,"Yaw Tog, Stormzy, Kwesi Arthur",72,47,95.5
18,Jailer (feat. Jaywillz),Olamide,3,250,128.0
19,"Africa, One Of A Kind","Angelique Kidjo, Mr Eazi, Salif Keita",4,250,129.0
20,Essence (feat. Tems),Wizkid,5,250,130.0
21,Soundgasm,Rema,6,250,131.0
22,Outside,Buju,8,250,133.0
23,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest,10,250,135.0
24,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA,11,250,136.0
25,La La (feat. CKay),Davido,12,250,137.0
26,I Want (feat. Mutoriah),Chris Kaiga,13,250,138.0
27,Weekend,Eddy Kenzo,14,250,139.0
28,Bling (feat. Amaarae & Buju),Blaqbonez,16,250,141.0
29,LV N ATTN feat. Wizkid,"Lojay, Sarz",17,250,142.0
30,Dimension (feat. Skepta & Rema),JAE5,18,250,143.0
31,Sika,Blxckie,19,250,144.0
32,Bobo,Aya Nakamura,20,250,145.0
33,Niko Sawa (feat. Bien),Nviiri The Storyteller,21,250,146.0
34,It Is What It Is,Adekunle Gold,22,250,147.0
35,Best I Ever Had,Nasty C,25,250,150.0
36,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,26,250,151.0
37,GUPTA (feat. Lady Du & Mellow and Sleazy),"Focalistic, Mr JazziQ",30,250,155.0
38,John Wick (feat. Sir Trill & Da Muziqal Chef),De Mthuda,31,250,156.0
39,"Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa)","Busta 929, Mpura",32,250,157.0
40,Do I Qualify (feat. Han-C) [Edit],DJ Clock,33,250,158.0
41,Pronto,"Ajebo Hustlers, Omah Lay",34,250,159.0
42,PEPE,"L.A.X, Davido",37,250,162.0
43,Somebody Baby,"Davido, Peruzzi",38,250,163.0
44,Thunder,Chrystel,39,250,164.0
45,I Miss You,Joda Kgosi,40,250,165.0
46,Felony,CKay,42,250,167.0
47,Le temps,Tayc,43,250,168.0
48,Stereo,Bensoul,44,250,169.0
49,Je veux que toi (feat. Fally Ipupa),Bramsito,46,250,171.0
50,Tornado,chuXchu,47,250,172.0
51,Questions,Shekhinah,48,250,173.0
