rank,song,artist,apple,boom,spotify,RT
1,Feeling,"LADIPOE, Buju",4,9,5,6
2,Rock,Olamide,8,12,14,11.33333333
3,Kilometre,Burna Boy,50,21,3,24.66666667
4,Kamata,Diamond Platnumz,46,1,28,25
5,Bounce,Ruger,28,40,7,25
6,Running (To You),"Chike, Simi",62,17,12,30.33333333
7,Somebody (feat. Phyno),Olamide,2,55,41,32.66666667
8,Slow Down,King Promise,5,66,32,34.33333333
9,Forever (Remix),"Gyakie, Omah Lay",58,34,11,34.33333333
10,Coming,"Naira Marley, Busiswa",56,63,10,43
11,Door,Joeboy,200,28,6,78
12,Nimekuzoea,Nandy,6,3,225,78
13,Baikoko,Mbosso,200,6,35,80.33333333
14,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,200,8,34,80.66666667
15,Touch It,KiDi,200,5,38,81
16,Focus,Joeboy,200,31,19,83.33333333
17,Siyathandana,Cassper Nyovest,1,250,2,84.33333333
18,Essence (feat. Tems),Wizkid,3,250,8,87
19,Soundgasm,Rema,10,250,1,87
20,Show Me,Joeboy,16,20,225,87
21,Coachella ft. Kwesi Arthur,"Sarkodie, Kwesi Arthur",45,13,225,94.33333333
22,LV N ATTN feat. Wizkid,"Lojay, Sarz",13,250,22,95
23,Confident,"Savage, Buju",22,250,18,96.66666667
24,Send Me Nudes (feat. Joey B),KiDi,200,86,4,96.66666667
25,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,"DJ Tarico, Burna Boy",18,250,23,97
26,Dimension (feat. Skepta & Rema),JAE5,34,250,9,97.66666667
27,For You,Teni,48,35,225,102.6666667
28,History ft. Fireboy DML,"Cheque, Fireboy DML",61,22,225,102.6666667
29,Outside,Buju,7,77,225,103
30,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",Jay Bahd,52,32,225,103
31,Celebrate Me,Patoranking,200,82,30,104
32,Niko Sawa,Nviiri The Storyteller,33,250,40,107.6666667
33,Bobo,Aya Nakamura,29,81,225,111.6666667
34,GUPTA,"Focalistic, Mr JazziQ",53,250,36,113
35,John Wick,De Mthuda,54,250,39,114.3333333
36,Nossas Coisas (feat. Ary),C4 pedro,68,250,31,116.3333333
37,PEPE,"L.A.X, Davido",59,250,42,117
38,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,51,79,225,118.3333333
39,Khuza Gogo,"DBN Gogo, Blaqnick, MasterBlaq",65,250,46,120.3333333
40,Dollar On You,Kuami Eugene,71,65,225,120.3333333
41,Such Kinda Love ft. Jovial,Otile Brown,200,2,225,142.3333333
42,Jennifer,GUCHI,200,4,225,143
43,Nyumba Ndogo,Zuchu,200,7,225,144
44,First Sermon,Black Sherif,200,10,225,145
45,Godly,Omah Lay,200,11,225,145.3333333
46,Salute (feat. Rudeboy),Alikiba,200,14,225,146.3333333
47,Sukari,Zuchu,200,15,225,146.6666667
48,Infinity ft. Omah Lay,Olamide,200,16,225,147
49,Jennifer Remix ft. Rayvanny,GUCHI,200,18,225,147.6666667
50,Kiss ft. Rayvanny,Bahati,200,19,225,148
51,Nobody,Anjella,200,23,225,149.3333333
52,Sandakalawe,Harmonize,200,24,225,149.6666667
53,Number One ft. Zuchu,Rayvanny,200,25,225,150
54,Pete Yangu ft. Nadia Mukami,Bahati,200,26,225,150.3333333
55,Jeraha ft. Jovial,Otile Brown,200,27,225,150.6666667
56,Spiritual ft. Kuami Eugene & Patoranking,KiDi,200,29,225,151.3333333
57,Yalaah,Mbosso,200,30,225,151.6666667
58,Abule,Patoranking,200,33,225,152.6666667
59,New Couple,Nandy,200,36,225,153.6666667
60,Adom Grace,Diana Hamilton,200,37,225,154
61,MOSLADO,Teni,200,250,13,154.3333333
62,Enfant de Dieu ( Lhymne national),Ks bloom,200,38,225,154.3333333
63,Big Thug Boys,AV,200,39,225,154.6666667
64,Falling For U,Blaq Jerzee,200,250,15,155
65,Banyana,"DJ Maphorisa, Daliwonga, Kabza De Small",200,250,16,155.3333333
66,Cheketua ,Barnaba Classic  (TZ),200,41,225,155.3333333
67,Kilofese - Remix,Zinoleesky,200,250,17,155.6666667
68,Najieka,Jay Melody,200,42,225,155.6666667
69,Biibi Besi ft. Kuami Eugene,Kwame Yogot,200,43,225,156
70,Mtaalam,Mbosso,200,44,225,156.3333333
71,Music Messiah,DJ Neptune,200,250,20,156.6666667
72,Tabia Za Wakenya (Kanairo),Mejja,200,45,225,156.6666667
73,Praise,Fameye,200,46,225,157
74,Koroba,Tiwa Savage,200,250,21,157
75,Lala ft. Jux,Rayvanny,200,47,225,157.3333333
76,Cheche ft. Diamond Platnumz,Zuchu,200,48,225,157.6666667
77,Need For Speed,Olamide,200,49,225,158
78,Bosana,El Mukuka,200,250,24,158
79,Berna Reloaded ft. Fally Ipupa & Diamond Platnumz,Flavour,200,50,225,158.3333333
80,Let Dem Kno,Smallgod,200,250,25,158.3333333
81,Dinaledi,Major League Djz,200,250,26,158.6666667
82,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay,Justin Bieber,200,51,225,158.6666667
83,Breakup Riddim,DJ Aroma,200,250,27,159
84,OLOFOFO,Victor AD,200,52,225,159
85,E Choke ft. Mr Drew,Sefa,200,53,225,159.3333333
86,Regina ft. Jux,Otile Brown,200,54,225,159.6666667
87,Yebo Teacher,Moonchild Sanelly,200,250,29,159.6666667
88,Mon soleil ft. Anitta,Dadju,200,56,225,160.3333333
89,Kiss Me,Mbosso,200,57,225,160.6666667
90,This Your Body,Skales,200,250,33,161
91,Vibaya,Harmonize,200,58,225,161
92,Happy Day ft. Kuami Eugene,Sarkodie,200,59,225,161.3333333
93,Bling (feat. Amaarae & Buju),Blaqbonez,9,250,225,161.3333333
94,"Champions League ft. Fameye, Kelvyn Boy, Kofi Mole & Quamina Mp",Wendy Shay,200,60,225,161.6666667
95,Jack,Nasty C,11,250,225,162
96,Lissa,Rapcha,200,61,225,162
97,Woza,Mr JazziQ,200,250,37,162.3333333
98, Litawachoma ft. Diamond Platnumz,Zuchu,200,62,225,162.3333333
99,Hold,Blxckie,12,250,225,162.3333333
100,Golden Boy,KiDi,200,64,225,163
101,Fine Wine (feat. King Promise & Joeboy),R2Bees,14,250,225,163
102,All (feat. Davido),Rexxie,15,250,225,163.3333333
103,In Love ft. AliKiba,Otile Brown,200,67,225,164
104,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA,17,250,225,164
105,Attitude ft. Awilo Longomba & H Baba,Harmonize,200,68,225,164.3333333
106,Sekkle & Bop (feat. Popcaan),Mr Eazi,200,250,43,164.3333333
107,Southy Love (feat. Fireboy DML),Peruzzi,19,250,225,164.6666667
108,KPK (Ko Por Ke),Rexxie,200,250,44,164.6666667
109,Jolie madame ft. Ronisia,JoDwet Fil,200,69,225,164.6666667
110,Meliza,DJ Flex,200,250,45,165
111,Bad Influence ,Omah Lay,200,70,225,165
112,"Samsokolo (feat. Mr JazziQ, Sir Trill, ThackzinDJ & Boohle) [Radio Edit]","Tee Jay, Rascoe Kaos",20,250,225,165
113,"Africa, One Of A Kind","Angelique Kidjo, Mr Eazi, Salif Keita",21,250,225,165.3333333
114,Mood,Mr Drew,200,71,225,165.3333333
115,Señorita,Rayvanny,200,250,47,165.6666667
116,You Are Yahweh,Steve Crown,200,72,225,165.6666667
117,Jowo,DaVido,200,250,48,166
118,Dusuma ft. Meddy,Otile Brown,200,73,225,166
119,It Is What It Is,Adekunle Gold,23,250,225,166
120,Rotate (Freestyle),Mr Eazi,200,74,225,166.3333333
121,Le temps,Tayc,24,250,225,166.3333333
122,Baajo,Kwesi Arthur,200,250,49,166.3333333
123,AGYEIWAA ft. Reggie & City Boy,O'Kenneth,200,75,225,166.6666667
124,Ex,Nikita Kering,25,250,225,166.6666667
125,"Congratulations ft, Buchi",Ada Ehi,200,76,225,167
126,"Dangerous Love (feat. Mugeez, Efya & R2Bees)",Omar Sterling,26,250,225,167
127,Rise of the Underdogs 2 (feat. Tomi Thomas),Show Dem Camp,27,250,225,167.3333333
128,Roho,Killy (TZ),200,78,225,167.6666667
129,Fall,Mbosso,200,80,225,168.3333333
130,I Want (feat. Mutoriah),Chris Kaiga,30,250,225,168.3333333
131,KOLO (feat. Oxlade),Ice Prince,31,250,225,168.6666667
132,Tornado,chuXchu,32,250,225,169
133,You,Omah Lay,200,83,225,169.3333333
134,La La (feat. CKay),Davido,35,250,225,170
135,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur,Yaw Tog,200,85,225,170
136,Verified (feat. Mayorkun),Laycon,36,250,225,170.3333333
137,Ngilimele (feat. Q Twins),DJ Tira,37,250,225,170.6666667
138,Sor Mi Mu (ft. Bisa Kdei),Gyakie,200,87,225,170.6666667
139,Felony,CKay,38,250,225,171
140,Waah! ft. Koffi Olomide,Diamond Platnumz,200,88,225,171
141,Early Momo (feat. GoodGirl LA),Vector,39,250,225,171.3333333
142,Call,Joeboy,200,89,225,171.3333333
143,Baby Go,"Otile Brown, Kizz Daniel",40,250,225,171.6666667
144,Bad Habits,Ed Sheeran,200,90,225,171.6666667
145,Jiggy,Ciza,41,250,225,172
146,Odi Love ft. Klons Melody,Willy Paul,200,91,225,172
147,I Wanna Dance with Somebody,Whitney Houston,200,92,225,172.3333333
148,Enough,Hersh,42,250,225,172.3333333
149,Xxikiwawa (feat. Pholoso & DJ Khosto),"DJ Fortee, Black Motion, Lady Du",43,250,225,172.6666667
150,If You No Love,Chike,200,93,225,172.6666667
151,Do Lemi Go ft. Ibraah,Kinata Mc,200,94,225,173
152,Ba Xolele (feat. Guyu Pane & YoungStunner) [729 Street Vocal],Dzo 729,44,250,225,173
153,Like I Do,Fireboy DML,200,95,225,173.3333333
154,True Love ft Mo Dewji,Tunda Man,200,96,225,173.6666667
155,Kiuno,Rayvanny,200,97,225,174
156,Weekend,Eddy Kenzo,47,250,225,174
157,Ama,Medikal,200,98,225,174.3333333
158,K:HOVA,K.O,49,250,225,174.6666667
159,Sadik Lady,Viviane Chidid,200,99,225,174.6666667
160,"Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa)","Busta 929, Mpura",55,250,225,176.6666667
161,Pronto,"Ajebo Hustlers, Omah Lay",57,250,225,177.3333333
162,Somebody Baby,"Davido, Peruzzi",60,250,225,178.3333333
163,Je veux que toi (feat. Fally Ipupa),Bramsito,63,250,225,179.3333333
164,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,64,250,225,179.6666667
165,Questions,Shekhinah,66,250,225,180.3333333
166,Sere (Remix),"Spinall, Fireboy DML, 6LACK",67,250,225,180.6666667
167,Long Way,Emtee,69,250,225,181.3333333
168,Shine Your Light (feat. Akon),"Master KG, David Guetta",70,250,225,181.6666667
169,Un coup (feat. Dadju),Fally Ipupa,72,250,225,182.3333333
170,Big Boss,Didi B,74,250,225,183
171,LEGGO,"Serge Ibaka, Tayc",75,250,225,183.3333333
172,La Vie Est Belle,"Kabza De Small, DJ Maphorisa, TRESOR",76,250,225,183.6666667
