,rank,song,artist,Previous week,weeks on chart
0,1,Feeling ft. Buju,LADIPOE and  Buju,1,6
1,2,Kilometre,Burna Boy,5,6
2,3,Bounce,Ruger,3,6
3,4,Rock,Olamide,14,6
4,5,Kamata,Diamond Platnumz,4,5
5,6,Forever (Remix) ft. Omah Lay,Gyakie and  Omah Lay,7,6
6,7,Coming ft. Busiswa,Naira Marley and  Busiswa,8,6
7,8,Soundgasm,Rema,10,6
8,9,Essence (feat. Tems),Wizkid,11,6
9,10,Big Thug Boys,AV,12,6
10,11,Understand,Omah Lay,2,6
11,12,Coachella ft. Kwesi Arthur,Sarkodie and  Kwesi Arthur,15,6
12,13,Outside,Buju,13,6
13,14,For You,Teni,16,6
14,15,Running (To You) ft. Simi,Chike and  Simi,6,6
15,16,History ft. Fireboy DML,Cheque and  Fireboy DML,17,6
16,17,Sinner,Adekunle Gold and  Lucky Daye,18,6
17,18,Slow Down,King Promise,9,2
18,19,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,DJ Tarico and  Burna Boy,43,6
19,20,Infinity ft. Omah Lay,Olamide,20,6
20,21,Somebody ft. Phyno,Olamide,19,6
21,22,Godly,Omah Lay,21,2
22,23,Vibration,Sarkodie,23,2
23,24,Bad Influence,Omah Lay,25,4
24,25,LV N ATTN feat. Wizkid,Lojay,28,2
25,26,Door ft. Kwesi Arthur,Joeboy,26,6
26,27,KPK (Ko Por Ke),Rexxie,34,5
27,28,Nobody,Anjella,29,6
28,29,Bling (feat. Amaarae & Buju),Blaqbonez,32,3
29,30,Focus,Joeboy,30,5
30,31,Touch It,KiDi,36,4
31,32,Second Sermon,Black Sherif,0,1
32,33,Baikoko ft. Diamond Platnumz,Mbosso,33,6
33,34,Felony,CKay,39,3
34,35,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,27,2
35,36,Show Me,Joeboy,37,5
36,37,Nimekuzoea,Nandy,31,5
37,38,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest,38,6
38,39,Dimension (feat. Skepta & Rema),JAE5,40,2
39,40,Celebrate Me,Patoranking,47,6
40,41,Somebody Baby,Davido and  Peruzzi,42,5
41,42,Medicine,Jaywillz,46,2
42,43,Shopping Spree (feat. Chris Brown & Young Thug),Davido,0,1
43,44,Niko Sawa (feat. Bien),Nviiri The Storyteller,48,5
44,45,Ex,Nikita Kering,53,6
45,46,Kilofese,Zinoleesky,49,2
46,47,Confident,Savage and  Buju,45,6
47,48,GUPTA (feat. Lady Du & Mellow and Sleazy),Focalistic and  Mr JazziQ,50,6
48,49,Nossas Coisas (feat. ARY),C4 pedro,52,4
49,50,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo,  Blaqnick and  MasterBlaq",56,6
50,51,Maserati (Remix),Olakira,57,6
51,52,It Is What It Is,Adekunle Gold,35,4
52,53,Damages,Tems,58,2
53,54,Activate,Stonebwoy,63,2
54,55,AG Baby,Adekunle Gold,64,4
55,56,Such Kinda Love ft. Jovial,Otile Brown,60,6
56,57,Ke Star (Remix),Focalistic,66,2
57,58,Jennifer,GUCHI,62,2
58,59,Nyumba Ndogo,Zuchu,61,2
59,60,Summeryomuthi,Blaq Diamond,67,4
60,61,23,Burna Boy,68,4
61,62,Salute (feat. Rudeboy),Alikiba,65,4
62,63,Hallelu,Masterkraft,70,2
63,64,Woman,Rema,71,2
64,65,Joro,Wizkid,72,4
65,66,Away,Ayra Starr,73,2
66,67,The Best (feat. Mayorkun),DaVido,75,2
67,68,Sukari,Zuchu,69,2
68,69,MAD,Sarz,76,6
69,70,Ginger (feat. Burna Boy),Wizkid,78,2
70,71,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz,0,1
71,72,Baajo,Kwesi Arthur,79,2
72,73,Pronto,Ajebo Hustlers,82,2
73,74,Jeraha ft. Jovial,Otile Brown,74,4
74,75,Kilofeshe,Zinoleesky,83,2
75,76,Number One ft. Zuchu,Rayvanny,77,2
76,77,Again,Wande Coal,86,6
77,78,Champion,Fireboy Dml,87,2
78,79,E Choke ft. Mr Drew,Sefa,81,2
79,80,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga",JAY BAHD,44,4
80,81,Sandakalawe,Harmonize,80,3
81,82,Yalaah,Mbosso,85,2
82,83,Adom Grace,Diana Hamilton,88,2
83,84,Tabia Za Wakenya (Kanairo),Mejja,93,3
84,85,Testimony,Buju,0,1
85,86,MOSLADO,Teni,91,2
86,87,Abule,Patoranking,89,2
87,88,Mtaalam,Mbosso,90,4
88,89,Enfant de Dieu ( Lhymne national),Ks bloom,84,4
89,90,Mwisho,Killy (TZ),94,4
90,91,Biibi Besi ft. Kuami Eugene,Kwame Yogot,92,4
91,92,Let Dem Kno,Smallgod,0,1
92,93,Dinaledi,Major League Djz,0,1
93,94,Mood,Mr Drew,24,2
94,95,Pains,Mr Drew,0,1
95,96,Mon soleil ft. Anitta,Dadju,100,4
96,97,Cheche ft. Diamond Platnumz,Zuchu,96,4
97,98,La Mour,KS Bloom,98,2
98,99,Send Me Nudes (feat. Joey B),KiDi,41,4
99,100,Music Messiah,DJ Neptune,0,1
