rank,song,artist,apple,boom,spotify,deezer,RT
1,Understand,Omah Lay,3,2,2,4,2.75
2,Feeling,LADIPOE and  Buju,6,8,9,1,6.0
3,Essence (feat. Tems),Wizkid,5,3,1,20,7.25
4,Big Thug Boys,AV,20,27,3,16,16.5
5,Bounce,Ruger,18,35,13,2,17.0
6,Sinner,Adekunle Gold and  Lucky Daye,8,40,7,19,18.5
7,Peru,Fireboy DML,9,10,53,6,19.5
8,Kilometre,Burna Boy,49,26,20,31,31.5
9,Running (To You),Chike and  Simi,37,30,37,24,32.0
10,Rock,Olamide,30,47,39,28,36.0
11,Slow Down,King Promise,16,100,27,23,41.5
12,Coming,Naira Marley and  Busiswa,48,63,33,33,44.25
13,Yaba Buluku (Remix),DJ Tarico and  Burna Boy,68,52,43,22,46.25
14,Kamata,Diamond Platnumz,200,17,23,21,65.25
15,Soundgasm,Rema,23,250,4,3,70.0
16,Forever (Remix),Gyakie,200,75,18,7,75.0
17,Lie,Kizz Daniel,4,14,21,270,77.25
18,Second Sermon,Black Sherif,65,1,225,27,79.5
19,Outside,Buju,21,93,225,14,88.25
20,Touch It,KiDi,200,7,225,9,110.25
21,Infinity,Olamide,200,16,225,8,112.25
22,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz,200,9,225,15,112.25
23,Jealous (feat. Mayorkun),Alikiba,200,19,225,12,114.0
24,Godly,Omah Lay,200,12,225,32,117.25
25,FOR YOU,Marioo (TZ),200,48,225,11,121.0
26,History,Cheque,200,34,225,36,123.75
27,Monalisa,Lojay and  Sarz,12,250,225,18,126.25
28,LV N ATTN feat. Wizkid,Lojay,200,250,25,34,127.25
29,Door,Joeboy,200,24,16,270,127.5
30,Bad Influence,Omah Lay,200,69,225,17,127.75
31,Mood,Mr Drew,200,76,225,30,132.75
32,Medicine,Jaywillz,25,15,225,270,133.75
33,Ojuju,Troniq Music and  Oxlade,1,250,14,270,133.75
34,Banyana,"DJ Maphorisa, Kabza De Small",200,250,47,39,134.0
35,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,200,37,31,270,134.5
36,Show Me,Joeboy,28,21,225,270,136.0
37,Bling (feat. Amaarae & Buju),Blaqbonez,34,250,225,40,137.25
38,Focus,Joeboy,200,38,50,270,139.5
39,Felony,CKay,43,250,225,41,139.75
40,NEED ME,Gyakie,29,44,225,270,142.0
41,Shopping Spree (feat. Chris Brown & Young Thug),Davido,51,250,5,270,144.0
42,Nimekuzoea,Nandy,76,5,225,270,144.0
43,Ex,Nikita Kering,50,250,10,270,145.0
44,Non Living Thing (feat. Oxlade),Sarkodie,31,250,32,270,145.75
45,Izolo,DJ Maphorisa and  Tyler ICU,10,250,54,270,146.0
46,Feel Good,MohBad,26,64,225,270,146.25
47,Dimension (feat. Skepta & Rema),JAE5,40,250,30,270,147.5
48,Siyathandana,Cassper Nyovest,59,250,19,270,149.5
49,Ring My Line (feat. Headie One),King Promise,27,250,56,270,150.75
50,Joy,Blxckie and  Oxlade,41,250,52,270,153.25
51,Kilofese,Zinoleesky,47,250,49,270,154.0
52,Emlanjeni,De Mthuda and  Sir Trill,60,250,40,270,155.0
53,Ba Xolele,Dzo 729,61,250,41,270,155.5
54,Nossas Coisas (feat. Ary),C4 pedro,72,250,38,270,157.5
55,Niko Sawa,Nviiri The Storyteller,71,250,42,270,158.25
56,Bobo,Aya Nakamura,57,83,225,270,158.75
57,It Is What It Is,Adekunle Gold,200,250,225,5,170.0
58,Maserati (Remix),Olakira,200,250,225,10,171.25
59,Damages,Tems,200,250,225,13,172.0
60,First Sermon,Black Sherif,200,4,225,270,174.75
61,Coachella,Sarkodie,200,250,225,25,175.0
62,Baby I'm Jealous,Mr Eazi,200,250,225,26,175.25
63,Such Kinda Love ft. Jovial,Otile Brown,200,6,225,270,175.25
64,Vibration,Fireboy Dml,200,250,225,29,176.0
65,Nyumba Ndogo,Zuchu,200,11,225,270,176.5
66,Baikoko ft. Diamond Platnumz,Mbosso,200,13,225,270,177.0
67,Activate,Stonebwoy,200,250,225,35,177.5
68,Ke Star (Remix),Focalistic,200,250,225,37,178.0
69,Jennifer,GUCHI,200,18,225,270,178.25
70,AG Baby,Adekunle Gold,200,250,225,38,178.25
71,Salute (feat. Rudeboy),Alikiba,200,20,225,270,178.75
72,23,Burna Boy,200,250,225,42,179.25
73,Sukari,Zuchu,200,22,225,270,179.25
74,Kiss ft. Rayvanny,Bahati,200,23,225,270,179.5
75,Summeryomuthi,Blaq Diamond,200,250,225,43,179.5
76,MAD,Sarz,200,250,225,44,179.75
77,Jeraha ft. Jovial,Otile Brown,200,25,225,270,180.0
78,Hallelu,Masterkraft,200,250,225,45,180.0
79,Somebody Baby,Peruzzi,200,250,225,46,180.25
80,Woman,Rema,200,250,225,47,180.5
81,Away,Ayra Starr,200,250,225,48,180.75
82,Number One ft. Zuchu,Rayvanny,200,28,225,270,180.75
