rank,song,artist,Previous week,weeks on chart
1,Understand,Omah Lay,1,9
2,Peru,Fireboy DML,7,9
3,Lie,Kizz Daniel,17,9
4,Feeling ft. Buju,LADIPOE and  Buju,2,9
5,Bounce,Ruger,5,8
6,Big Thug Boys,AV,4,9
7,Essence (feat. Tems),Wizkid,3,9
8,Sinner,Adekunle Gold and  Lucky Daye,6,9
9,Running (To You) ft. Simi,Chike and  Simi,9,9
10,Rock,Olamide,10,9
11,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,DJ Tarico and  Burna Boy,13,9
12,Coming ft. Busiswa,Naira Marley and  Busiswa,12,9
13,Kamata,Diamond Platnumz,14,9
14,Kilometre,Burna Boy,8,9
15,Soundgasm,Rema,15,9
16,Second Sermon,Black Sherif,18,9
17,Outside,Buju,19,2
18,Slow Down,King Promise,11,5
19,Ring My Line (feat. Headie One),King Promise,49,9
20,Touch It,KiDi,20,9
21,Infinity ft. Omah Lay,Olamide,21,9
22,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",Diamond Platnumz,22,3
23,Jealous (feat. Mayorkun) ,Alikiba,23,5
24,Godly,Omah Lay,24,3
25,Forever (Remix) ft. Omah Lay,Gyakie,16,5
26,For You,Marioo (TZ),25,9
27,History ft. Fireboy DML,Cheque,26,8
28,Monalisa,Lojay and  Sarz,27,9
29,Door ft. Kwesi Arthur,Joeboy,29,3
30,Bad Influence,Omah Lay,30,8
31,Ojuju,Troniq Music and  Oxlade,33,7
32,Medicine,Jaywillz,32,4
33,LV N ATTN feat. Wizkid,Lojay,28,2
34,Izolo,DJ Maphorisa and  Tyler ICU,45,6
35,Show Me,Joeboy,36,5
36,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,35,8
37,Felony,CKay,39,3
38,Joy,Blxckie and  Oxlade,50,9
39,Anoti,Wizkid,0,1
40,NEED ME,Gyakie,40,2
41,Nimekuzoea,Nandy,42,8
42,Question (feat. Don Jazzy),Burna Boy,0,1
43,Let Me Know,Mayorkun,0,1
44,Shopping Spree (feat. Chris Brown & Young Thug),Davido,41,3
45,Feel Good,MohBad,46,2
46,Dimension (feat. Skepta & Rema),JAE5,47,2
47,Ex,Nikita Kering,43,3
48,Non Living Thing (feat. Oxlade),Sarkodie,44,9
49,Ba Xolele,Dzo 729,53,2
50,Songi Songi ft. Hiro,Maud Elka,0,1
51,Emlanjeni,De Mthuda and  Sir Trill,52,9
52,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest,48,7
53,Niko Sawa (feat. Bien),Nviiri The Storyteller,55,2
54,Bobo,Aya Nakamura,56,5
55,Nossas Coisas (feat. ARY),C4 pedro,54,7
56,It Is What It Is,Adekunle Gold,57,3
57,Bloody Samaritan,Ayra Starr,0,1
58,Maserati (Remix),Olakira,58,5
59,Damages,Tems,59,5
60,Such Kinda Love ft. Jovial,Otile Brown,63,2
61,First Sermon,Black Sherif,60,7
62,Baby I'm Jealous,Mr Eazi,62,7
63,Vibration,Fireboy Dml,64,5
64,Coachella ft. Kwesi Arthur,Sarkodie,61,5
65,Nyumba Ndogo,Zuchu,65,7
66,Mood,Mr Drew,31,5
67,Baikoko ft. Diamond Platnumz,Mbosso,66,5
68,Activate,Stonebwoy,67,5
69,Kiss ft. Rayvanny,Bahati,74,9
70,Ke Star (Remix),Focalistic,68,5
71,AG Baby,Adekunle Gold,70,4
72,Sukari,Zuchu,73,5
73,Bling (feat. Amaarae & Buju),Blaqbonez,37,5
74,Jennifer,GUCHI,69,2
75,Banyana,DJ Maphorisa,34,3
76,Fake Ex,Yaw Tog,84,5
77,23,Burna Boy,72,9
78,Salute (feat. Rudeboy),Alikiba,71,5
79,MAD,Sarz,76,5
80,Hallelu,Masterkraft,78,3
81,Jeraha ft. Jovial,Otile Brown,77,6
82,Somebody Baby,Peruzzi,79,5
83,Number One ft. Zuchu,Rayvanny,82,5
84,Woman,Rema,80,2
85,Adom Grace,Diana Hamilton,86,4
86,Summeryomuthi,Blaq Diamond,75,5
87,Ababuyanga,Aymos,87,2
88,Celebrate Me,Patoranking,89,2
89,Mtaalam,Mbosso,90,7
90,Somebody’s Son (Ft Brandy),Tiwa Savage,0,1
91,Focus,Joeboy,38,7
92,Sweet ft. GUCHI,Rayvanny,88,2
93,Enfant de Dieu ( Lhymne national),Ks bloom,91,2
94,Abule,Patoranking,96,2
95,All of This (Jorja Smith x GuiltyBeatz),Jorja Smith,92,4
96,Fashion Killer,Ayra Starr,93,3
97,Coachella feat. Kwesi Arthur,Sarkodie,0,1
98,Love Me,Juls,0,1
99,Yalaah,Mbosso,95,7
100,Yalaaaa,Zuchu,0,1
