Position,song,artist,album
1,Nimekuzoea,Nandy,Taste - EP
2,Feeling,"LADIPOE, Buju",Feeling - Single
3,Jailer (feat. Jaywillz),Olamide,UY Scuti
4,"Africa, One Of A Kind","Angelique Kidjo, Mr Eazi, Salif Keita",Mother Nature
5,Essence (feat. Tems),Wizkid,Made In Lagos
6,Soundgasm,Rema,Soundgasm - Single
7,Show Me,Joeboy,Somewhere Between Beauty & Magic
8,Outside,Buju,Outside - Single
9,Slow Down,King Promise,Slow Down - Single
10,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest,Sweet And Short 2.0
11,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA,Umshiso
12,La La (feat. CKay),Davido,A Better Time
13,I Want (feat. Mutoriah),Chris Kaiga,I Want (feat. Mutoriah) - Single
14,Weekend,Eddy Kenzo,Made in Africa
15,Rock,Olamide,UY Scuti
16,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
17,LV N ATTN feat. Wizkid,"Lojay, Sarz",LV N ATTN - EP
18,Dimension (feat. Skepta & Rema),JAE5,Dimension (feat. Skepta & Rema) - Single
19,Sika,Blxckie,B4now
20,Bobo,Aya Nakamura,Bobo - Single
21,Niko Sawa (feat. Bien),Nviiri The Storyteller,Kitenge - EP
22,It Is What It Is,Adekunle Gold,It Is What It Is - Single
23,Kilometre,Burna Boy,Kilometre - Single
24,Coachella,"Sarkodie, Kwesi Arthur",Coachella - Single
25,Best I Ever Had,Nasty C,Best I Ever Had - Single
26,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE) - Single
27,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth)",Jay Bahd,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth) - Single"
28,FOR YOU (feat. Davido),Teni,WONDALAND
29,Bounce,Ruger,PANDEMIC - EP
30,GUPTA (feat. Lady Du & Mellow and Sleazy),"Focalistic, Mr JazziQ",GUPTA (feat. Lady Du & Mellow and Sleazy) - Single
31,John Wick (feat. Sir Trill & Da Muziqal Chef),De Mthuda,Ace Of Spades (Reshuffle) - Single
32,"Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa)","Busta 929, Mpura","Umsebenzi Wethu (feat. Zuma, Mr JazziQ, Lady Du & Reece Madlisa) - Single"
33,Do I Qualify (feat. Han-C) [Edit],DJ Clock,Do I Qualify (feat. Han-C) - Single
34,Pronto,"Ajebo Hustlers, Omah Lay",Pronto - Single
35,Forever (Remix),"Gyakie, Omah Lay",Forever (Remix)
36,Baby Go,"Otile Brown, Kizz Daniel",Baby Go - Single
37,PEPE,"L.A.X, Davido",PEPE - Single
38,Somebody Baby,"Davido, Peruzzi",Rum & Boogie
39,Thunder,Chrystel,Prey - Single
40,I Miss You,Joda Kgosi,Sour Milk
41,History,"Cheque, Fireboy DML",History - Single
42,Felony,CKay,Boyfriend
43,Le temps,Tayc,Fleur froide (Donum Novae)
44,Stereo,Bensoul,Medicine - EP
45,Running (To You),"Chike, Simi",Running (To You) - Single
46,Je veux que toi (feat. Fally Ipupa),Bramsito,Substance
47,Tornado,chuXchu,Luv Struck - EP
48,Questions,Shekhinah,Trouble In Paradise
49,Right Now,Elaine,Right Now - Single
50,Sere (Remix),"Spinall, Fireboy DML, 6LACK",Sere (Remix) - Single
51,Baajo,"Kwesi Arthur, Joeboy",Baajo - Single
52,Verified (feat. Mayorkun),Laycon,...Shall We Begin...
53,Akekho,KekeLingo,Akekho - Single
54,KOLO (feat. Oxlade),Ice Prince,KOLO (feat. Oxlade) - Single
55,Long Way,Emtee,LOGAN
56,Shine Your Light (feat. Akon),"Master KG, David Guetta",Shine Your Light (feat. Akon) - Single
57,Dollar On You,Kuami Eugene,Dollar On You - Single
58,Un coup (feat. Dadju),Fally Ipupa,Tokooos II (Bonus Version)
59,For You,Marioo,For You - Single
60,Big Boss,Didi B,Big Boss - Single
61,LEGGO,"Serge Ibaka, Tayc",LEGGO - Single
62,Ke Star (feat. Virgo Deep) [Remix],"Focalistic, Davido",Ke Star (Remix) [feat. Virgo Deep] - Single
63,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,Kilofeshe (Remix) [feat. Mayorkun & Busiswa] - Single
64,Southy Love (feat. Fireboy DML),Peruzzi,Rum & Boogie
65,Coming,"Naira Marley, Busiswa",Coming - Single
66,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo, Blaqnick, MasterBlaq","Khuza Gogo (feat. Mpura, AmaAvenger & M.J) - Single"
67,Rush,"Dangbana Republik, Bella Shmurda",Rush - Single
68,Nossas Coisas (feat. ARY),C4 pedro,Nossas Coisas (feat. ARY) - Single
69,La Vie Est Belle,"Kabza De Small, DJ Maphorisa, TRESOR",RUMBLE IN THE JUNGLE
70,Ebabayo (feat. Nokwazi),Prince Kaybee,The 4th Republic
71,Early Momo (feat. GoodGirl LA),Vector,Early Momo (feat. GoodGirl LA) - Single
72,Sore (Remix),"Yaw Tog, Stormzy, Kwesi Arthur",TIME
73,THE 5 YEAR PLAN (feat. Wordz),A-Reece,"Today\'s Tragedy, Tomorrow\'s Memory: the mixtape"
