Position,song,artist
1,Snitch (feat. Foushexc3xa9),Ayra Starr
2,Essence (feat. Justin Bieber & Tems),Wizkid
3,"ungayeki, (feat. Berita)",Amanda Black
4,Understand,Omah Lay
5,Sinner,Adekunle Gold and  Lucky Daye
6,Peru,Fireboy DML
7,Slow Down,King Promise
8,Essence (feat. Tems),Wizkid
9,Monalisa,Lojay and  Sarz
10,Bounce,Ruger
11,Soundgasm,Rema
12,Solace,Ajebo Hustlers
13,Medicine,Jaywillz
14,Lie,Kizz Daniel
15,Show Me,Joeboy
16,NEED ME,Gyakie
17,Non Living Thing (feat. Oxlade),Sarkodie
18,Feeling,LADIPOE and  Buju
19,Tycoon (feat. Reminisce & MOJO),Show Dem Camp
20,Outside,Buju
21,Bling (feat. Amaarae & Buju),Blaqbonez
22,"Izolo (feat. Madumane, Mpura, Daliwonga & Visca)",DJ Maphorisa and  Tyler ICU
23,Emlanjeni (feat. Da Muziqal Chef),De Mthuda and  Sir Trill
24,Siyathandana (feat. Abidoza & Boohle),Cassper Nyovest
25,STAMINA (feat. LuuDadeejay),WurlD and  Major League Djz
26,Southy Love (feat. Fireboy DML),Peruzzi
27,Big Thug Boys,AV
28,Dimension (feat. Skepta & Rema),JAE5
29,Joy,Blxckie and  Oxlade
30,Goumin Fracas,Toofan
31,Rock,Olamide
32,Felony,CKay
33,Real,Tim Lyre
34,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky
35,Kilometre,Burna Boy
36,Confident,Savage and  Buju
37,All (feat. Davido),Rexxie
38,Ex,Nikita Kering
39,HUSTLE,Teni
40,Feel Good,MohBad
41,Shopping Spree (feat. Chris Brown & Young Thug),Davido
42,Dis moi comment.,Tayc
43,Bloody Samaritan,Ayra Starr
44,Running (To You),Chike and  Simi
45,Sweet Escape,Mizzle
46,Songi Songi (feat. Hiro),Maud Elka
47,Pololo (feat. Tiakola),MHD
48,Sans moi,Franglish and  Aya Nakamura
49,Far Away,Dangbana Republik and  Bella Shmurda
50,Bobo,Aya Nakamura
51,Sima Nkre,"Djodje,  Deejay Telio and  Julinho Ksd"
52,Ba Xolele (feat. Guyu Pane & YoungStunner) [729 Street Vocal],Dzo 729
53,"LiYoshona (feat. Njelic, MalumNator & De Mthuda) [Main Mix]",Kwiish SA
54,Phuze (feat. Zaba),Dlala Thukzin
55,Money & Laughter (feat. Amaarae & Zamir),BOJ
56,Baby Go,Otile Brown and  Kizz Daniel
57,Black (feat. Mr Eazi),Victor AD
58,Bank Notification (feat. Madumane),Ciza and  DJ Maphorisa
59,Professor Peller (feat. Zlatan),Seyi Vibez
60,Second Sermon,Black Sherif
61,Somebody (feat. Phyno),Olamide
62,MY FAVOURITE SONG (feat. Shekhinah),Tshego
63,La La,T'neeya
64,Fine Wine (feat. King Promise & Joeboy),R2Bees
65,Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],DJ Tarico and  Burna Boy
66,Coming,Naira Marley and  Busiswa
67,Asambeni,Oscar Mbo and  C-Blak
68,I Want (feat. Mutoriah),Chris Kaiga
69,Niko Sawa (feat. Bien),Nviiri The Storyteller
70,Nyeredzi,Jah Prayzah
71,"Africa, One Of A Kind","Angelique Kidjo,  Mr Eazi and  Salif Keita"
72,Ngilimele (feat. Q Twins),DJ Tira
73,Nimekuzoea,Nandy
74,Weekend,Eddy Kenzo
75,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah
76,GUPTA (feat. Lady Du & Mellow and Sleazy),Focalistic and  Mr JazziQ
77,Je veux que toi (feat. Fally Ipupa),Bramsito
78,"Khuza Gogo (feat. Mpura, AmaAvenger & M.J)","DBN Gogo,  Blaqnick and  MasterBlaq"
79,Hustlers Prayer (feat. A-Reece),25K
80,Questions,Shekhinah
81,Nossas Coisas (feat. ARY),C4 pedro
