,artist,song
0,Diamond Platnumz,Kamata
1,Otile Brown,Such Kinda Love ft. Jovial
2,Nandy,Nimekuzoea
3,GUCHI,Jennifer
4,KiDi,Touch It
5,Mbosso,Baikoko ft. Diamond Platnumz
6,Zuchu,Nyumba Ndogo
7,Alikiba,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)"
8,LADIPOE,Feeling ft. Buju
9,Black Sherif,First Sermon
10,Omah Lay,Godly
11,Olamide,Rock
12,Sarkodie,Coachella ft. Kwesi Arthur
13,Alikiba,Salute (feat. Rudeboy)
14,Zuchu,Sukari
15,Olamide,Infinity ft. Omah Lay
16,Chike,Running (To You) ft. Simi
17,GUCHI,Jennifer Remix ft. Rayvanny
18,Bahati,Kiss ft. Rayvanny
19,Joeboy,Show Me
20,Burna Boy,Kilometre
21,Cheque,History ft. Fireboy DML
22,Anjella,Nobody
23,Harmonize,Sandakalawe
24,Rayvanny,Number One ft. Zuchu
25,Bahati,Pete Yangu ft. Nadia Mukami
26,Otile Brown,Jeraha ft. Jovial
27,Joeboy,Door ft. Kwesi Arthur
28,KiDi,Spiritual ft. Kuami Eugene & Patoranking
29,Mbosso,Yalaah
30,Joeboy,Focus
31,JAY BAHD,"Y3 Y3 DOM ft. Skyface SDW, Reggie, Kwaku DMC, City Boy & Kawabanga"
32,Patoranking,Abule
33,Gyakie,Forever (Remix) ft. Omah Lay
34,Marioo (TZ),For You
35,Nandy,New Couple
36,Diana Hamilton,Adom Grace
37,Ks bloom,Enfant de Dieu ( Lhymne national)
38,AV,Big Thug Boys
39,Ruger,Bounce
40,Barnaba Classic  (TZ),Cheketua 
41,Jay Melody,Najieka
42,Kwame Yogot,Biibi Besi ft. Kuami Eugene
43,Mbosso,Mtaalam
44,Mejja,Tabia Za Wakenya (Kanairo)
45,Fameye,Praise
46,Rayvanny,Lala ft. Jux
47,Zuchu,Cheche ft. Diamond Platnumz
48,Olamide,Need For Speed
49,Flavour,Berna Reloaded ft. Fally Ipupa & Diamond Platnumz
50,Justin Bieber,Peaches (Masterkraft Remix) ft. Alpha P & Omah Lay
51,Victor AD,OLOFOFO
52,Sefa,E Choke ft. Mr Drew
53,Otile Brown,Regina ft. Jux
54,Olamide,Somebody ft. Phyno
55,Dadju,Mon soleil ft. Anitta
56,Mbosso,Kiss Me
57,Harmonize,Vibaya
58,Sarkodie,Happy Day ft. Kuami Eugene
59,Wendy Shay,"Champions League ft. Fameye, Kelvyn Boy, Kofi Mole & Quamina Mp"
60,Rapcha,Lissa
61,Zuchu, Litawachoma ft. Diamond Platnumz
62,Naira Marley,Coming ft. Busiswa
63,KiDi,Golden Boy
64,Kuami Eugene,Dollar On You
65,King Promise,Slow Down
66,Otile Brown,In Love ft. AliKiba
67,Harmonize,Attitude ft. Awilo Longomba & H Baba
68,JoDwet Fil,Jolie madame ft. Ronisia
69,Omah Lay,Bad Influence 
70,Mr Drew,Mood
71,Steve Crown,You Are Yahweh
72,Otile Brown,Dusuma ft. Meddy
73,Mr Eazi,Rotate (Freestyle)
74,O'Kenneth,AGYEIWAA ft. Reggie & City Boy
75,Ada Ehi,"Congratulations ft, Buchi"
76,Buju,Outside
77,Killy (TZ),Roho
78,NDOVU KUU,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE)
79,Mbosso,Fall
80,AYA NAKAMURA,Bobo
81,Patoranking,Celebrate Me
82,Omah Lay,You
83,Omah Lay,Bad Influence
84,Yaw Tog,Sore (Remix) (Remix) ft. Stormzy & Kwesi Arthur
85,KiDi,Send Me Nudes ft. Joey B
86,Gyakie,Sor Mi Mu (ft. Bisa Kdei)
87,Diamond Platnumz,Waah! ft. Koffi Olomide
88,Joeboy,Call
89,Ed Sheeran,Bad Habits
90,Willy Paul,Odi Love ft. Klons Melody
91,Whitney Houston,I Wanna Dance with Somebody
92,Chike,If You No Love
93,Kinata Mc,Do Lemi Go ft. Ibraah
94,Fireboy DML,Like I Do
95,Tunda Man,True Love ft Mo Dewji
96,Rayvanny,Kiuno
97,Medikal,Ama
98,Viviane Chidid,Sadik Lady
99,DJ Neptune,Nobody ft. Joeboy & Mr Eazi
