,Position,song,artist
0,1,Bounce,Ruger
1,2,Feeling,LADIPOE
2,3,Soundgasm,Rema
3,4,Forever (Remix),Gyakie
4,5,Infinity,Olamide
5,6,Maserati (Remix),Olakira
6,7,Bad Influence,Omah lay
7,8,FOR YOU,Teni
8,9,Kamata,Diamond Platnumz
9,10,It Is What It Is,Adekunle Gold
10,11,Damages,Tems
11,12,Big Thug Boys,AV
12,13,Outside,Buju
13,14,Coachella,Sarkodie
14,15,Essence (feat. Tems),Wizkid
15,22,Vibration,Fireboy Dml
16,23,LV N ATTN feat. Wizkid,Lojay
17,24,Godly,Omah lay
18,25,Rock,Olamide
19,26,Kilometre,Burna Boy
20,27,Activate,Stonebwoy
21,28,Coming,Naira Marley
22,29,AG Baby,Adekunle Gold
23,30,Ke Star (Remix),Focalistic
24,31,History,Cheque
25,32,Bling (feat. Amaarae & Buju),Blaqbonez
26,33,Felony,CKay
27,34,Summeryomuthi,Blaq Diamond
28,35,23,Burna Boy
29,36,Somebody Baby,Peruzzi
30,37,Hallelu,Masterkraft
31,38,Woman,Rema
32,39,Joro,Wizkid
33,40,Away,Ayra Starr
34,41,The Best (feat. Mayorkun),DaVido
35,42,MAD,Sarz
36,43,Ginger (feat. Burna Boy),Wizkid
37,44,Baajo,Kwesi Arthur
38,45,KPK (Ko Por Ke),Rexxie
39,46,Nobody,DJ Neptune
40,47,Pronto,Ajebo Hustlers
41,48,Kilofeshe,Zinoleesky
42,49,Again,Wande Coal
43,50,Champion,Fireboy Dml
