rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Soundgasm,Rema,1,1,1,1,1,7,7,2.7142857142857144
2,Feeling,LADIPOE,5,5,5,5,5,2,2,4.142857142857143
3,Door,Joeboy,6,6,6,6,6,6,6,6.0
4,Kilometre,Burna Boy,3,3,3,3,3,17,17,7.0
5,Send Me Nudes (feat. Joey B),KiDi,4,4,4,4,4,16,16,7.428571428571429
6,Dimension (feat. Skepta & Rema),JAE5,9,9,9,9,9,9,9,9.0
7,Bounce,Rema,7,7,7,7,7,19,19,10.428571428571429
8,Coming,Naira Marley,10,10,10,10,10,12,12,10.571428571428571
9,Forever (Remix),Gyakie,11,11,11,11,11,13,13,11.571428571428571
10,MOSLADO,Teni,13,13,13,13,13,11,11,12.428571428571429
11,Running (To You),chike,12,12,12,12,12,15,15,12.857142857142858
12,Rock,Olamide,14,14,14,14,14,14,14,14.0
13,Falling For U,Blaq Jerzee,15,15,15,15,15,20,20,16.428571428571427
14,Kilofese,Remix - Zinoleesky,17,17,17,17,17,24,24,19.0
15,Focus,Joeboy,19,19,19,19,19,21,21,19.571428571428573
16,Confident,Savage,18,18,18,18,18,25,25,20.0
17,Music Messiah,DJ Neptune,20,20,20,20,20,22,22,20.571428571428573
18,Kamata,Diamond Platnumz,28,28,28,28,28,5,5,21.428571428571427
19,LV N ATTN feat. Wizkid,Lojay,22,22,22,22,22,23,23,22.285714285714285
20,Koroba,Tiwa Savage,21,21,21,21,21,27,27,22.714285714285715
21,Yaba Buluku (feat. Preck & Nelson Tivane),Remix - DJ Tarico,23,23,23,23,23,29,29,24.714285714285715
22,Let Dem Kno,Smallgod,25,25,25,25,25,31,31,26.714285714285715
23,Bosana,El Mukuka,24,24,24,24,24,34,34,26.857142857142858
24,Dinaledi,Major League Djz,26,26,26,26,26,30,30,27.142857142857142
25,Breakup Riddim,DJ Aroma,27,27,27,27,27,33,33,28.714285714285715
26,Celebrate Me,Patoranking,30,30,30,30,30,26,26,28.857142857142858
27,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,34,34,34,34,34,18,18,29.428571428571427
28,Yebo Teacher,Moonchild Sanelly,29,29,29,29,29,32,32,29.857142857142858
29,Nossas Coisas (feat. Ary),C4 Pedro,31,31,31,31,31,40,40,33.57142857142857
30,This Your Body,Skales,33,33,33,33,33,35,35,33.57142857142857
31,Slow Down,King Promise,32,32,32,32,32,42,42,34.857142857142854
32,Baikoko,Mbosso,35,35,35,35,35,36,36,35.285714285714285
33,GUPTA,Focalistic,36,36,36,36,36,37,37,36.285714285714285
34,Touch It,KiDi,38,38,38,38,38,38,38,38.0
35,Woza,Mr JazziQ,37,37,37,37,37,43,43,38.714285714285715
36,John Wick,De Mthuda,39,39,39,39,39,39,39,39.0
37,KPK (Ko Por Ke),Rexxie,44,44,44,44,44,28,28,39.42857142857143
38,Niko Sawa,Nviiri The Storyteller,40,40,40,40,40,41,41,40.285714285714285
39,Sekkle & Bop (feat. Popcaan),Mr Eazi,43,43,43,43,43,44,44,43.285714285714285
40,Somebody (feat. Phyno),Olamide,41,41,41,41,41,49,49,43.285714285714285
41,PEPE,L.A.X,42,42,42,42,42,48,48,43.714285714285715
42,Meliza,DJ Flex,45,45,45,45,45,45,45,45.0
43,Khuza Gogo,"DBN Gogo, M.J",46,46,46,46,46,46,46,46.0
44,Jowo,DaVido,48,48,48,48,48,47,47,47.714285714285715
45,Siyathandana,"Cassper Nyovest, Abidoza, Boohle",2,2,2,2,2,301,301,87.42857142857143
46,Essence (feat. Tems),WizKid,8,8,8,8,8,301,301,91.71428571428571
47,Banyana,"DJ Maphorisa, Daliwonga, Kabza De Small",16,16,16,16,16,301,301,97.42857142857143
48,Señorita,Rayvanny,47,47,47,47,47,301,301,119.57142857142857
49,Baajo,Kwesi Arthur,49,49,49,49,49,301,301,121.0
50,Essence (feat. Tems),"WizKid, Tems",301,301,301,301,301,1,1,215.28571428571428
51,Understand,Omah Lay,301,301,301,301,301,3,3,215.85714285714286
52,Banyana,"DJ Maphorisa, Sir Trill, Daliwonga, Kabza De Small",301,301,301,301,301,4,4,216.14285714285714
53,Siyathandana,Cassper Nyovest,301,301,301,301,301,8,8,217.28571428571428
54,Sinner,Adekunle Gold,301,301,301,301,301,10,10,217.85714285714286
