Position,song,artist,album
1,Understand,Omah Lay,Understand - Single
2,Far Away,"Dangbana Republik, Bella Shmurda",High Tension 2.0
3,Feeling,"LADIPOE, Buju",Feeling - Single
4,Essence (feat. Tems),Wizkid,Made In Lagos
5,Outside,Buju,Outside - Single
6,Rock,Olamide,UY Scuti
7,Southy Love (feat. Fireboy DML),Peruzzi,Southy Love (feat. Fireboy DML) - Single
8,Monalisa,"Lojay, Sarz",LV N ATTN - EP
9,La La (feat. CKay),Davido,A Better Time
10,Bounce,Ruger,PANDEMIC - EP
11,Show Me,Joeboy,Somewhere Between Beauty & Magic
12,The Key,Tems,For Broken Ears
13,All (feat. Davido),Rexxie,A True Champion
14,Slow Down,King Promise,Slow Down - Single
15,Mad At Me,The Flowolf,Full Moon - EP
16,Somebody (feat. Phyno),Olamide,UY Scuti
17,Naira Marley,Zinoleesky,Naira Marley - Single
18,Party Next Door,"Dangbana Republik, Bella Shmurda",High Tension 2.0
19,Sans moi,"Franglish, Aya Nakamura",Vibe
20,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,Made In Lagos
21,Sere (Remix),"Spinall, Fireboy DML, 6LACK",Sere (Remix) - Single
22,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
23,Soundgasm,Rema,Soundgasm - Single
24,Peaches (Masterkraft Remix) [feat. Alpha P & Omah Lay],Justin Bieber,Peaches (Masterkraft Remix) [feat. Alpha P & Omah Lay] - Single
25,Dis moi comment.,Tayc,Dis moi comment. - Single
26,INJURE ME,Teni,WONDALAND
27,Dimension (feat. Skepta & Rema),JAE5,Dimension (feat. Skepta & Rema) - Single
28,Frenemies (feat. Oxlade),Rexxie,A True Champion
29,Free Your Mind,"Blaq Jerzee, Jux",Free Your Mind - Single
30,It Is What It Is,Adekunle Gold,It Is What It Is - Single
31,Sweet Escape,Mizzle,In The Dark
32,Fine Wine (feat. King Promise & Joeboy),R2Bees,Fine Wine (feat. King Promise & Joeboy)
33,Baba Nla,"Dr Dolor, Buju",Baba Nla - Single
34,Carolina,Yung D3mz,Yung - EP
35,Whisper,JTwice,Whisper - Single
36,Bia,Phyno,Bia - Single
37,Figure 8,"Kida Kudz, Gemitaiz",TOP MEMBA
38,DKT,Oxlade,DKT - Single
39,The Best (feat. Mayorkun),Davido,A Better Time
40,Ayo (feat. Blaise B),Mink\'s,Urban Bantou
41,Korope,"Lil Kesh, Naira Marley",Korope - Single
42,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,Masta Groove
43,Sisi Caro,"Governor of Africa, Oxlade",Sisi Caro - Single
44,Send Me Nudes (feat. Joey B),KiDi,The Golden Boy
45,KOLO (feat. Oxlade),Ice Prince,KOLO (feat. Oxlade) - Single
46,I\'m Strong,"Stonebwoy, SQUASH",I\'m Strong - Single
47,Breakup Riddim,"DJ Aroma, Mr Eazi, Nhlanhla Nciza",Breakup Riddim - Single
48,Kilometre,Burna Boy,Kilometre - Single
49,Carry Go (feat. Zlatan),Schengen Owner,Carry Go (feat. Zlatan) - Single
50,Coming,"Naira Marley, Busiswa",Coming - Single
51,Egbon,"Masterkraft, Phyno",Egbon - Single
52,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,A True Champion
53,Oshofree (feat. s3nami),YKB,Oshofree - Single (feat. s3nami) - Single
54,Kogi (feat. Bella Shmurda & Poco Lee),Jumabee,Kogi (feat. Bella Shmurda & Poco Lee) - Single
55,Do Yourself,"Angelique Kidjo, Burna Boy",Mother Nature
56,So Long (feat. Tomi Thomas & Larry Gaaga),Sjxy,So Long (feat. Tomi Thomas & Larry Gaaga) - Single
57,Tonight,Yung D3mz,Tonight - Single
58,PEPE,"L.A.X, Davido",PEPE - Single
59,Berna Reloaded,"Flavour, Fally Ipupa, Diamond Platnumz",Berna Reloaded - Single
60,Jackpot (feat. Bella Shmurda),Crayon,Jackpot (feat. Bella Shmurda) - Single
61,Kenkey Seller (Remix) [feat. Medikal],Quamina Mp,Kenkey Seller (Remix) [feat. Medikal] - Single
62,LV N ATTN feat. Wizkid,"Lojay, Sarz",LV N ATTN - EP
63,Bank On It,Burna Boy,Twice As Tall
64,Sw\xc3\xa9,Mus,Sw\xc3\xa9 - Single
65,Juju,Idyl,Juju - Single
66,Ohemaa,Kelvin Black,Mama Stella - EP
67,Chill,KO-C,Chill - Single
68,Kilofeshe,Zinoleesky,Kilofeshe - Single
69,Ginger (feat. Burna Boy),Wizkid,Made In Lagos
70,Pronto,"Ajebo Hustlers, Omah Lay",Pronto - Single
71,Lifestyle,Fireboy DML,APOLLO
72,Let Dem Kno,"Smallgod, Tiwa Savage, Kwesi Arthur",Building Bridges
73,Duro,"Ojayy Wright, Bad Boy Timz",Commander in Chief
74,Yuda,Nandy,Taste - EP
75,Tropical Breeze,"Magnom, Caine",Tropical Breeze - Single
76,Forever (Remix),"Gyakie, Omah Lay",Forever (Remix)
77,LEGGO,"Serge Ibaka, Tayc",LEGGO - Single
78,Baajo,"Kwesi Arthur, Joeboy",Baajo - Single
79,Loading (feat. Bad Boy Timz),Olamide,Carpe Diem
80,Somebody Baby,"Davido, Peruzzi",Rum & Boogie
81,Verified (feat. Mayorkun),Laycon,...Shall We Begin...
82,Baby Go,"Otile Brown, Kizz Daniel",Baby Go - Single
83,Jowo,Davido,A Better Time
