Position,song,artist
1,Essence (feat. Justin Bieber & Tems),Wizkid
2,Peru,Fireboy DML
3,Understand,Omah Lay
4,Lie,Kizz Daniel
5,Sinner,Adekunle Gold and  Lucky Daye
6,Outside,Buju
7,Ojuju,Oxlade
8,Monalisa,Lojay and  Sarz
9,Feel Good,MohBad
10,STAMINA (feat. LuuDadeejay),WurlD and  Major League Djz
11,Bounce,Ruger
12,Fashion Killer,Ayra Starr
13,Naira Marley,Zinoleesky
14,Testimony,Buju
15,Feeling,LADIPOE and  Buju
16,Soundgasm,Rema
17,Fendi (feat. Joeboy),Blaqbonez
18,Southy Love (feat. Fireboy DML),Peruzzi
19,NEED ME,Gyakie
20,Solace,Ajebo Hustlers
21,Rock,Olamide
22,Bank On It,Burna Boy
23,System,Dave and  Wizkid
24,Joy,Blxckie and  Oxlade
25,Non Living Thing (feat. Oxlade),Sarkodie
26,It Is What It Is,Adekunle Gold
27,Cocaine,Dai Verse
28,The Key,Tems
29,Sweety,Yemi Alade
30,Pray,Victony
31,Dimension (feat. Skepta & Rema),JAE5
32,Tu Amour (feat. Ojujucalaba),Jake Chowman
33,Bling (feat. Amaarae & Buju),Blaqbonez
34,Far Away,Dangbana Republik and  Bella Shmurda
35,Frenemies (feat. Oxlade),Rexxie
36,Spotlight (feat. El Choco),Darrell Cole
37,Lazarus,Dave and  Boj
38,INJURE ME,Teni
39,Better Thing,Joeboy
40,Me Den You,KashBwoy and  Kuami Eugene
41,Ogogoro,Yemi Alade
42,Carolina,Yung D3mz
43,Slow Down,King Promise
44,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid
45,LV N ATTN feat. Wizkid,Lojay and  Sarz
46,Somebody (feat. Phyno),Olamide
47,WOW,Marioo
48,Black (feat. Mr Eazi),Victor AD
49,Show Me,Joeboy
50,Sere (Remix),"Spinall,  Fireboy DML and  6LACK"
51,Shopping Spree (feat. Chris Brown & Young Thug),Davido
52,La La (feat. CKay),Davido
53,Yafun Yafun,Ajebo Hustlers
54,Kilometre,Burna Boy
55,Mercy,Falz
56,Money Bag,Ria Sean
57,The Best (feat. Mayorkun),Davido
58,Be My Lover,Jizzle and  Mr Eazi
59,Ginger (feat. Burna Boy),Wizkid
60,Professor Peller (feat. Zlatan),Seyi Vibez
61,All (feat. Davido),Rexxie
62,W I L D,Lady Donli
63,Unconditionally,Ajebutter 22 and  Oxlade
64,Sweet Escape,Mizzle
65,One Time (feat. Reekado Banks),Moelogo
66,I DONT MIND,Tosin Robeck
67,Fine Wine (feat. King Promise & Joeboy),R2Bees
68,Bloody Samaritan,Ayra Starr
69,Wonder Mama (feat. Adekunle Gold),MHD
70,Drug Test,Naira Marley
71,Fancy,Uche Malik
72,Party Next Door,Dangbana Republik and  Bella Shmurda
73,Rise Up,2Baba and  Falz
74,No Sleeping (feat. Zlatan),1da Banton
75,Dis moi comment.,Tayc
76,Joy,BadTheSoundBoy
77,Sans moi,Franglish and  Aya Nakamura
78,Coming,Naira Marley and  Busiswa
79,Baby Go,Otile Brown and  Kizz Daniel
80,Somebody Baby,Davido and  Peruzzi
81,Do Yourself,Angelique Kidjo and  Burna Boy
