rank,song,artist,R1,R2,R3,RT
1,Rock,Olamide,1,1,2,1.333333333
2,Soundgasm,Rema,3,3,4,3.333333333
3,Music Messiah (feat. Wande Coal),DJ Neptune,4,5,6,5
4,CELEBRATE ME,Patoranking,2,2,12,5.333333333
5,Kamata,Diamond Platnumz,7,6,10,7.666666667
6,Sere (Remix),"Spinall, Fireboy DML and 6LACK",8,7,11,8.666666667
7,Hold Me Tight (feat. Peruzzi & Okwesili Eze Group),Kcee,9,8,14,10.33333333
8,Iphupho (feat. Kuhle),Jabzz Dimitri featuring Kuhle,11,9,18,12.66666667
9,I Miss You,Joda Kgosi,10,10,21,13.66666667
10,Fine Wine (feat. King Promise & Joeboy),R2Bees,12,12,23,15.66666667
11,Simple Instruction,"Smallgod, R2Bees",13,13,24,16.66666667
12,Omo X 100 (feat. Olamide),Reminisce,14,14,25,17.66666667
13,Confident,Savage X Buju,15,15,26,18.66666667
14,This Your Body,Skales and Davido,16,17,28,20.33333333
15,Give It to Me,"Smallgod, 2BABA",17,18,29,21.33333333
16,FOCUS DANCE BEAT (feat. HAGMAN & ABATI),AJIMOVOIX_DRUMS,18,19,30,22.33333333
17,Baby,Brainee,19,20,31,23.33333333
18,Jemeni,Aymos and Focalistic,20,21,32,24.33333333
19,In Those Eyes,Ogranya,21,22,33,25.33333333
20,Tonongo,"Lojay, Sarz",22,23,35,26.66666667
21,Money,"Terri, Bella Shmurda, Mohbad",23,24,36,27.66666667
22,Sokoma,"Blaq Jerzee, Marioo and Eddy Kenzo",24,25,37,28.66666667
23,Right Here,"Walshy Fire, Terri, Cloud Beats",25,26,38,29.66666667
24,Lemonade,Ria sean,26,27,39,30.66666667
25,GUPTA (feat. Lady Du & Mellow and Sleazy),Focalistic and Mr JazziQ,28,29,40,32.33333333
26,Hurricane (feat. Buju Banton),Tomi Thomas,29,30,41,33.33333333
27,Heartbreaker (feat. Nasty C),Blaqbonez,31,31,42,34.66666667
28,Pempe,Seyi Shay and Yemi Alade,32,32,43,35.66666667
29,No Fugazy,Sarkodie,33,33,44,36.66666667
30,Door (feat. Kwesi Arthur),Joeboy,34,34,45,37.66666667
31,World,"Dangbana Republik, Bella Shmurda",35,35,46,38.66666667
32,PEAKING,Tay Iwar,36,36,47,39.66666667
33,Egbon (feat. Phyno),Masterkraft,37,37,48,40.66666667
34,Cho Cho (feat. Davido & Mayorkun),Zlatan,38,38,49,41.66666667
35,"Zombie (feat. PsychoYP, Laycon & ",) - Blaqbonez,39,39,50,42.66666667
36,Rappers (feat. Dremo),Dreylo featuring Dremo,97,11,22,43.33333333
37,Attitude (feat. H Baba & Awilo Longomba),Harmonize,40,40,51,43.66666667
