Position,song,artist
1,Somebody’s Son (feat. Brandy) ,Tiwa Savage
2,Non Living Thing (feat. Oxlade) ,Sarkodie
3,Assalamu Alakaium   ,Gemini Major
4,Alari   ,Liya
5,Raha (feat. Nadia Mukami) ,Arrow Bwoy
6,Wonder (feat. Patoranking) ,Dremo
7,Who Talk (feat. Adekunle Gold & Ria Sean) ,Moelogo
8,Bloody Samaritan   ,Ayra Starr
9,All Mine Remix (feat. Buju) ,Kinsolo
10,Black (feat. Mr Eazi) ,Victor AD
11,Mercy   ,Falz
12,Rise Up   ,2Baba & Falz
13,Round 2 (feat. Giggs) ,Sarkodie
14,Professor  Peller (feat. Zlatan) ,Seyi Vibez
15,Understand   ,Omah Lay
16,Rock   ,Olamide
17,Party Next Door   ,"Dangbana Republik, Bella Shmurda"
18,"IYO (feat. Focalistic, Mapara A Jazz & Ntosh Gazi) ",Diamond Platnumz
19,Testimony   ,Buju
20,First Sermon   ,Black Sherif
21,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth) ",Jay Bahd
22,Enjoyment   ,Yemi Alade
23,Soundgasm   ,Rema
24,Feeling (feat. Buju) ,LADIPOE
25,Music Messiah (feat. Wande Coal) ,DJ Neptune
26,Jennifer Remix (feat. Rayvanny) ,Guchi ft Rayvanny
27,Cut Soap   ,DJ Xclusive and Rulerboy
28,Touch It   ,KiDi
29,Yote Sawa   ,Nandy
30,Free Your Mind (feat. Jux & BlaqJerzee) ,BlaqJerzee
31,Praise   ,Fameye
32,Nimekuzoea   ,Nandy
33,All (feat. Davido) ,Rexxie featuring Davido
34,Tekiller   ,CDQ
35,All The Above   ,Show Dem Camp
36,Kamata   ,Diamond Platnumz
37,Sere Remix   ,"Spinall, Fireboy DML and 6LACK"
38,CELEBRATE ME   ,Patoranking
39,Chargie (feat. Jonny Blaze & Stadic) ,"Reekado Banks, Teejay & Lord Afrixana"
40,"Ndombolo (feat. K2ga, Abdukiba & Tommy Flavour) ",Alikiba
41,Dorime (feat. Musette & Vector) ,Samklef
42,Work Fada (feat. Nas & Rich King) ,Tiwa Savage
43,Salute (feat. RudeBoy) ,Alikiba
44,Iphupho (feat. Kuhle) ,Jabzz Dimitri featuring Kuhle
45,KSM   ,Naza
46,New Couple   ,Nandy
47,I Miss You   ,Joda Kgosi
48,Fine Wine (feat. King Promise & Joeboy) ,R2Bees
49,Simple Instruction   ,"Smallgod, R2Bees"
50,Omo X 100 (feat. Olamide) ,Reminisce
51,Confident   ,Savage X Buju
52,Tales By Moonlight (feat. Amaarae) ,Tiwa Savage
53,KPK (Ko Por Ke)   ,Rexxie and MohBad
54,This Your Body   ,Skales and Davido
55,FOCUS DANCE BEAT (feat. HAGMAN & ABATI) ,AJIMOVOIX_DRUMS
56,Baby   ,Brainee
57,Jemeni   ,Aymos and Focalistic
58,In Those Eyes   ,Ogranya
59,Brown Skin   ,Masterkraft
60,Tonongo   ,"Lojay, Sarz"
61,Sokoma   ,"Blaq Jerzee, Marioo and Eddy Kenzo"
62,Right Here   ,"Walshy Fire, Terri, Cloud Beats"
63,Lemonade   ,Ria sean
64,GUPTA (feat. Lady Du & Mellow and Sleazy) ,Focalistic and Mr JazziQ
65,Table for Two   ,Bella Alubo
66,Unconditionally   ,"Ajebutter22, Oxlade"
67,Yafun Yafun   ,Ajebo Hustlers
68,Sika Aba Fie   ,"Kweku Darlington, Yaw Tog, Kweku Flick"
69,Cash App (feat. Zlatan & lincoln) ,Bella Shmurda
70,Sizophelelaphi   ,Msaki and Oskido
71,Dance   ,Humblesmith
72,Times Two (X2) (feat. Buju) ,WANI
73,Popote (feat. Vernyuy Tina) ,Wini
74,Drug Test   ,Naira Marley
75,Lie   ,Kizz Daniel
76,Ogogoro   ,Yemi Alade
77,Alubarika (feat. Buju) ,Zlatan
78,BE MY LOVER   ,"Jizzle, Mr Eazi"
79,Filo (feat. Wande Coal) ,Kelly Anthony featuring Wande Coal
80,Ojuju   ,Troniq Music & Oxlade
81,Felicitation   ,"Dj Voyst, Joeboy"
82,Shameful   ,King OT
83,BROKE AGAIN (REMIX) (feat. Stonebwoy) ,Jizzle
84,Lakiriboto   ,Liya and Davido
85,Feel Good   ,Mohbad
86,+234 (Daily Paper)   ,PsychoYP
87,Question (feat. Don Jazzy) ,Burna Boy
88,Ghetto Vigilante   ,"Uche B, Kwesi Arthur"
