rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,La La ft. Ckay,Davido,1,1,1,1,1,1,1,1.0
2,Outside,Buju,2,2,2,2,2,2,2,2.0
3,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar",Falz,3,3,3,3,3,3,3,3.0
4,Feeling ft. Buju,LADIPOE,4,4,4,4,4,4,4,4.0
5,Music Messiah ft. Wande Coal,DJ Neptune,5,5,5,5,5,5,5,5.0
6,PEPE ft. Davido,L.A.X,6,6,6,6,6,6,6,6.0
7,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie,7,7,7,7,7,7,7,7.0
8,Essence ft. Tems,Wizkid,8,8,8,8,8,8,8,8.0
9,Peteru (Peter),Greatman Takit,9,9,9,9,9,9,9,9.0
10,INJURE ME,Teni,10,10,10,10,10,10,10,10.0
11,Somebody Baby ft. Davido,Peruzzi,11,11,11,11,11,11,11,11.0
12,Coming ft. Busiswa,Naira Marley,12,12,12,12,12,12,12,12.0
13,Don Dada,Timaya,13,13,13,13,13,13,13,13.0
14,Cho Cho ft. Davido & Mayorkun,Zlatan,14,14,14,14,14,14,14,14.0
15,Story,Greatman Takit,15,15,15,15,15,15,15,15.0
16,Pempe ft. Yemi Alade,Seyi Shay,16,16,16,16,16,16,16,16.0
17,Rotate (Freestyle),Mr Eazi,17,17,17,17,17,18,18,17.285714285714285
18,OLOFOFO,Victor AD,18,18,18,18,18,19,19,18.285714285714285
19,Holy Ghost Fire ft. The Cavemen,KDDO,19,19,19,19,19,20,20,19.285714285714285
20,Off You ft. KiDi,Young Jonn,20,20,20,20,20,21,21,20.285714285714285
21,Show Me,Joeboy,21,21,21,21,21,22,22,21.285714285714285
22,Bounce,Ruger,22,22,22,22,22,23,23,22.285714285714285
23,My Daddy,Greatman Takit,23,23,23,23,23,25,25,23.571428571428573
24,Verified ft. Mayorkun,Laycon,24,24,24,24,24,26,26,24.571428571428573
25,Kilometre,Burna Boy,25,25,25,25,25,27,27,25.571428571428573
26,FOR YOU ft. Davido,Teni,26,26,26,26,26,28,28,26.571428571428573
27,Too Correct ft. Rema,Crayon,27,27,27,27,27,29,29,27.571428571428573
28,Hallelu ft. Bella Shmurda & Zlatan,Masterkraft,28,28,28,28,28,30,30,28.571428571428573
29,Koleyewon,Naira Marley,29,29,29,29,29,31,31,29.571428571428573
30,Ginger ft. Burna Boy,Wizkid,30,30,30,30,30,32,32,30.571428571428573
31,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod",Zlatan,31,31,31,31,31,33,33,31.571428571428573
32,Pronto ft. Omah Lay,Ajebo Hustlers,33,33,33,32,32,34,34,33.0
33,Jafafa ft. Mohbad,Chinko Ekun,34,34,34,33,33,35,35,34.0
34,Sugar Daddy ft. Olamide,Dj Enimoney,35,35,35,34,34,36,36,35.0
35,Money ft. Bella Shmurda & Mohbad,terri,37,37,37,35,35,37,37,36.42857142857143
36,Focus Vibe,Slimcase,38,38,38,36,36,38,38,37.42857142857143
37,This Your Body ft. Davido,Skales,39,39,39,37,37,39,39,38.42857142857143
38,GAT ME SINGING,Luddy Dave,40,40,40,38,38,40,40,39.42857142857143
39,Constantly ft. Mayorkun & Peruzzi,Speroachbeatz,41,41,41,39,39,41,41,40.42857142857143
40,6AM,Blaq Jerzee,42,42,42,40,40,42,42,41.42857142857143
41,Loco ft. Mayorkun,KDDO,43,43,43,41,41,43,43,42.42857142857143
42,Egbon ft. Phyno,Masterkraft,44,44,44,42,42,44,44,43.42857142857143
43,Kilofese (Remix) ft. Mayorkun & Busiswa,Zinoleesky,45,45,45,43,43,45,45,44.42857142857143
44,Jackpot ft. Bella Shumurda,Crayon,46,46,46,44,44,46,46,45.42857142857143
45,Kabaa ft. Mayorkun,Idowest,47,47,47,45,45,47,47,46.42857142857143
46,The Key,Tems,48,48,48,46,46,48,48,47.42857142857143
47,World ft. Bella Shmurda,Dangbana Republik,32,32,32,201,201,201,201,128.57142857142858
48,Joro Kini Joro,Wizerd,201,201,201,201,201,17,17,148.42857142857142
49,Whyne,Akuchi,201,201,201,201,201,24,24,150.42857142857142
50,Rush ft. Bella Shmurda,Dangbana Republik,201,36,36,201,201,201,201,153.85714285714286
51,Rush,Dangbana Republik,36,201,201,201,201,201,201,177.42857142857142
