Position,song,artist
1,Mandy,Scribz Riley
2,Love Somebody,Rotimi
3,AWAY,Oxlade
4,Real Life (feat. Stormzy),"Burna Boy, Stormzy"
5,See Through,Chip
6,Blessed (feat. Damian Marley),WizKid
7,Can't Let You Go - Remix,Stefflon Don
8,Silver Tongue Devil (feat. Shenseea),Masego
9,Trouble,"DRB Lasgidi, Boj, Fresh L., Tems"
10,Ginger (feat. Burna Boy),WizKid
11,Damn (feat. 6lack),Omah Lay
12,D & G (feat. Summer Walker),DaVido
13,Gum Body (feat. Jorja Smith),Burna Boy
14,Koroba,Tiwa Savage
15,4AM,Manny Norte
16,Lo Lo,Omah Lay
17,Know Your Worth,Khalid
18,No Stress,WizKid
19,Eve Bounce - Remix,Yung L
20,Antidote (feat. Adekunle Gold),Nao
21,Better Than I Imagined [Feat. H.E.R. & Meshell Ndegeocello] - DJ Tunez Remix,Robert Glasper
22,Baby I'm Jealous,Mr Eazi
23,Ginger Me,Rema
24,Blessings REMIX (feat. French Montana & Davido),Angel
25,Peace,Mannywellz
26,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
27,MAD,Sarz
28,ALREADY,Beyonce
29,Dream Girl - Global Remix,Ir Sais
30,Sacrifices (feat. Tim Lyre),DAP The Contract
31,Wasted Energy (feat. Kaash Paige & Diamond Platnumz) - Remix,Alicia Keys
32,Godly,Omah Lay
33,Lonely,Joeboy
34,I No Go Give Up On You,Mr Eazi
35,Killa (feat. DaVido),Teyana Taylor
36,Longtime (feat. Skepta),WizKid
37,In My Bed,Rotimi
38,Fkn Around (feat. Megan Thee Stallion) - Cuppy Remix,Phony Ppl
39,So Lovely,Buju
40,Solo,Shakka
41,FIND YOUR WAY BACK - MELO-X Remix,Beyonce
42,Smile (feat. H.E.R.),WizKid
43,Dimension (feat. Skepta & Rema),JAE5
44,A Million,Mannywellz
45,Lenu - Remix,Buju
46,"Slow Down (feat. H.E.R., DaVido, & Oxlade) - P2J Remix",Skip Marley
47,Attention,Tiwa Savage
48,E Be Mad,Mr Eazi
49,God's Work (feat. iLL BLU),IAMDDB
50,Love Nobody,WurlD
51,Sponono,Kabza De Small
52,Tattoo,Fireboy DML
53,Soweto Blues,Juls
54,Gal Policy (Remix) [feat. Tiwa Savage],Kranium
55,Princess Cuts (feat. Young T & Bugsey),Headie One
56,Bobo,Aya Nakamura
57,Say Cheese,KiDi
58,Location (feat. Burna Boy),Dave
59,I Spy,Lila Iké
60,Oreke,E Kelly
61,REQUIRE,DJ Tunez
62,Beg Friend,Juls
63,Everytime,Spinall
64,Wonderful,Burna Boy
65,Pamela,Wauve
66,FOR YOU,Teni
67,Lento,Mr Eazi
68,Smooth MF,Agho
69,Pretty Girl,Adekunle Gold
70,Blessing,Stonebwoy
71,Peace Of Mind,Ayo Jay
72,Do To Me,H.E.R.
73,FIND YOUR WAY BACK - MELO-X Remix,Beyoncé
74,It Go Bad,Nnabu
75,Come Over (Remix),Jorja Smith
76,Luva Luva,Runtown
77,Can't Let You Go - Remix,Stefflon Don
78,Risky,DaVido
79,MOSLADO,Teni
80,Going Out Of My Way (feat. Mr Eazi),M.O
81,KOLO (feat. Oxlade),Ice Prince
82,Ke Star - Remix,Focalistic
83,Ryde,Niniola
84,My Oasis (feat. Burna Boy),Sam Smith
85,Be Honest (feat. Burna Boy),Jorja Smith
86,Champion,Fireboy DML
87,Bad Shit,Jarreau Vandal
88,Oh My,Lavaud
89,Curious (feat. Jimi Tents & Garren),VanJess
90,Simmer (feat. Burna Boy),Mahalia
91,Higher,Tems
92,Angelina,Juls
93,Joro,WizKid
94,Badman Love - Remix,Skales
95,JA ARA E,Burna Boy
96,The Don,Mr Eazi
97,Dollas and Cents,TOBi
98,Take Me Home,Lady Donli
99,The Other Half (feat. St. Beauty & Mereba),Jidenna
