rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Essence (feat. Justin Bieber & Tems),"WizKid, Justin Bieber, Tems",1,1,1,1,1,1,1,1.0
2,Antidote (feat. Adekunle Gold),Nao,2,2,2,2,2,2,2,2.0
3,Love Somebody,Rotimi,3,9,3,4,5,3,3,4.285714285714286
4,Mandy,Scribz Riley,4,8,12,3,3,4,4,5.428571428571429
5,Ginger (feat. Burna Boy),WizKid,6,6,6,6,6,6,6,6.0
6,Real Life (feat. Stormzy),Burna Boy,7,7,7,7,7,7,7,7.0
7,Dimension (feat. Skepta & Rema),JAE5,9,3,5,9,9,12,12,8.428571428571429
8,Slow Down (feat. Tion Wayne),Darkoo,10,10,10,10,10,10,10,10.0
9,D & G (feat. Summer Walker),DaVido,29,4,13,5,4,14,14,11.857142857142858
10,Godly,Omah Lay,8,5,14,14,34,8,8,13.0
11,Silver Tongue Devil (feat. Shenseea),Masego,5,11,11,30,23,15,15,15.714285714285714
12,Essence (feat. Tems),WizKid,16,16,16,16,11,19,19,16.142857142857142
13,Damn (feat. 6lack),Omah Lay,14,19,21,21,12,17,17,17.285714285714285
14,Can't Let You Go,Stefflon Don,11,24,15,11,8,27,27,17.571428571428573
15,Blessings REMIX (feat. French Montana & Davido),Angel,15,13,8,20,17,31,31,19.285714285714285
16,Gum Body (feat. Jorja Smith),Burna Boy,17,17,17,18,29,20,20,19.714285714285715
17,AWAY,Oxlade,21,15,19,22,47,9,9,20.285714285714285
18,Ginger Me,Rema,19,30,29,24,15,16,16,21.285714285714285
19,No Stress,WizKid,32,29,23,23,28,11,11,22.428571428571427
20,The Jackie (with J. Cole & Lil Tjay),Bas,25,25,25,25,25,25,25,25.0
21,Know Your Worth,Khalid,22,20,27,28,31,24,24,25.142857142857142
22,Eve Bounce,Remix - Yung L,18,18,26,33,30,30,30,26.428571428571427
23,Blessed (feat. Damian Marley),WizKid,23,41,36,29,19,28,28,29.142857142857142
24,E Be Mad,Mr Eazi,12,51,30,57,37,13,13,30.428571428571427
25,Gal Policy (Remix) [feat. Tiwa Savage],Kranium,69,32,18,27,14,29,29,31.142857142857142
26,KOLO (feat. Oxlade),Ice Prince,31,44,28,17,39,33,33,32.142857142857146
27,ALREADY,Beyoncé,28,14,22,42,56,34,34,32.857142857142854
28,Lo Lo,Omah Lay,35,26,59,32,24,32,32,34.285714285714285
29,Dream Girl,Global Remix - Ir Sais,34,35,32,35,48,37,37,36.857142857142854
30,See Through,Chip,41,56,61,19,26,40,40,40.42857142857143
31,Better Than I Imagined [Feat. H.E.R. & Meshell Ndegeocello],DJ Tunez Remix - Robert Glasper,20,40,44,44,27,55,55,40.714285714285715
32,Come Over (Remix),Jorja Smith,24,45,58,36,35,44,44,40.857142857142854
33,Lonely,Joeboy,43,37,35,31,22,61,61,41.42857142857143
34,Smile (feat. H.E.R.),WizKid,42,36,51,56,38,36,36,42.142857142857146
35,Princess Cuts (feat. Young T & Bugsey),Headie One,52,21,37,38,41,58,58,43.57142857142857
36,Baby I'm Jealous,Mr Eazi,45,71,48,34,67,26,26,45.285714285714285
37,In My Bed,Rotimi,53,39,42,51,44,45,45,45.57142857142857
38,Tattoo,Fireboy DML,86,66,76,39,16,18,18,45.57142857142857
39,4AM,Manny Norté,58,53,46,37,32,51,51,46.857142857142854
40,Everytime,Spinall,30,72,63,15,36,68,68,50.285714285714285
41,Trouble,"DRB Lasgidi, Fresh L., Tems",13,301,4,12,13,5,5,50.42857142857143
42,Killa (feat. DaVido),Teyana Taylor,75,28,38,70,53,48,48,51.42857142857143
43,Bobo,Aya Nakamura,33,49,60,41,40,73,73,52.714285714285715
44,Pretty Girl,Adekunle Gold,40,43,47,72,54,60,60,53.714285714285715
45,Peace,Mannywellz,46,88,49,67,55,43,43,55.857142857142854
46,DRUNK GUITAR (feat. Potter Payper),NSG,60,47,70,77,49,47,47,56.714285714285715
47,Soweto Blues,Juls,57,59,75,50,59,49,49,56.857142857142854
48,Lenu,Remix - Buju,55,38,69,68,60,59,59,58.285714285714285
49,Koroba,Tiwa Savage,26,55,43,64,69,76,76,58.42857142857143
50,Attention,Tiwa Savage,49,42,34,71,50,83,83,58.857142857142854
51,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,27,301,9,26,18,22,22,60.714285714285715
52,MAD,Sarz,48,52,33,58,63,89,89,61.714285714285715
53,Sponono,Kabza De Small,50,48,31,83,86,67,67,61.714285714285715
54,The Don,Mr Eazi,79,64,86,45,57,52,52,62.142857142857146
55,System (feat. WizKid),Dave,87,23,57,65,46,79,79,62.285714285714285
56,Say Cheese,KiDi,85,27,54,59,61,81,81,64.0
57,Can't Let You Go,Remix - Stefflon Don,76,98,55,43,21,86,86,66.42857142857143
58,Guestlist,Frenna,65,84,97,89,66,35,35,67.28571428571429
59,Solo,Shakka,62,60,77,54,65,80,80,68.28571428571429
60,Lento,Mr Eazi,38,34,62,86,77,94,94,69.28571428571429
61,Carefully,Nana Fofie,70,82,82,53,52,78,78,70.71428571428571
62,Higher,Tems,51,81,90,61,94,64,64,72.14285714285714
63,God's Work (feat. iLL BLU),IAMDDB,97,67,64,66,83,66,66,72.71428571428571
64,"Slow Down (feat. H.E.R., DaVido, & Oxlade)",P2J Remix - Skip Marley,80,70,99,40,43,96,96,74.85714285714286
