rank,song,artist,apple,boom,youtube,RT
1,Feeling,"LADIPOE, Buju",4,2,20,12.666666666666668
2,Rock (Official Video),Olamide,3,13,21,23.0
3,Soundgasm,Rema,10,1,57,30.0
4,Bling (feat. Buju & Amaarae),Blaqbonez,16,36,4,53.333333333333336
5,Show Me,Joeboy,5,57,3,63.0
6,Coming,"Naira Marley, Busiswa",39,35,39,87.0
7,Door,"Joeboy, Kwesi Arthur",64,27,50,107.66666666666667
8,Godly,Omah Lay,75,53,11,131.66666666666666
9,KPK (Ko Por Ke) (Remix) (Official Audio) (feat. Sho Madjozi),Rexxie,43,82,29,134.66666666666666
10,The Best (feat. Mayorkun),Davido,70,59,18,135.0
11,Ginger (feat. Burna Boy),Wizkid,81,55,15,141.0
12,Egbon (feat. Phyno),"Masterkraft, Phyno",44,30,250,157.33333333333331
13,Money,"Terri, Bella Shmurda, MohBad",66,16,250,165.33333333333331
14,World,"Dangbana Republik, Bella Shmurda",55,28,250,166.33333333333331
15,Music Messiah (feat. Wande Coal),"DJ Neptune, Wande Coal",83,3,250,169.33333333333331
16,Fine Wine (feat. King Promise & Joeboy),R2Bees,7,88,250,178.33333333333331
17,Somebody (feat. Phyno),Olamide,23,79,250,185.33333333333331
18,INJURE ME,Teni,73,56,250,212.33333333333331
19,HUSTLE,Teni,79,96,250,258.3333333333333
20,Essence (feat. Tems),Wizkid,1,310,1,311.3333333333333
21,Outside,Buju,8,310,14,322.6666666666667
22,Dimension (Official Video),JAE5,15,310,5,326.6666666666667
23,Bounce (Official Video),Ruger,17,310,6,329.0
24,All (Official Audio) (feat. Davido),Rexxie,2,310,51,329.0
25,LV N ATTN feat. Wizkid (feat. Wizkid),"Lojay, Sarz",11,310,31,331.3333333333333
26,Slow Down,King Promise,13,310,30,333.0
27,Kilometre,Burna Boy,21,310,7,333.3333333333333
28,Send Me Nudes (feat. Joey B),KiDi,9,310,54,337.0
29,It Is What It Is,Adekunle Gold,24,310,10,337.3333333333333
30,Pempe,Seyi Shay and Yemi Alade,300,25,44,339.6666666666667
31,History (feat. Fireboy DML),Cheque & Fireboy DML,300,34,26,342.6666666666667
32,Do Yourself,"Angelique Kidjo, Burna Boy",25,310,35,346.6666666666667
33,PEPE,"L.A.X, Davido",28,310,40,351.3333333333333
34,Ke Star (feat. Vigro Deep),Focalistic featuring Vigro Deep,300,52,2,352.6666666666667
35,FOR YOU (feat. Davido),Teni featuring Davido,300,49,16,354.3333333333333
36,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,300,51,17,356.6666666666667
37,Cash App,Bella Shmurda,300,44,47,359.6666666666667
38,La La (Official Video) (feat. CKay),Davido,46,310,13,360.3333333333333
39,Kilofeshe,Zinoleesky,48,310,25,366.3333333333333
40,Southy Love (feat. Fireboy DML),Peruzzi,47,310,28,366.3333333333333
41,Celebrate Me,Patoranking,300,48,68,370.6666666666667
42,Pronto,"Ajebo Hustlers, Omah Lay",49,310,36,371.0
43,Loco (Official Audio) (feat. Mayorkun),KDDO,65,310,19,381.3333333333333
44,KOLO (feat. Oxlade),Ice Prince,63,310,27,382.0
45,Forever (Remix),"Gyakie, Omah Lay",57,310,49,383.3333333333333
46,Bobo,Aya Nakamura,300,4,250,387.3333333333333
47,Sere Remix,"Spinall, Fireboy DML and 6LACK",300,5,250,388.3333333333333
48,Hold Me Tight (feat. Peruzzi & Okwesili Eze Group),Kcee,300,6,250,389.3333333333333
49,Iphupho (feat. Kuhle),Jabzz Dimitri featuring Kuhle,300,7,250,390.3333333333333
50,Confident,Savage X Buju,300,8,250,391.3333333333333
51,This Your Body,Skales and Davido,300,9,250,392.3333333333333
52,FOCUS DANCE BEAT (feat. HAGMAN & ABATI),AJIMOVOIX_DRUMS,300,10,250,393.3333333333333
53,Baby,Brainee,300,11,250,394.3333333333333
54,Jemeni,Aymos and Focalistic,300,12,250,395.3333333333333
55,Somebody Baby,"Davido, Peruzzi",76,310,34,397.3333333333333
56,In Those Eyes,Ogranya,300,14,250,397.3333333333333
57,Tonongo,"Lojay, Sarz",300,15,250,398.3333333333333
58,Peaches (Masterkraft Remix) [feat. Alpha P & Omah Lay],Justin Bieber,6,310,250,399.3333333333333
59,Sokoma,"Blaq Jerzee, Marioo and Eddy Kenzo",300,17,250,400.3333333333333
60,Right Here,"Walshy Fire, Terri, Cloud Beats",300,18,250,401.3333333333333
61,Lemonade,Ria sean,300,19,250,402.3333333333333
62,Jennifer Remix (feat. Rayvanny),Guchi ft Rayvanny,300,20,250,403.3333333333333
63,GUPTA (feat. Lady Du & Mellow and Sleazy),Focalistic and Mr JazziQ,300,21,250,404.3333333333333
64,Bank On It,Burna Boy,12,310,250,405.3333333333333
65,Hurricane (feat. Buju Banton),Tomi Thomas,300,22,250,405.3333333333333
66,Squander,"Falz, Kamo Mphela, Mpura",82,310,41,405.6666666666667
67,Chance (feat. Tay Iwar & Projexx),JulsBaby,300,23,250,406.3333333333333
68,Heartbreaker (feat. Nasty C),Blaqbonez,300,24,250,407.3333333333333
69,Kogi (feat. Bella Shmurda & Poco Lee),Jumabee,14,310,250,407.3333333333333
70,No Fugazy,Sarkodie,300,26,250,409.3333333333333
71,Sisi Caro,"Governor of Africa, Oxlade",18,310,250,411.3333333333333
72,Korope,"Lil Kesh, Naira Marley",19,310,250,412.3333333333333
73,PEAKING,Tay Iwar,300,29,250,412.3333333333333
74,Carry Go (feat. Zlatan),Schengen Owner,20,310,250,413.3333333333333
75,Cho Cho (feat. Davido & Mayorkun),Zlatan,300,31,250,414.3333333333333
76,Oshofree (feat. s3nami),YKB,22,310,250,415.3333333333333
77,"Zombie (feat. PsychoYP, Laycon & ",) - Blaqbonez,300,32,250,415.3333333333333
78,Attitude (feat. H Baba & Awilo Longomba),Harmonize,300,33,250,416.3333333333333
79,So Long (feat. Tomi Thomas & Larry Gaaga),Sjxy,26,310,250,419.3333333333333
80,"Currently (feat. Olamide, Falz & LK Kuddy)",Kizz Daniel,300,37,250,420.3333333333333
81,Tonight,Yung D3mz,27,310,250,420.3333333333333
82,Thunder Fire You,Ric Hassani,300,38,250,421.3333333333333
83,One Time Ting,DJ Tunez & J. Anthoni,300,39,250,422.3333333333333
84,Berna Reloaded,"Flavour, Fally Ipupa, Diamond Platnumz",29,310,250,422.3333333333333
85,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",300,40,250,423.3333333333333
86,DKT,Oxlade,30,310,250,423.3333333333333
87,Focus,Joeboy,300,41,250,424.3333333333333
88,PANTIES,Kagwe Mungai,31,310,250,424.3333333333333
89,Jackpot (feat. Bella Shmurda),Crayon,32,310,250,425.3333333333333
90,Sika Aba Fie,"Kweku Darlington, Yaw Tog, Kweku Flick",300,42,250,425.3333333333333
91,Kenkey Seller (Remix) [feat. Medikal],Quamina Mp,33,310,250,426.3333333333333
92,Rush,Dangbana Republik X Bella Shmurda,300,43,250,426.3333333333333
93,Inside House,"D-Tac, Soundz",34,310,250,427.3333333333333
94,Sere (Remix),"Spinall, Fireboy DML, 6LACK",35,310,250,428.3333333333333
