rank,song,artist
1,Feeling,"LADIPOE, Buju"
2,Rock (Official Video),Olamide
3,Soundgasm,Rema
4,Bling (feat. Buju & Amaarae),Blaqbonez
5,Show Me,Joeboy
6,Coming,"Naira Marley, Busiswa"
7,Door,"Joeboy, Kwesi Arthur"
8,Godly,Omah Lay
9,KPK (Ko Por Ke) (Remix) (Official Audio) (feat. Sho Madjozi),Rexxie
10,The Best (feat. Mayorkun),Davido
11,Ginger (feat. Burna Boy),Wizkid
12,Egbon (feat. Phyno),"Masterkraft, Phyno"
13,Money,"Terri, Bella Shmurda, MohBad"
14,World,"Dangbana Republik, Bella Shmurda"
15,Music Messiah (feat. Wande Coal),"DJ Neptune, Wande Coal"
16,Fine Wine (feat. King Promise & Joeboy),R2Bees
17,Somebody (feat. Phyno),Olamide
18,INJURE ME,Teni
19,HUSTLE,Teni
20,Essence (feat. Tems),Wizkid
21,Outside,Buju
22,Dimension (Official Video),JAE5
23,Bounce (Official Video),Ruger
24,All (Official Audio) (feat. Davido),Rexxie
25,LV N ATTN feat. Wizkid (feat. Wizkid),"Lojay, Sarz"
26,Slow Down,King Promise
27,Kilometre,Burna Boy
28,Send Me Nudes (feat. Joey B),KiDi
29,It Is What It Is,Adekunle Gold
30,Pempe,Seyi Shay and Yemi Alade
31,History (feat. Fireboy DML),Cheque & Fireboy DML
32,Do Yourself,"Angelique Kidjo, Burna Boy"
33,PEPE,"L.A.X, Davido"
34,Ke Star (feat. Vigro Deep),Focalistic featuring Vigro Deep
35,FOR YOU (feat. Davido),Teni featuring Davido
36,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
37,Cash App,Bella Shmurda
38,La La (Official Video) (feat. CKay),Davido
39,Kilofeshe,Zinoleesky
40,Southy Love (feat. Fireboy DML),Peruzzi
41,Celebrate Me,Patoranking
42,Pronto,"Ajebo Hustlers, Omah Lay"
43,Loco (Official Audio) (feat. Mayorkun),KDDO
44,KOLO (feat. Oxlade),Ice Prince
45,Forever (Remix),"Gyakie, Omah Lay"
46,Bobo,Aya Nakamura
47,Sere Remix,"Spinall, Fireboy DML and 6LACK"
48,Hold Me Tight (feat. Peruzzi & Okwesili Eze Group),Kcee
49,Iphupho (feat. Kuhle),Jabzz Dimitri featuring Kuhle
50,Confident,Savage X Buju
