rank,song,artist,Previous week,weeks on chart
1,Ginger (feat. Burna Boy),Wizkid,2,3
2,Feeling,"LADIPOE, Buju",27,3
3,Show Me,Joeboy,9,3
4,Coming,"Naira Marley, Busiswa",15,3
5,FOR YOU (feat. Davido),Teni featuring Davido,7,3
6,Bounce (Official Video),Ruger,31,3
7,Outside,Buju,30,3
8,Essence (feat. Tems),Wizkid,25,3
9,La La (Official Video) (feat. CKay),Davido,22,3
10,INJURE ME,Teni,19,3
11,Rock (Official Video),Olamide,4,3
12,Soundgasm,Rema,3,3
13,Egbon (feat. Phyno),"Masterkraft, Phyno",34,3
14,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,0,1
15,Pempe,Seyi Shay and Yemi Alade,18,3
16,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,47,3
17,Kilometre,Burna Boy,16,3
18,PEPE,"L.A.X, Davido",20,3
19,Music Messiah,DJ Neptune,0,1
20,Somebody Baby,"Davido, Peruzzi",24,3
21,Bling (feat. Buju & Amaarae),Blaqbonez,5,3
22,Godly,Omah Lay,1,3
23,Pronto ft. Omah Lay,"Ajebo Hustlers, Omah Lay",0,1
24,The Best (feat. Mayorkun),Davido,6,2
25,Dimension (Official Video),JAE5,10,3
26,KOLO (feat. Oxlade),Ice Prince,23,2
27,Slow Down,King Promise,14,3
28,All (Official Audio) (feat. Davido),Rexxie,12,3
29,Understand (Lyric Video),Omah Lay,0,1
30,Squander,Niniola,0,1
31,Ke Star (feat. Vigro Deep),Focalistic featuring Vigro Deep,41,3
32,Cho Cho ft. Davido & Mayorkun,Zlatan,0,1
33,This Your Body,Skales and Davido,35,2
34,Money,"Terri, Bella Shmurda, Mohbad",36,3
35,World,"Dangbana Republik, Bella Shmurda",39,2
36,The Key,Tems,0,1
37,Sere (Remix),"Spinall, Fireboy DML, 6LACK",0,1
38,Fine Wine (feat. King Promise & Joeboy),R2Bees,8,3
39,Blessed (feat. Damian Marley),Wizkid,37,3
40,Verified ft. Mayorkun,Laycon,0,1
41,Jackpot ft. Bella Shumurda,Crayon,0,1
42,AWAY,Ayra Starr,29,2
43,Party Next Door,"Dangbana Republik, Bella Shmurda",40,2
44,Monalisa,"Lojay, Sarz",48,2
45,Off You ft. KiDi,Kidi,0,1
46,Celebrate Me,Patoranking,32,2
47,Rush,Dangbana Republik X Bella Shmurda,0,1
48,Door,Joeboy,17,2
49,Loco ft. Mayorkun,KDDO,0,1
50,Southy Love (feat. Fireboy DML),Peruzzi,0,1
