rank,song,artist,apple,audio,youtube,boom,spotify,RT
1,Ginger (feat. Burna Boy),Wizkid,68,73,26,30,3,40.0
2,Feeling ft. Buju,"LADIPOE, Buju",5,8,5,4,290,62.4
3,Show Me,Joeboy,14,75,14,21,290,82.8
4,Coming ft. Busiswa,"Naira Marley, Busiswa",53,60,11,12,290,85.2
5,Essence (feat. Tems),Wizkid,2,310,1,8,110,86.2
6,Bounce,Ruger,10,310,4,22,92,87.6
7,FOR YOU,Teni featuring Davido,300,68,22,26,63,95.8
8,Enjoyment,Yemi Alade,25,6,55,350,154,118.0
9,Outside,Buju,18,310,6,2,290,125.2
10,La La ft. Ckay,Davido,13,310,15,1,290,125.8
11,Understand (Lyric Video),Omah Lay,1,1,2,350,290,128.8
12,Rock (Official Video),Olamide,6,2,7,350,290,131.0
13,Soundgasm,Rema,7,7,3,350,290,131.4
14,INJURE ME,Teni,37,74,250,10,290,132.2
15,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,300,36,40,7,290,134.6
16,Egbon ft. Phyno,"Masterkraft, Phyno",55,55,250,42,290,138.4
17,Kilometre,Burna Boy,52,310,18,25,290,139.0
18,Pempe ft. Yemi Alade,Seyi Shay and Yemi Alade,300,50,49,16,290,141.0
19,PEPE ft. Davido,"L.A.X, Davido",61,310,41,6,290,141.6
20,Somebody Baby ft. Davido,"Davido, Peruzzi",71,310,28,11,290,142.0
21,Hallelu ft. Bella Shmurda & Zlatan,Masterkraft,300,69,24,28,290,142.2
22,Testimony,Buju,3,5,250,350,114,144.4
23,Bling (feat. Buju & Amaarae),Blaqbonez,17,61,19,350,290,147.4
24,Pronto ft. Omah Lay,"Ajebo Hustlers, Omah Lay",76,310,36,32,290,148.8
25,Dimension (feat. Skepta & Rema),JAE5,28,310,13,350,47,149.6
26,KOLO (feat. Oxlade),Ice Prince,41,310,34,350,24,151.8
27,Godly,Omah Lay,300,71,27,350,14,152.4
28,"Slow Down (feat. H.E.R., DaVido, & Oxlade)",King Promise,9,310,32,350,100,160.2
29,The Best (feat. Mayorkun),Davido,57,76,35,350,290,161.6
30,Ke Star,Focalistic featuring Vigro Deep,300,70,9,350,102,166.2
31,Music Messiah ft. Wande Coal,DJ Neptune,300,9,250,5,290,170.8
32,Cho Cho ft. Davido & Mayorkun,Zlatan,300,56,250,14,290,182.0
