rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Bounce (Official Video),Ruger,1,1,1,1,1,5,5,2.142857142857143
2,Soundgasm,Rema,2,2,2,2,2,3,3,2.2857142857142856
3,Rock (Official Video),Olamide,3,3,3,3,3,6,6,3.857142857142857
4,Essence (feat. Tems),Wizkid,5,5,5,5,5,1,1,3.857142857142857
5,Feeling,Ladipoe,6,6,6,6,6,4,4,5.428571428571429
6,Monalisa,Lojay,9,8,8,8,8,10,10,8.714285714285714
7,Ke Star (feat. Vigro Deep),Focalistic,10,9,9,9,9,9,9,9.142857142857142
8,Outside,Buju,12,11,11,11,11,7,7,10.0
9,Yaba Buluku (Remix) (feat. Preck & Nelson Tivane),Dj Tarico,15,14,14,14,14,8,8,12.428571428571429
10,Door,Joeboy,14,13,13,13,13,15,15,13.714285714285714
11,Dimension (Official Video),JAE5,16,15,15,15,15,13,13,14.571428571428571
12,Enjoy (Remix),Tekno,17,16,16,16,16,17,17,16.428571428571427
13,Godly,Omah Lay,11,10,10,10,10,32,32,16.428571428571427
14,Infinity (feat. Omah Lay),Olamide,8,7,7,7,7,41,41,16.857142857142858
15,Berna Reloaded,Flavour,18,17,17,17,17,18,18,17.428571428571427
16,La La (Official Video) (feat. CKay),Davido,19,18,18,18,18,16,16,17.571428571428573
17,Show Me,Joeboy,20,19,19,19,19,19,19,19.142857142857142
18,It Is What It Is,Adekunle Gold,21,20,20,20,20,25,25,21.571428571428573
19,Bling (feat. Buju & Amaarae),Blaqbonez,23,22,22,22,22,27,27,23.571428571428573
20,23,Burna Boy,24,23,23,23,23,28,28,24.571428571428573
21,Coming,Naira Marley,31,30,30,30,30,11,11,24.714285714285715
22,Somebody Baby,Davido,25,24,24,24,24,29,29,25.571428571428573
23,Kilometre,Burna Boy,29,28,28,28,28,21,21,26.142857142857142
24,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,26,25,25,25,25,30,30,26.571428571428573
25,Celebrate Me (Official Video),Patoranking,30,29,29,29,29,20,20,26.571428571428573
26,Ayra Starr,MavinRecords,33,32,32,32,32,24,24,29.857142857142858
27,The Best (feat. Mayorkun),Davido,28,27,27,27,27,40,40,30.857142857142858
28,Kilofeshe,Zinoleesky,27,26,26,26,26,43,43,31.0
29,Bounce,Rema,35,34,34,34,34,23,23,31.0
30,FOR YOU (feat. Davido),Teni,36,35,35,35,35,22,22,31.428571428571427
31,History (feat. Fireboy DML),Cheque,32,31,31,31,31,33,33,31.714285714285715
32,Forever (Remix),Gyakie,4,4,4,4,4,201,14,33.57142857142857
33,Pronto,Ajebo Hustlers,34,33,33,33,33,38,38,34.57142857142857
34,Ginger (feat. Burna Boy),Wizkid,38,37,37,37,37,31,31,35.42857142857143
35,Southy Love (feat. Fireboy DML),Peruzzi,39,38,38,38,38,34,34,37.0
36,Squander,Niniola,37,36,36,36,36,42,42,37.857142857142854
37,Slow Down,King Promise,40,39,39,39,39,37,37,38.57142857142857
38,KOLO (feat. Oxlade),Ice Prince,41,40,40,40,40,36,36,39.0
39,Loco (Official Audio) (feat. Mayorkun),KDDO,46,45,45,45,45,35,35,42.285714285714285
40,High Way,Dj Kaywise,45,44,44,44,44,39,39,42.714285714285715
41,Send Me Nudes (feat. Joey B),KiDi,42,41,41,41,41,48,48,43.142857142857146
42,KPK (Ko Por Ke) (Remix) (Official Audio) (feat. Sho Madjozi),Sho Madjozi,44,43,43,43,43,44,44,43.42857142857143
43,All My Life (feat. Oxlade),M.I Abaga,43,42,42,42,42,49,49,44.142857142857146
44,PEPE,Davido,47,46,46,46,46,45,45,45.857142857142854
45,Fine Fine,Korede Bello,48,47,47,47,47,46,46,46.857142857142854
46,Off You (Audio),Kidi,49,48,48,48,48,47,47,47.857142857142854
47,Pempe,Yemi Alade,50,49,49,49,49,50,50,49.42857142857143
48,All (Official Audio) (feat. Davido),Rexxie,13,12,12,12,12,201,201,66.14285714285714
49,Felony,CKay,201,201,21,21,21,26,26,73.85714285714286
50,Understand (Lyric Video),Omah Lay,201,201,201,201,201,2,2,144.14285714285714
51,Naira Marley,Zinoleesky,201,201,201,201,201,12,12,147.0
52,CKay,CKay,22,21,201,201,201,201,201,149.71428571428572
53,For You (feat. Joeboy),Ko-Jo Cue,7,201,201,201,201,201,201,173.28571428571428
54,Forever,Gyakie,201,201,201,201,201,14,201,174.28571428571428
