rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Understand,Omah Lay,1,1,1,1,1,1,1,1.0
2,Feeling ft. Buju,LADIPOE,2,2,2,2,2,2,2,2.0
3,Rock,Olamide,3,3,3,3,3,3,3,3.0
4,Bounce,Ruger,4,4,4,4,4,4,4,4.0
5,Big Thug Boys,AV,5,5,5,5,5,5,5,5.0
6,Show Me,Joeboy,6,6,6,6,6,6,6,6.0
7,History ft. Fireboy DML,Cheque,7,7,7,7,7,7,7,7.0
8,Medicine,Jaywillz,8,9,8,8,8,8,8,8.142857142857142
9,Focus,Joeboy,10,10,11,9,9,9,9,9.571428571428571
10,Rise Up ft. Falz,2Baba,9,8,9,10,11,15,13,10.714285714285714
11,Infinity ft. Omah Lay,Olamide,11,12,12,12,10,10,10,11.0
12,Any More ft. Phyno,Victor AD,12,11,10,11,12,12,16,12.0
13,Black ft. Mr Eazi,Victor AD,13,13,13,13,13,11,21,13.857142857142858
14,Celebrate Me,Patoranking,14,15,15,15,14,13,11,13.857142857142858
15,Triumphant ft. Bella Shmurda,Olamide,18,18,17,14,15,14,12,15.428571428571429
16,Kilometre,Burna Boy,15,16,16,17,18,18,14,16.285714285714285
17,OLOFOFO,Victor AD,16,14,14,16,19,19,18,16.571428571428573
18,Godly,Omah Lay,17,17,18,18,17,16,15,16.857142857142858
19,Running (To You) ft. Simi,Chike,19,19,20,19,16,17,17,18.142857142857142
20,Testimony,Buju,20,20,19,20,21,22,22,20.571428571428573
21,Bia,Phyno,22,22,22,24,20,20,20,21.428571428571427
22,Need For Speed,Olamide,21,21,21,21,22,21,24,21.571428571428573
23,Essence ft. Tems,Wizkid,23,26,26,22,23,23,23,23.714285714285715
24,Julie,Olamide,24,23,23,23,25,24,26,24.0
25,Too Correct ft. Rema,Crayon,25,24,24,25,24,25,27,24.857142857142858
26,Door ft. Kwesi Arthur,Joeboy,26,25,25,26,26,26,28,26.0
27,Champion ft. D Smoke,Fireboy DML,27,29,30,27,27,27,29,28.0
28,PEPE ft. Davido,L.A.X,28,28,29,29,30,29,31,29.142857142857142
29,Professor Peller ft. Zlatan,Seyi Vibez,31,27,27,28,29,31,34,29.571428571428573
30,Can't Relate,Omah Lay,30,30,31,30,28,28,30,29.571428571428573
31,Way Too Big,Burna Boy,36,36,36,33,31,30,32,33.42857142857143
32,Somebody ft. Phyno,Olamide,33,31,33,32,32,35,39,33.57142857142857
33,One Kiss,Victor AD,32,32,32,31,34,37,46,34.857142857142854
34,Jailer ft. Jaywillz,Olamide,35,34,35,35,35,34,36,34.857142857142854
35,FOR YOU ft. Davido,Teni,34,35,37,36,36,33,35,35.142857142857146
36,"PAMI ft. Wizkid, Adekunle Gold & Omah Lay",DJ Tunez,38,37,39,38,38,36,38,37.714285714285715
37,Abule,Patoranking,37,38,42,40,37,38,37,38.42857142857143
38,Abu Dhabi,Ruger,47,43,49,37,33,32,33,39.142857142857146
39,Love Like This ft. Fireboy DML,Lil Kesh,40,40,43,45,40,39,40,41.0
40,Loading ft. BadboyTimz,Olamide,42,41,45,43,41,40,43,42.142857142857146
41,My Bebe,Omah Lay,46,45,47,44,42,43,42,44.142857142857146
42,23,Burna Boy,44,46,46,42,47,44,44,44.714285714285715
43,Lonely,Joeboy,48,48,44,48,44,42,41,45.0
44,Baba Fela (Remix) ft. Laycon & Zlatan,Mr Real,45,42,48,47,45,45,45,45.285714285714285
45,Roju,Chike,29,33,34,41,50,50,201,62.57142857142857
46,PonPon ft. Fave,Olamide,41,39,38,39,46,46,201,64.28571428571429
47,Bless Boys,Victor AD,39,49,41,46,43,41,201,65.71428571428571
48,If You No Love,Chike,50,201,50,50,49,48,48,70.85714285714286
49,Adura ft. Mohbad,Bella Shmurda,201,50,201,49,201,47,50,114.14285714285714
50,Lole,Kendickson,201,201,28,34,39,201,201,129.28571428571428
51,Rotate (Freestyle),Mr Eazi,49,44,40,201,201,201,201,133.85714285714286
52,Dorime ,Teni,201,201,201,201,201,49,19,153.28571428571428
53,Cash App ft. Zlatan & Lincoln,Bella Shmurda,43,47,201,201,201,201,201,156.42857142857142
54,Mercy,Falz,201,201,201,201,201,201,25,175.85714285714286
55,Bad Influence ,Omah Lay,201,201,201,201,201,201,47,179.0
56,Felony,CKay,201,201,201,201,48,201,201,179.14285714285714
57,Door,Joeboy,201,201,201,201,201,201,49,179.28571428571428
