,Position,song,artist
0,1,NEED ME,Gyakie
1,2,Bounce,Ruger
2,3,Infinity,Olamide
3,4,Essence (feat. Justin Bieber & Tems),Wizkid
4,5,Peru,Fireboy Dml
5,6,Somebody’s Son,Tiwa Savage
6,7,Bling (feat. Amaarae & Buju),Blaqbonez
7,8,Steady,Wizkid
8,9,Running (To You),Chike
9,10,More,Troniq Music
10,11,Forever (Remix),Gyakie
11,12,Feeling,LADIPOE
12,13,Bloody Samaritan,Ayra Starr
13,14,Alone,Oladapo
14,15,Pray,Victony
15,16,Ogogoro,Yemi Alade
16,17,Peaches (Masterkraft Remix),Justin Bieber
17,18,Outside,Buju
18,19,Gone Girl,Obongjayar
19,20,Snitch,Ayra Starr
20,21,Vibration,Fireboy Dml
21,22,Essence (feat. Tems),Wizkid
22,23,Slow Down,King Promise
23,24,Call Me Baby,Cheque
24,25,Touch It,KiDi
25,26,Baby I'm Jealous,Mr Eazi
26,27,In My Maserati,Olakira
27,28,Soundgasm,Rema
28,29,PANTIES,Kagwe Mungai
29,30,Send Me Nudes,KiDi
30,31,Away,Ayra Starr
31,32,My Jaber (Friday),H_art the Band
32,33,La La (feat. Ckay),DaVido
33,34,Searching,Lady Donli
34,35,Whine,Gyakie
35,36,Shine Your Light (feat. Akon),Master KG
36,37,Say Cheese,KiDi
37,38,Woman,Rema
38,39,Enjoy (Remix),Tekno
39,40,Bank Notification,Ciza
40,41,Damages,Tems
41,42,Summeryomuthi,Blaq Diamond
42,43,Nobody,DJ Neptune
43,44,FOR YOU,Teni
44,45,The Best (feat. Mayorkun),DaVido
45,46,Lonely,Joeboy
46,47,I Love You,Mr. P
47,48,Thunder Fire You,Ric Hassani
48,49,Kiss Me Like You Miss Me,CKay
49,50,Bossy Part II,WurlD
