Position,song,artist
1,It Is What It Is,Adekunle Gold
2,Sere,"Spinall, Fireboy DML"
3,Somebody (feat. Phyno),Olamide
4,Onyeka (Baby),Burna Boy
5,Milele,"Somi, Thandiswa"
6,Feeling,LADIPOE
7,Proud,Oladapo
8,Essence (feat. Tems),WizKid
9,Celebration,Joeboy
10,MOSLADO,Teni
11,Kilometre,Burna Boy
12,DKT,Oxlade
13,Woman,Rema
14,Alright (feat. Shatta Wale),King Promise
15,Sempe,L.A.X
16,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)","DJ Tunez, Omah Lay"
17,No Stress,WizKid
18,Lonely,Joeboy
19,FOR YOU,Teni
20,Green Light,Olamide
21,Summeryomuthi,Blaq Diamond
22,Activate,Stonebwoy
23,Soundgasm,Rema
24,Cool Me Down (feat. Wizkid),DJ Tunez
25,Abule,Patoranking
26,Gobe - Remix,L.A.X
27,Outside,Buju
28,Only One (feat. King Promise),Navy Kenzo
29,This Your Body,Skales
30,Pretty Girl,Adekunle Gold
31,Chargie,Sean Tizzle
32,NO LONGER BENEFICIAL,Simi
33,JUMPING SHIP,Amaarae
34,Everytime - Remix,Spinall
35,Damn (feat. 6lack),Omah Lay
36,Tellin Me Something,Nelson Freitas
37,Ogaranya,Reminisce
38,Flex,Kizz Daniel
39,Jeje,Diamond Platnumz
40,Running (To You),chike
41,Dangerous Love,Tiwa Savage
42,Addicted,Niniola
43,Tele,Kelvyn Boy
44,Kini Issue,Runtown
45,Sudden,Tekno
46,CHOP N PRAY,WurlD
47,Konnect,Maleek Berry
48,Nana Nyame,Gyakie
49,One Shirt (feat. Jonzing World),D'Prince
50,Berna,Flavour
51,Jeje de Whine,CKay
52,Badman Love,Skales
53,True Love,Yemi Alade
54,Can't Let You Go - Remix,Stefflon Don
55,Smile (feat. H.E.R.),WizKid
56,Need You,Fitila
57,Saudi Arabia,Mr Eazi
58,Ohema,Buju
59,Felony,CKay
60,Wettin Dey Sup,Burna Boy
