rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Sinner,"Adekunle Gold, Lucky Daye",1,1,1,1,1,1,1,1.0
2,Understand,Omah Lay,3,3,3,3,3,3,3,3.0
3,Sere,Spinall,2,4,2,6,6,4,4,4.0
4,Milele,"Somi, Thandiswa",5,5,5,5,5,5,5,5.0
5,Feeling,LADIPOE,10,14,4,4,4,7,6,7.0
6,Essence (feat. Tems),WizKid,8,8,8,8,8,8,8,8.0
7,Summeryomuthi,Blaq Diamond,11,10,11,2,2,14,12,8.857142857142858
8,It Is What It Is,Adekunle Gold,9,9,9,9,9,9,9,9.0
9,Lonely,Joeboy,4,18,19,18,14,6,11,12.857142857142858
10,Sempe,L.A.X,23,6,14,12,20,10,13,14.0
11,Kilometre,Burna Boy,16,20,21,16,12,12,10,15.285714285714286
12,Alright (feat. Shatta Wale),King Promise,15,13,12,13,18,20,18,15.571428571428571
13,Onyeka (Baby),Burna Boy,6,7,10,25,21,21,20,15.714285714285714
14,Woman,Rema,24,2,7,26,17,22,16,16.285714285714285
15,No Stress,WizKid,7,29,18,15,15,17,15,16.571428571428573
16,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)","DJ Tunez, Omah Lay",18,12,13,11,10,32,28,17.714285714285715
17,Celebration,Joeboy,12,31,29,10,7,18,25,18.857142857142858
18,MOSLADO,Teni,25,11,6,24,19,36,27,21.142857142857142
19,Pretty Girl,Adekunle Gold,22,21,26,17,16,23,23,21.142857142857142
20,Soundgasm,Rema,14,23,20,34,23,31,7,21.714285714285715
21,FOR YOU,Teni,17,17,17,14,28,26,36,22.142857142857142
22,Everytime,Remix - Spinall,41,28,16,20,22,11,22,22.857142857142858
23,DKT,Oxlade,19,30,28,30,26,19,24,25.142857142857142
24,Cool Me Down (feat. Wizkid),DJ Tunez,26,24,24,23,37,25,19,25.428571428571427
25,Can't Let You Go,Remix - Stefflon Don,42,16,15,37,27,27,21,26.428571428571427
26,Flex,Kizz Daniel,33,26,31,22,25,24,30,27.285714285714285
27,Dangerous Love,Tiwa Savage,20,22,23,32,32,30,35,27.714285714285715
