rank,song,artist,audio,boom,youtube,RT
1,Somebody ft. Phyno,Olamide,46,7,250,136.33333333333331
2,Rock (Official Video),Olamide,300,1,3,302.0
3,Bounce (Official Video),Ruger,300,5,1,305.3333333333333
4,Feeling,LADIPOE,300,2,20,308.6666666666667
5,Kilometre,Burna Boy,300,10,5,311.6666666666667
6,Godly,Omah Lay,300,15,14,319.6666666666667
7,If You No Love (feat. Mayorkun),Chike,300,27,27,336.0
8,Too Correct,Crayon,300,22,44,336.6666666666667
9,The Best (feat. Mayorkun),Davido,300,39,18,345.0
10,Door,Joeboy,300,29,49,345.3333333333333
11,Abule,Patoranking,300,38,23,345.6666666666667
12,Somebody Baby,Peruzzi & Davido,25,310,34,346.3333333333333
13,Loading (feat. Bad Boy Timz),Olamide,300,42,17,347.6666666666667
14,My Bebe,Omah Lay,300,44,26,352.6666666666667
15,All (Official Audio) (feat. Davido),Rexxie,300,56,51,373.0
16,Need For Speed,Olamide,300,3,250,386.3333333333333
17,History ft. Fireboy DML,Cheque,300,4,250,387.3333333333333
18,Show Me,Joeboy,300,6,250,389.3333333333333
19,Focus,Joeboy,300,8,250,391.3333333333333
20,Jailer ft. Jaywillz,Olamide,300,9,250,392.3333333333333
21,Julie,Olamide,300,11,250,394.3333333333333
22,Lowkey,Xenia Manasseh,1,310,250,394.3333333333333
23,Catch A Vibe,Karun and MOMBRU,2,310,250,395.3333333333333
24,Want ft. Fave,Olamide,300,12,250,395.3333333333333
25,Cherry (feat. Xenia Manasseh),Mr Eazi,3,310,250,396.3333333333333
26,Infinity ft. Omah Lay,Olamide,300,13,250,396.3333333333333
27,Hapo Tu (feat. Chris Kaiga),Nyashinski,4,310,250,397.3333333333333
28,PonPon ft. Fave,Olamide,300,14,250,397.3333333333333
29,Baridi (feat. Sanaipei Tande),Nviiri The Storyteller featuring Sanaipei Tande,5,310,250,398.3333333333333
30,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley)",Lyta,6,310,250,399.3333333333333
31,Running (To You) ft. Simi,Chike,300,16,250,399.3333333333333
32,OLOFOFO,Victor AD,300,17,250,400.3333333333333
33,DADA,Kobi Jonz,7,310,250,400.3333333333333
34,Celebrate Me,Patoranking,300,18,250,401.3333333333333
35,Falling For U,"Blaq Jerzee, Mr Eazi and Harmonize",8,310,250,401.3333333333333
36,Cup Of Tea,Olamide,300,19,250,402.3333333333333
37,Jafafa,Chinko Ekun & Mohbad,9,310,250,402.3333333333333
38,Triumphant ft. Bella Shmurda,Olamide,300,20,250,403.3333333333333
39,My Baby,Di'Ja,10,310,250,403.3333333333333
40,Rough Up ft. Layydoe,Olamide,300,21,250,404.3333333333333
41,LayLow,Amipatra,11,310,250,404.3333333333333
42,FALL IN LOVE,Willy Paul & Miss P,12,310,250,405.3333333333333
43,Closer,Diteh,13,310,250,406.3333333333333
44,Petty (Bonus Track),Olamide,300,23,250,406.3333333333333
45,PEPE ft. Davido,L.A.X,300,24,250,407.3333333333333
46,Believe (feat. Sarkodie & Kwesi Arthur),Pappy Kojo featuring Sarkodie and Kwesi Arthur,14,310,250,407.3333333333333
47,Essence ft. Tems,Wizkid,300,25,250,408.3333333333333
48,Tonight (feat. Adina Thembi),Pappy Kojo featuring Adina Thembi,15,310,250,408.3333333333333
49,My Heart,Pappy Kojo and Kuami Eugene,16,310,250,409.3333333333333
50,So Much More,Olamide,300,26,250,409.3333333333333
51,Backup n Whyne,Miles Stunner,17,310,250,410.3333333333333
52,Forever (Remix) ft. Omah Lay,Gyakie,300,28,250,411.3333333333333
53,Kitenge,Nviiri The Storyteller,18,310,250,411.3333333333333
54,Niko Sawa (feat. Bien),Nviiri The Storyteller featuring Bien,19,310,250,412.3333333333333
55,Bembeleza,Nviiri The Storyteller,20,310,250,413.3333333333333
