rank,song,artist
1,Somebody ft. Phyno,Olamide
2,Rock (Official Video),Olamide
3,Bounce (Official Video),Ruger
4,Feeling,LADIPOE
5,Kilometre,Burna Boy
6,Godly,Omah Lay
7,If You No Love (feat. Mayorkun),Chike
8,Too Correct,Crayon
9,The Best (feat. Mayorkun),Davido
10,Door,Joeboy
11,Abule,Patoranking
12,Somebody Baby,Peruzzi & Davido
13,Loading (feat. Bad Boy Timz),Olamide
14,My Bebe,Omah Lay
15,All (Official Audio) (feat. Davido),Rexxie
16,Need For Speed,Olamide
17,History ft. Fireboy DML,Cheque
18,Show Me,Joeboy
19,Focus,Joeboy
20,Jailer ft. Jaywillz,Olamide
21,Julie,Olamide
22,Lowkey,Xenia Manasseh
23,Catch A Vibe,Karun and MOMBRU
24,Want ft. Fave,Olamide
25,Cherry (feat. Xenia Manasseh),Mr Eazi
26,Infinity ft. Omah Lay,Olamide
27,Hapo Tu (feat. Chris Kaiga),Nyashinski
28,PonPon ft. Fave,Olamide
29,Baridi (feat. Sanaipei Tande),Nviiri The Storyteller featuring Sanaipei Tande
30,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley)",Lyta
31,Running (To You) ft. Simi,Chike
32,OLOFOFO,Victor AD
33,DADA,Kobi Jonz
34,Celebrate Me,Patoranking
35,Falling For U,"Blaq Jerzee, Mr Eazi and Harmonize"
36,Cup Of Tea,Olamide
37,Jafafa,Chinko Ekun & Mohbad
38,Triumphant ft. Bella Shmurda,Olamide
39,My Baby,Di'Ja
40,Rough Up ft. Layydoe,Olamide
41,LayLow,Amipatra
42,FALL IN LOVE,Willy Paul & Miss P
43,Closer,Diteh
44,Petty (Bonus Track),Olamide
45,PEPE ft. Davido,L.A.X
46,Believe (feat. Sarkodie & Kwesi Arthur),Pappy Kojo featuring Sarkodie and Kwesi Arthur
47,Essence ft. Tems,Wizkid
48,Tonight (feat. Adina Thembi),Pappy Kojo featuring Adina Thembi
49,My Heart,Pappy Kojo and Kuami Eugene
50,So Much More,Olamide
