rank,song,artist,audio,boom,youtube,spotify,RT
1,Feeling,LADIPOE,300,2,1,6,77.25
2,Somebody (feat. Phyno),Olamide,46,11,250,3,77.5
3,Kilometre,Burna Boy,300,8,8,11,81.75
4,Somebody Baby,Peruzzi & Davido,25,50,16,290,95.25
5,Abule,Patoranking,300,36,33,25,98.5
6,Essence (feat. Tems),Wizkid,300,22,250,8,145.0
7,Rock (Official Video),Olamide,300,1,4,290,148.75
8,Bounce,Ruger,300,3,2,290,148.75
9,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,300,38,250,16,151.0
10,Running (To You),Chike,300,14,250,40,151.0
11,Godly,Omah Lay,300,15,18,290,155.75
12,Chargie,Lykan Sensei,33,310,250,31,156.0
13,All (Official Audio) (feat. Davido),Rexxie,300,43,6,290,159.75
14,Onyeka (Baby),Burna Boy,300,310,28,4,160.5
15,Damn (feat. 6lack),Omah Lay,300,58,250,35,160.75
16,If You No Love (feat. Mayorkun),Chike,300,27,35,290,163.0
17,Loading (feat. Bad Boy Timz),Olamide,300,42,20,290,163.0
18,Woman,Rema,300,310,30,13,163.25
19,Too Correct,Crayon,300,19,50,290,164.75
20,Door,Joeboy,300,25,45,290,165.0
21,The Best (feat. Mayorkun),Davido,300,53,24,290,166.75
22,My Bebe,Omah Lay,300,48,34,290,168.0
23,FOR YOU,Ko-Jo Cue,300,310,53,19,170.5
24,History ft. Fireboy DML,Cheque,300,4,250,290,211.0
25,Show Me,Joeboy,300,5,250,290,211.25
26,Need For Speed,Olamide,300,6,250,290,211.5
27,Focus,Joeboy,300,7,250,290,211.75
28,Infinity ft. Omah Lay,Olamide,300,9,250,290,212.25
29,OLOFOFO,Victor AD,300,10,250,290,212.5
30,Lowkey,Xenia Manasseh,1,310,250,290,212.75
31,Catch A Vibe,Karun and MOMBRU,2,310,250,290,213.0
32,Julie,Olamide,300,12,250,290,213.0
33,Cherry (feat. Xenia Manasseh),Mr Eazi,3,310,250,290,213.25
34,Jailer ft. Jaywillz,Olamide,300,13,250,290,213.25
35,Hapo Tu (feat. Chris Kaiga),Nyashinski,4,310,250,290,213.5
36,Baridi (feat. Sanaipei Tande),Nviiri The Storyteller featuring Sanaipei Tande,5,310,250,290,213.75
37,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley)",Lyta,6,310,250,290,214.0
38,Triumphant ft. Bella Shmurda,Olamide,300,16,250,290,214.0
39,Celebrate Me,Patoranking,300,17,250,290,214.25
40,DADA,Kobi Jonz,7,310,250,290,214.25
41,Falling For U,"Blaq Jerzee, Mr Eazi and Harmonize",8,310,250,290,214.5
42,Big Thug Boys,AV,300,18,250,290,214.5
43,Jafafa,Chinko Ekun & Mohbad,9,310,250,290,214.75
44,PonPon ft. Fave,Olamide,300,20,250,290,215.0
45,My Baby,Di'Ja,10,310,250,290,215.0
46,It Is What It Is,Adekunle Gold,300,310,250,1,215.25
47,LayLow,Amipatra,11,310,250,290,215.25
48,PEPE ft. Davido,L.A.X,300,21,250,290,215.25
49,FALL IN LOVE,Willy Paul & Miss P,12,310,250,290,215.5
50,Sere,"Spinall, Fireboy DML",300,310,250,2,215.5
51,Want ft. Fave,Olamide,300,23,250,290,215.75
52,Closer,Diteh,13,310,250,290,215.75
53,Ayewada,Barry Jhay,300,24,250,290,216.0
54,Believe (feat. Sarkodie & Kwesi Arthur),Pappy Kojo featuring Sarkodie and Kwesi Arthur,14,310,250,290,216.0
55,Tonight (feat. Adina Thembi),Pappy Kojo featuring Adina Thembi,15,310,250,290,216.25
56,Milele,"Somi, Thandiswa",300,310,250,5,216.25
57,Cup Of Tea,Olamide,300,26,250,290,216.5
58,My Heart,Pappy Kojo and Kuami Eugene,16,310,250,290,216.5
59,Proud,Oladapo,300,310,250,7,216.75
60,Backup n Whyne,Miles Stunner,17,310,250,290,216.75
61,Kitenge,Nviiri The Storyteller,18,310,250,290,217.0
62,Music Messiah ft. Wande Coal,DJ Neptune,300,28,250,290,217.0
63,Forever (Remix) ft. Omah Lay,Gyakie,300,29,250,290,217.25
64,Niko Sawa (feat. Bien),Nviiri The Storyteller featuring Bien,19,310,250,290,217.25
65,Celebration,Joeboy,300,310,250,9,217.25
66,Bembeleza,Nviiri The Storyteller,20,310,250,290,217.5
67,Can't Relate,Omah Lay,300,30,250,290,217.5
68,MOSLADO,Teni,300,310,250,10,217.5
69,Rough Up ft. Layydoe,Olamide,300,31,250,290,217.75
70,Marry Me,"Smallgod, Harmonize",21,310,250,290,217.75
71,We Dont Know Feat. Ayisi (feat. Ayisi),E.L,22,310,250,290,218.0
72,Petty (Bonus Track),Olamide,300,32,250,290,218.0
73,DKT,Oxlade,300,310,250,12,218.0
74,Champion ft. D Smoke,Fireboy DML,300,33,250,290,218.25
75,Love Cycle (feat. Davido),Enisa,23,310,250,290,218.25
76,Alright (feat. Shatta Wale),King Promise,300,310,250,14,218.5
77,Rotate (Freestyle),Mr Eazi,300,34,250,290,218.5
78,Kunle,Ladé,24,310,250,290,218.5
79,Way Too Big,Burna Boy,300,35,250,290,218.75
80,Sempe,L.A.X,300,310,250,15,218.75
81,Jei Jei,Mr Leo,26,310,250,290,219.0
82,Shima,Tha Boy Myles,27,310,250,290,219.25
83,La La ft. Ckay,Davido,300,37,250,290,219.25
84,No Stress,WizKid,300,310,250,17,219.25
85,Lonely,Joeboy,300,310,250,18,219.5
86,Stronger,Team Salut,28,310,250,290,219.5
87,So Much More,Olamide,300,39,250,290,219.75
88,Obajeti,Toofit feat. Ice Prince,29,310,250,290,219.75
89,Green Light,Olamide,300,310,250,20,220.0
90,Cash App ft. Zlatan & Lincoln,Bella Shmurda,300,40,250,290,220.0
91,Can’t Feel,F-NIC,30,310,250,290,220.0
92,Give,Magasco,31,310,250,290,220.25
93,Summeryomuthi,Blaq Diamond,300,310,250,21,220.25
94,23,Burna Boy,300,41,250,290,220.25
95,Activate,Stonebwoy,300,310,250,22,220.5
96,Bygone,SkiiBii,32,310,250,290,220.5
97,Soundgasm,Rema,300,310,250,23,220.75
98,Cool Me Down (feat. Wizkid),DJ Tunez,300,310,250,24,221.0
99,Right Here,"Walshy Fire, Terri, Cloud Beats",34,310,250,290,221.0
100,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie,300,44,250,290,221.0
101,Born Sinner (feat. Davido & Peruzzi),Mr Peak,35,310,250,290,221.25
102,You,Omah Lay,300,45,250,290,221.25
103,Medicine,Jaywillz,300,46,250,290,221.5
104,Gobe - Remix,L.A.X,300,310,250,26,221.5
105,Good Thang,Chrystel,36,310,250,290,221.5
106,Girl From Ghana,The Great Eddy,37,310,250,290,221.75
107,Adura ft. Mohbad,Bella Shmurda,300,47,250,290,221.75
108,Outside,Buju,300,310,250,27,221.75
109,I Like That,The Great Eddy,38,310,250,290,222.0
110,Only One (feat. King Promise),Navy Kenzo,300,310,250,28,222.0
111,Berna Reloaded ft. Fally Ipupa & Diamond Platnumz,Flavour,300,49,250,290,222.25
112,For Good,Eon Natty,39,310,250,290,222.25
113,This Your Body,Skales,300,310,250,29,222.25
114,Pretty Girl,Adekunle Gold,300,310,250,30,222.5
115,E Choke,Nautyca,40,310,250,290,222.5
116,Bad Influence,Omah Lay,300,51,250,290,222.75
117,Permission,Damosh,41,310,250,290,222.75
118,My Jaber (Friday) (feat. Brizy Annechild),H_ART THE BAND featuring Brizy Annechild,42,310,250,290,223.0
119,Lole,Kendickson,300,52,250,290,223.0
120,NO LONGER BENEFICIAL,Simi,300,310,250,32,223.0
121,Cut Soap,Fiokee & Raybekah,43,310,250,290,223.25
122,JUMPING SHIP,Amaarae,300,310,250,33,223.25
123,Yktv (feat. Lady Donli),Ilaye,44,310,250,290,223.5
124,Everytime - Remix,Spinall,300,310,250,34,223.5
125,Decision ft. Medikal,Wendy Shay,300,54,250,290,223.5
126,Gonto,Ibejii,45,310,250,290,223.75
127,Party Next Door ft. Bella Shmurda,Dangbana Republik,300,55,250,290,223.75
128,Freestyle,2jaja,300,56,250,290,224.0
129,Tellin Me Something,Nelson Freitas,300,310,250,36,224.0
130,Ogaranya,Reminisce,300,310,250,37,224.25
131,Breakup Riddim ft. Nhlanhla Nciza,Mr Eazi,300,57,250,290,224.25
132,Touch It,KiDi,47,310,250,290,224.25
133,Flex,Kizz Daniel,300,310,250,38,224.5
134,Jeje,Diamond Platnumz,300,310,250,39,224.75
135,No Wahala,1da Banton,49,310,250,290,224.75
136,World ft. Bella Shmurda,Dangbana Republik,300,59,250,290,224.75
137,Bank On It,Burna Boy,300,60,250,290,225.0
138,Dangerous Love,Tiwa Savage,300,310,250,41,225.25
139,Addicted,Niniola,300,310,250,42,225.5
140,Southy Love (feat. Fireboy DML),Peruzzi,300,310,3,290,225.75
141,Tele,Kelvyn Boy,300,310,250,43,225.75
142,Kini Issue,Runtown,300,310,250,44,226.0
143,KOLO (feat. Oxlade),Ice Prince,300,310,5,290,226.25
144,Sudden,Tekno,300,310,250,45,226.25
145,CHOP N PRAY,WurlD,300,310,250,46,226.5
146,Konnect,Maleek Berry,300,310,250,47,226.75
147,Ke Star (feat. Vigro Deep),Focalistic,300,310,7,290,226.75
148,Nana Nyame,Gyakie,300,310,250,48,227.0
149,Ginger (feat. Burna Boy),Wizkid,300,310,9,290,227.25
150,One Shirt (feat. Jonzing World),D'Prince,300,310,250,49,227.25
151,Berna,Flavour,300,310,250,50,227.5
152,Coming,Naira Marley,300,310,10,290,227.5
153,Jeje de Whine,CKay,300,310,250,51,227.75
154,High Way,Dj Kaywise,300,310,11,290,227.75
155,INJURE ME,Teni,300,310,12,290,228.0
156,Badman Love,Skales,300,310,250,52,228.0
157,True Love,Yemi Alade,300,310,250,53,228.25
158,Zinoleesky,MarlianMusic HQ,300,310,13,290,228.25
159,Bounse,Rema,300,310,14,290,228.5
160,Can't Let You Go - Remix,Stefflon Don,300,310,250,54,228.5
161,Smile (feat. H.E.R.),WizKid,300,310,250,55,228.75
162,Your Body,Mayorkun,300,310,15,290,228.75
163,Need You,Fitila,300,310,250,56,229.0
164,All My Life (feat. Oxlade),M.I Abaga,300,310,17,290,229.25
165,Saudi Arabia,Mr Eazi,300,310,250,57,229.25
166,Ohema,Buju,300,310,250,58,229.5
167,Koroba,Tiwa Savage,300,310,19,290,229.75
168,Felony,CKay,300,310,250,59,229.75
169,Wettin Dey Sup,Burna Boy,300,310,250,60,230.0
170,Coachella (feat. Kwesi Arthur),Sarkodie,300,310,21,290,230.25
171,Make Up Your Mind (feat. Tekno),Ice Prince,300,310,22,290,230.5
172,Constantly (feat. Mayorkun & Peruzzi),Speroachbeatz,300,310,23,290,230.75
173,Verified (feat. Mayorkun),Laycon,300,310,25,290,231.25
174,Shade,Fireboy DML,300,310,26,290,231.5
175,Baajo,Joeboy,300,310,27,290,231.75
176,Suzanna,Sauti Sol,300,310,29,290,232.25
177,Enjoy (Remix),Tekno,300,310,31,290,232.75
178,AG Baby,Nailah Blackman,300,310,32,290,233.0
179,World People,Basketmouth,300,310,36,290,234.0
180,Spiritual (feat. Patoranking & Kuami Eugene),KiDi,300,310,37,290,234.25
181,See Love,Peruzzi,300,310,38,290,234.5
182,Dollar (feat. R2bees),DJ Spinall,300,310,39,290,234.75
183,Kilode (feat. WES7AR 22),Drvmroll,300,310,40,290,235.0
184,African Sugar (feat. Tiwa Savage),Tayc,300,310,41,290,235.25
185,French Kiss,Mr Eazi,300,310,42,290,235.5
186,Roma (feat. Terri),Wizkid,300,310,43,290,235.75
187,TBDK (feat. Erigga & Sinzu),M.I Abaga,300,310,44,290,236.0
188,Tonongo,Sarz,300,310,46,290,236.5
189,MONEY DANCE,Dice Ailes,300,310,47,290,236.75
190,Fendi (feat. Joeboy),Blaqbonez,300,310,48,290,237.0
191,Dollar On You,Kuami Eugene,300,310,49,290,237.25
192,Monalisa,Lojay,300,310,52,290,238.0
193,Naira Marley,Zinoleesky,300,310,54,290,238.5
194,Peaches (Masterkraft Remix) (feat. Alpha P & Omah Lay),Justin Bieber,300,310,55,290,238.75
