rank,song,artist,Previous week,weeks on chart
1,Feeling,LADIPOE,2,4
2,Bounce (Official Video),Ruger,1,4
3,Understand,Omah Lay,12,4
4,Kilometre,Burna Boy,5,4
5,Essence ft. Tems,Wizkid,7,4
6,Running (To You) ft. Simi,Chike,8,4
7,Rock (Official Video),Olamide,6,4
8,FOR YOU,Teni,3,4
9,Lonely,Joeboy,10,3
10,Abule,Patoranking,9,2
11,Woman,Rema,11,4
12,Somebody ft. Phyno,Olamide,4,2
13,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,14,4
14,Godly,Omah Lay,15,3
15,Chargie,"Reekado Banks, Teejay & Lord Afrixana",17,3
16,Infinity ft. Omah Lay,Olamide,16,4
17,Too Correct,Crayon,18,4
18,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,19,3
19,Touch It,KiDi,22,2
20,Loading (feat. Bad Boy Timz),Olamide,23,2
21,Forever (Remix),Gyakie,20,4
22,Onyeka (Baby),Burna Boy,24,2
23,My Bebe,Omah Lay,29,3
24,Somebody Baby,Peruzzi & Davido,26,4
25,Focus,Joeboy,25,4
26,If You No Love (feat. Mayorkun),Chike,28,4
27,Door,Joeboy,21,2
28,Love Like This,Lil Kesh,33,4
29,Soundgasm,Rema,27,4
30,Summeryomuthi,Blaq Diamond,30,2
31,Testimony,Buju,0,1
32,Outside,Buju,35,2
33,Enjoyment,Yemi Alade,0,1
34,Slow Down,King Promise,32,2
35,Peaches (Masterkraft Remix),Justin Bieber,36,2
36,Suzanna,Sauti Sol,0,1
37,Kiss Me Like You Miss Me,CKay,37,2
38,The Best (feat. Mayorkun),Davido,13,2
39,Enjoy (Remix),Tekno,38,2
40,Luva Luva,Runtown,39,2
41,History ft. Fireboy DML,Cheque,41,4
42,Show Me,Joeboy,42,3
43,Big Thug Boys,AV,43,4
44,Need For Speed,Olamide,44,4
45,Yote Sawa,Nandy,45,2
46,Medicine,Jaywillz,0,1
47,Bia,Phyno,0,1
48,OLOFOFO,Victor AD,46,4
49,Cut Soap,Fiokee & Raybekah,47,4
50,Yktv (feat. Lady Donli),Ilaye,50,2
