rank,song,artist,audio,boom,youtube,spotify,deezer,RT
1,Bounce,Ruger,300,4,1,19,1,65.0
2,Feeling,LADIPOE,300,2,4,42,9,71.4
3,Essence (feat. Justin Bieber & Tems),Wizkid,300,45,3,5,6,71.8
4,Understand,Omah Lay,300,1,2,1,230,106.8
5,Rock,Olamide,300,3,12,39,230,116.8
6,Kilometre,Burna Boy,300,11,46,7,230,118.8
7,Running (To You),Chike,300,16,250,48,5,123.8
8,Abule,Patoranking,300,24,35,40,230,125.8
9,Lie,Kizz Daniel,300,55,7,44,230,127.2
10,Peru,Fireboy DML,300,310,6,16,8,128.0
11,FOR YOU,Teni,300,27,250,13,230,164.0
12,Lonely,Joeboy,300,31,250,15,230,165.2
13,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,300,26,250,33,230,167.8
14,Godly,Omah Lay,300,13,11,290,230,168.8
15,Infinity,Olamide,300,12,250,290,2,170.8
16,Too Correct,Crayon,300,17,17,290,230,170.8
17,Testimony,Buju,300,10,250,65,230,171.0
18,Green Light,Olamide,300,51,250,25,230,171.2
19,Door,Joeboy,300,22,15,290,230,171.4
20,Love Like This (feat. Fireboy DML),Lil Kesh,300,29,19,290,230,173.6
21,Chargie,"Reekado Banks, Teejay & Lord Afrixana",13,310,250,71,230,174.8
22,My Bebe,Omah Lay,300,32,26,290,230,175.6
23,Loading (feat. Bad Boy Timz),Olamide,300,33,25,290,230,175.6
24,If You No Love (feat. Mayorkun),Chike,300,40,22,290,230,176.4
25,Somebody Baby,Peruzzi & Davido,40,310,18,290,230,177.6
26,Onyeka (Baby),Burna Boy,300,310,36,12,230,177.6
27,Forever (Remix),Gyakie,300,49,250,290,7,179.2
28,High Way,Dj Kaywise,300,61,16,290,230,179.4
29,Somebody’s Son (Ft Brandy),Tiwa Savage,300,310,55,2,230,179.4
30,Ginger (feat. Burna Boy),Wizkid,300,44,34,290,230,179.6
31,Ojuju,Troniq Music,300,310,21,59,230,184.0
32,Ogogoro,Yemi Alade,300,310,27,290,12,187.8
33,NEED ME,Gyakie,300,310,250,77,3,188.0
34,Peaches (Masterkraft Remix),Justin Bieber,300,310,49,290,13,192.4
35,Question (feat. Don Jazzy),Burna Boy,300,310,56,70,230,193.2
36,Mood (feat. Buju),Wizkid,300,310,54,78,230,194.4
37,Show Me,Joeboy,300,5,250,290,230,215.0
38,Medicine,Jaywillz,300,6,250,290,230,215.2
39,History ft. Fireboy DML,Cheque,300,7,250,290,230,215.4
40,Big Thug Boys,AV,300,8,250,290,230,215.6
41,Focus,Joeboy,300,9,250,290,230,215.8
42,Ride or Die   ,Joda,1,310,250,290,230,216.2
43,Petty (feat. Virtue) ,KIM of Diamonds,2,310,250,290,230,216.4
44,Unconditionally   ,"Ajebutter22, Oxlade",3,310,250,290,230,216.6
45,Yafun Yafun   ,Ajebo Hustlers,4,310,250,290,230,216.8
46,Celebrate Me,Patoranking,300,14,250,290,230,216.8
47,Triumphant ft. Bella Shmurda,Olamide,300,15,250,290,230,217.0
48,Yote Sawa   ,Nandy,5,310,250,290,230,217.0
49,My Jaber (Friday) (feat. Brizy Annechild) ,H_ART THE BAND featuring Brizy Annechild,6,310,250,290,230,217.2
50,Cut Soap   ,Fiokee & Raybekah,7,310,250,290,230,217.4
51,Yktv (feat. Lady Donli) ,Ilaye,8,310,250,290,230,217.6
52,Champion ft. D Smoke,Fireboy DML,300,18,250,290,230,217.6
53,Rise Up ft. Falz,2Baba,300,19,250,290,230,217.8
54,Gonto   ,Ibejii,9,310,250,290,230,217.8
55,New Couple   ,Nandy,10,310,250,290,230,218.0
56,Can't Relate,Omah Lay,300,20,250,290,230,218.0
57,Somebody (feat. Phyno) ,Olamide,11,310,250,290,230,218.2
58,Way Too Big,Burna Boy,300,21,250,290,230,218.2
59,Touch It   ,KiDi,12,310,250,290,230,218.4
60,Dorime ,Teni,300,23,250,290,230,218.6
61,Soundgasm,Rema,300,310,250,3,230,218.6
62,It Is What It Is,Adekunle Gold,300,310,250,4,230,218.8
63,No Wahala   ,1da Banton,14,310,250,290,230,218.8
64,Professor Peller ft. Zlatan,Seyi Vibez,300,25,250,290,230,219.0
65,Nimekuzoea   ,Nandy,15,310,250,290,230,219.0
66,Summeryomuthi,Blaq Diamond,300,310,250,6,230,219.2
67,Lowkey   ,Xenia Manasseh,16,310,250,290,230,219.2
68,Catch A Vibe   ,Karun and MOMBRU,17,310,250,290,230,219.4
69,Cherry (feat. Xenia Manasseh) ,Mr Eazi,18,310,250,290,230,219.6
70,Julie,Olamide,300,28,250,290,230,219.6
71,Sempe,L.A.X,300,310,250,8,230,219.6
72,Hapo Tu (feat. Chris Kaiga) ,Nyashinski,19,310,250,290,230,219.8
73,MOSLADO,Teni,300,310,250,9,230,219.8
74,Celebration,Joeboy,300,310,250,10,230,220.0
75,23,Burna Boy,300,30,250,290,230,220.0
76,Baridi (feat. Sanaipei Tande) ,Nviiri The Storyteller featuring Sanaipei Tande,20,310,250,290,230,220.0
77,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley) ",Lyta,21,310,250,290,230,220.2
78,Woman,Rema,300,310,250,11,230,220.2
79,DADA   ,Kobi Jonz,22,310,250,290,230,220.4
80,Falling For U   ,"Blaq Jerzee, Mr Eazi and Harmonize",23,310,250,290,230,220.6
81,No Stress,WizKid,300,310,250,14,230,220.8
82,Jafafa   ,Chinko Ekun & Mohbad,24,310,250,290,230,220.8
83,Bad Influence ,Omah Lay,300,34,250,290,230,220.8
84,Adura ft. Mohbad,Bella Shmurda,300,35,250,290,230,221.0
85,My Baby   ,Di'Ja,25,310,250,290,230,221.0
86,Lo Lo,Omah Lay,300,36,250,290,230,221.2
87,LayLow   ,Amipatra,26,310,250,290,230,221.2
88,Alright (feat. Shatta Wale),King Promise,300,310,250,17,230,221.4
89,Felony,CKay,300,37,250,290,230,221.4
90,FALL IN LOVE   ,Willy Paul & Miss P,27,310,250,290,230,221.4
91,Closer   ,Diteh,28,310,250,290,230,221.6
92,Need For Speed,Olamide,300,38,250,290,230,221.6
93,DKT,Oxlade,300,310,250,18,230,221.6
94,Believe (feat. Sarkodie & Kwesi Arthur) ,Pappy Kojo featuring Sarkodie and Kwesi Arthur,29,310,250,290,230,221.8
95,Baba Fela (Remix) ft. Laycon & Zlatan,Mr Real,300,39,250,290,230,221.8
96,Tonight (feat. Adina Thembi) ,Pappy Kojo featuring Adina Thembi,30,310,250,290,230,222.0
97,Slow Down,King Promise,300,310,250,20,230,222.0
98,Confession,Omah Lay,300,41,250,290,230,222.2
99,My Heart   ,Pappy Kojo and Kuami Eugene,31,310,250,290,230,222.2
100,Flex,Kizz Daniel,300,310,250,21,230,222.2
101,Backup n Whyne   ,Miles Stunner,32,310,250,290,230,222.4
102,Damn (feat. 6lack),Omah Lay,300,310,250,22,230,222.4
103,Kitenge   ,Nviiri The Storyteller,33,310,250,290,230,222.6
104,Aye,Naira Marley,300,43,250,290,230,222.6
105,Cool Me Down (feat. Wizkid),DJ Tunez,300,310,250,23,230,222.6
106,Niko Sawa (feat. Bien) ,Nviiri The Storyteller featuring Bien,34,310,250,290,230,222.8
107,Pretty Girl,Adekunle Gold,300,310,250,24,230,222.8
108,Bembeleza   ,Nviiri The Storyteller,35,310,250,290,230,223.0
109,Saudi Arabia,Mr Eazi,300,310,250,26,230,223.2
110,Pronto ft. Omah Lay,Ajebo Hustlers,300,46,250,290,230,223.2
111,Marry Me   ,"Smallgod, Harmonize",36,310,250,290,230,223.2
112,Abu Dhabi,Ruger,300,47,250,290,230,223.4
113,We Dont Know Feat. Ayisi (feat. Ayisi) ,E.L,37,310,250,290,230,223.4
114,This Your Body,Skales,300,310,250,27,230,223.4
115,Love Cycle (feat. Davido) ,Enisa,38,310,250,290,230,223.6
116,Outside,Buju,300,310,250,28,230,223.6
117,Bia,Phyno,300,48,250,290,230,223.6
118,Kunle   ,Ladé,39,310,250,290,230,223.8
119,Jeje de Whine,CKay,300,310,250,29,230,223.8
120,Sere,Spinall,300,310,250,30,230,224.0
121,Jailer ft. Jaywillz,Olamide,300,50,250,290,230,224.0
122,Jei Jei   ,Mr Leo,41,310,250,290,230,224.2
123,The Don,Mr Eazi,300,310,250,31,230,224.2
124,Shima   ,Tha Boy Myles,42,310,250,290,230,224.4
125,Sinner,Adekunle Gold,300,310,250,32,230,224.4
126,Blessed ft. Damian Marley,Wizkid,300,52,250,290,230,224.4
127,Thinking,Okal,300,53,250,290,230,224.6
128,Stronger   ,Team Salut,43,310,250,290,230,224.6
129,Proud,Oladapo,300,310,250,34,230,224.8
130,Obajeti (feat. Ice Prince) ,Toofit featuring Ice Prince,44,310,250,290,230,224.8
131,Tellin Me Something,Nelson Freitas,300,310,250,35,230,225.0
132,Can’t Feel   ,F-NIC,45,310,250,290,230,225.0
133,Let Me Know,Mayorkun,300,56,250,290,230,225.2
134,Everytime,Remix - Spinall,300,310,250,36,230,225.2
135,Give   ,Magasco,46,310,250,290,230,225.2
136,Bygone   ,Skiibii,47,310,250,290,230,225.4
137,Wahala,Reeze,300,57,250,290,230,225.4
138,Kiss Me Like You Miss Me,CKay,300,310,250,37,230,225.4
139,Zambololo,Umu Obiligbo,300,58,250,290,230,225.6
140,Addicted,Niniola,300,310,250,38,230,225.6
141,Right Here   ,"Walshy Fire, Terri, Cloud Beats",49,310,250,290,230,225.8
142,You,Omah Lay,300,59,250,290,230,225.8
143,Alubarika ft. Buju,Zlatan,300,60,250,290,230,226.0
144,Born Sinner (feat. Davido & Peruzzi) ,Mr Peak feat. Davido & Peruzzi,50,310,250,290,230,226.0
145,Konnect,Maleek Berry,300,310,250,41,230,226.2
146,Good Thang   ,Chrystel,51,310,250,290,230,226.2
147,Girl From Ghana   ,The Great Eddy,52,310,250,290,230,226.4
148,I Like That   ,The Great Eddy,53,310,250,290,230,226.6
149,For Good   ,Eon Natty,54,310,250,290,230,226.8
150,Monalisa,Lojay,300,310,5,290,230,227.0
151,E Choke   ,Nautyca,55,310,250,290,230,227.0
152,Activate,Stonebwoy,300,310,250,45,230,227.0
153,Permission   ,Damosh,56,310,250,290,230,227.2
154,Dangerous Love,Tiwa Savage,300,310,250,46,230,227.2
155,Only One (feat. King Promise),Navy Kenzo,300,310,250,47,230,227.4
156,Better Days   ,Bless Clymax ft. DTS,57,310,250,290,230,227.4
157,No More (feat. Ozbeazy) ,Looking for Avala,58,310,250,290,230,227.6
158,Southy Love (feat. Fireboy DML),Peruzzi,300,310,8,290,230,227.6
159,Ke Star (feat. Vigro Deep),Focalistic,300,310,9,290,230,227.8
160,"Jam Now, Simmer Down",Blinky Bill,300,310,250,49,230,227.8
161,Bloody Samaritan,Ayra Starr,300,310,10,290,230,228.0
162,Berna,Flavour,300,310,250,50,230,228.0
163,Smile (feat. H.E.R.),WizKid,300,310,250,51,230,228.2
164,JUMPING SHIP,Amaarae,300,310,250,52,230,228.4
165,KOLO (feat. Oxlade),Ice Prince,300,310,13,290,230,228.6
166,Tele,Kelvyn Boy,300,310,250,53,230,228.6
167,Shopping Spree (feat. Chris Brown & Young Thug),DaVido,300,310,250,54,230,228.8
168,Coming,Naira Marley,300,310,14,290,230,228.8
169,Badman Love,Skales,300,310,250,55,230,229.0
170,Fine Wine (feat. King Promise & Joeboy),R2Bees,300,310,250,56,230,229.2
171,CHOP N PRAY,WurlD,300,310,250,57,230,229.4
172,Chance,Juls,300,310,250,58,230,229.6
173,Haunisumbui,Diamond Platnumz,300,310,250,60,230,230.0
174,Wettin Dey Sup,Burna Boy,300,310,250,61,230,230.2
175,Need You,Fitila,300,310,250,63,230,230.6
176,Baajo,Kwesi Arthur,300,310,23,290,230,230.6
177,Kilofeshe,Zinoleesky,300,310,24,290,230,230.8
178,Bling (feat. Amaarae & Buju),Blaqbonez,300,310,250,290,4,230.8
179,I Choose You,Yemi Alade,300,310,250,64,230,230.8
180,One Shirt (feat. Jonzing World),D'Prince,300,310,250,68,230,231.6
181,Fendi (feat. Joeboy),Blaqbonez,300,310,28,290,230,231.6
182,Let Dem Kno,Kwesi Arthur,300,310,29,290,230,231.8
183,Gobe,Remix - L.A.X,300,310,250,69,230,231.8
184,Snitch,Ayra Starr,300,310,250,290,10,232.0
185,Dollar (feat. R2bees),DJ Spinall,300,310,30,290,230,232.0
186,Mercy (Official Music Video),Falz,300,310,31,290,230,232.2
187,Pray,Victony,300,310,250,290,11,232.2
188,Why (Afrobeat),DJ Flex,300,310,250,72,230,232.4
189,Make Up Your Mind (feat. Tekno),Ice Prince,300,310,32,290,230,232.4
190,System (feat. WizKid),Dave,300,310,250,73,230,232.6
191,AG Baby,Nailah Blackman,300,310,33,290,230,232.6
192,Kini Issue,Runtown,300,310,250,74,230,232.8
193,Confident,Savage,300,310,250,75,230,233.0
194,Ohema,Buju,300,310,250,76,230,233.2
195,Far Away,Bella Shmurda,300,310,37,290,230,233.4
196,Verified (feat. Mayorkun),Laycon,300,310,38,290,230,233.6
197,Zinoleesky,Naira Marley,300,310,39,290,230,233.8
198,All My Life (feat. Oxlade),M.I Abaga,300,310,40,290,230,234.0
199,World People,Basketmouth,300,310,41,290,230,234.2
200,The Best (feat. Mayorkun),Davido,300,310,42,290,230,234.4
201,Morenike (feat. Teni),Ejoya,300,310,43,290,230,234.6
202,Enjoy (Remix),Tekno,300,310,44,290,230,234.8
203,Fashion Killer,Ayra Starr,300,310,250,84,230,234.8
204,French Kiss,Mr Eazi,300,310,45,290,230,235.0
205,NO LONGER BENEFICIAL,Simi,300,310,250,85,230,235.0
206,Pempe,Seyi Shay,300,310,250,87,230,235.4
207,Shadé,Fireboy DML,300,310,47,290,230,235.4
208,Koroba,Tiwa Savage,300,310,48,290,230,235.6
209,Luva Luva,Runtown,300,310,250,88,230,235.6
210,Risky,DaVido,300,310,250,89,230,235.8
211,See Love,Peruzzi,300,310,50,290,230,236.0
212,Akulaleki,Samthing Soweto,300,310,250,90,230,236.0
213,African Sugar (feat. Tiwa Savage),Tayc,300,310,51,290,230,236.2
214,Ex,Nikita Kering',300,310,250,91,230,236.2
215,Ubomi Abumanga,Sun-El Musician,300,310,250,92,230,236.4
216,Coachella,Sarkodie,300,310,52,290,230,236.4
217,ELI,Fireboy DML,300,310,250,93,230,236.6
218,Anoti (Audio),Wizkid,300,310,53,290,230,236.6
219,Fireboy DML,Fireboy DML,300,310,57,290,230,237.4
