rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Feeling,Ladipoe,1,1,1,1,1,1,1,1.0
2,Southy Love (feat. Fireboy DML),Peruzzi,2,2,2,2,2,3,3,2.2857142857142856
3,Bounce (Official Video),Ruger,4,4,4,4,4,2,2,3.4285714285714284
4,Ke Star (feat. Vigro Deep),Focalistic,5,5,5,5,5,6,6,5.285714285714286
5,Rock (Official Video),Olamide,6,6,6,6,6,5,5,5.714285714285714
6,Monalisa,Lojay,3,3,3,3,3,16,16,6.714285714285714
7,KOLO (feat. Oxlade),Ice Prince,8,7,7,7,7,7,7,7.142857142857143
8,Kilometre,Burna Boy,9,8,8,8,8,8,8,8.142857142857142
9,High Way,Dj Kaywise,10,9,9,9,9,9,9,9.142857142857142
10,Coming,Naira Marley,11,10,10,10,10,10,10,10.142857142857142
11,Your Body,Mayorkun,12,11,11,11,11,11,11,11.142857142857142
12,Godly,Omah Lay,14,13,13,13,13,14,14,13.428571428571429
13,Ginger (feat. Burna Boy),Wizkid,17,16,16,16,16,13,13,15.285714285714286
14,Loading (feat. Bad Boy Timz),Olamide,15,14,14,14,14,20,20,15.857142857142858
15,Naira Marley,Zinoleesky,13,12,12,12,12,30,30,17.285714285714285
16,Too Correct,Crayon,19,18,18,18,18,15,15,17.285714285714285
17,All (Official Audio) (feat. Davido),Rexxie,16,15,15,15,15,23,23,17.428571428571427
18,Zinoleesky,MarlianMusic HQ,21,20,20,20,20,18,18,19.571428571428573
19,Somebody Baby,Davido,22,21,21,21,21,19,19,20.571428571428573
20,Bounce,Rema,24,23,23,23,23,17,17,21.428571428571427
21,Peaches (Masterkraft Remix) (feat. Alpha P & Omah Lay),Justin Bieber,18,17,17,17,17,35,35,22.285714285714285
22,Coachella (feat. Kwesi Arthur),Sarkodie,23,22,22,22,22,24,24,22.714285714285715
23,All My Life (feat. Oxlade),M.I Abaga,25,24,24,24,24,21,21,23.285714285714285
24,Koroba,Tiwa Savage,26,25,25,25,25,22,22,24.285714285714285
25,Door,Joeboy,27,26,26,26,26,27,27,26.428571428571427
26,The Best (feat. Mayorkun),Davido,29,28,28,28,28,28,28,28.142857142857142
27,Verified (feat. Mayorkun),Laycon,30,29,29,29,29,26,26,28.285714285714285
28,Make Up Your Mind (feat. Tekno),Ice Prince,32,31,31,31,31,25,25,29.428571428571427
29,Constantly (feat. Mayorkun & Peruzzi),Speroachbeatz,28,27,27,27,27,40,40,30.857142857142858
30,Shadé,Fireboy DML,33,32,32,32,32,29,29,31.285714285714285
31,My Bebe,Omah Lay,35,34,34,34,34,31,31,33.285714285714285
32,Kilode (feat. WES7AR 22),Drvmroll,31,30,30,30,30,42,42,33.57142857142857
33,Onyeka (Baby),Burna Boy,36,35,35,35,35,34,34,34.857142857142854
34,Woman,Rema,37,36,36,36,36,33,33,35.285714285714285
35,Enjoy (Remix),Tekno,34,33,33,33,33,45,45,36.57142857142857
36,Roma (feat. Terri),Wizkid,39,38,38,38,38,43,43,39.57142857142857
37,If You No Love (feat. Mayorkun),Chike,42,41,41,41,41,37,37,40.0
38,Suzanna,Sauti Sol,40,39,39,39,39,46,46,41.142857142857146
39,AG Baby,Nailah Blackman,41,40,40,40,40,44,44,41.285714285714285
40,Abule,Patoranking,46,45,45,45,45,36,36,42.57142857142857
41,See Love,Peruzzi,47,46,46,46,46,38,38,43.857142857142854
42,Dollar (feat. R2bees),DJ Spinall,43,42,42,42,42,48,48,43.857142857142854
43,French Kiss,Mr Eazi,45,44,44,44,44,47,47,45.0
44,African Sugar (feat. Tiwa Savage),Tayc,44,43,43,43,43,50,50,45.142857142857146
45,Spiritual (feat. Patoranking & Kuami Eugene),KiDi,49,48,48,48,48,41,41,46.142857142857146
46,World People,Basketmouth,48,47,47,47,47,49,49,47.714285714285715
47,INJURE ME,Teni,20,19,19,19,19,201,201,71.14285714285714
48,Baajo,Kwesi Arthur,201,201,37,37,37,32,32,82.42857142857143
49,TBDK (feat. Erigga & Sinzu),M.I Abaga,50,49,49,49,49,201,201,92.57142857142857
50,Understand (Lyric Video),Omah Lay,201,201,201,201,201,4,4,144.71428571428572
51,Dangbana Republik & Bella Shmurda,Bella Shmurda,201,201,201,201,201,12,12,147.0
52,Baajo,Joeboy,38,37,201,201,201,201,201,154.28571428571428
53,Love Like This,Lil Kesh,201,201,201,201,201,39,39,154.71428571428572
54,For You (feat. Joeboy),Ko-Jo Cue,7,201,201,201,201,201,201,173.28571428571428
