rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT,,,,,,
1,LV N ATTN,EP - Lojay & Sarz,3,3,2,2,2,3,2,2.428571429,,,,,,
2,Hall of Fame,Polo G,2,2,3,3,3,4,5,3.142857143,,,,,,
3,Made In Lagos,Wizkid,5,5,5,4,4,5,4,4.571428571,,,,,,
4,PANDEMIC,EP - Ruger,7,6,6,6,6,7,7,6.428571429,,,,,,
5,The Of,eason - J. Cole,8,7,7,7,7,8,8,7.428571429,,,,,,
6,Sex Over Love,Blaqbonez,9,9,8,9,9,9,10,9,,,,,,
7,Twice As Tall,Burna Boy,10,10,9,8,8,10,9,9.142857143,,,,,,
8,JORDI (Deluxe),Maroon 5,11,11,11,13,12,12,17,12.42857143,,,,,,
9,Superstar,Wizkid,6,8,10,11,15,19,18,12.42857143,,,,,,
10,Justice (Triple Chucks Deluxe / Deluxe Video Version),Justin Bieber,13,12,12,12,11,14,15,12.71428571,,,,,,
11,Somewhere Between Beauty & Magic,Joeboy,14,13,13,14,14,15,13,13.71428571,,,,,,
12,WONDALAND,Teni,22,21,14,10,10,11,11,14.14285714,,,,,,
13,A Better Time,Davido,17,14,15,15,13,17,14,15,,,,,,
14,The Voice of the Heroes,Lil Baby & Lil Durk,4,84,4,4,5,5,6,16,,,,,,
15,Old Church Basement,Elevation Worship & Maverick City Music,15,17,16,17,17,18,23,17.57142857,,,,,,
16,Boo of the Booless,Chike,19,16,17,20,16,21,16,17.85714286,,,,,,
17,...Shall We Begin...,Laycon,20,19,21,16,18,16,20,18.57142857,,,,,,
18,Roots,The Cavemen.,18,18,18,19,19,20,19,18.71428571,,,,,,
19,KHALED KHALED,DJ Khaled,24,20,20,18,20,22,22,20.85714286,,,,,,
20,Cultural Praise,KCee & Okwesili Eze Group,16,22,22,25,24,26,26,23,,,,,,
21,SOUR,Olivia Rodrigo,23,23,25,21,22,25,24,23.28571429,,,,,,
22,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,26,28,23,22,21,23,21,23.42857143,,,,,,
23,Man of Galilee,Judikay,21,24,24,26,25,27,32,25.57142857,,,,,,
24,African Giant,Burna Boy,30,26,26,23,23,29,28,26.42857143,,,,,,
25,Happy Birthday Kodak,EP - Kodak Black,12,15,19,24,30,39,53,27.42857143,,,,,,
26,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,32,33,29,30,27,28,29,29.71428571,,,,,,
27,Big Conspiracy,J Hus,37,29,28,27,26,32,30,29.85714286,,,,,,
28,THE ANGEL YOU DON'T KNOW,Amaarae,27,25,31,32,28,30,41,30.57142857,,,,,,
29,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",34,34,32,28,32,34,36,32.85714286,,,,,,
30,APOLLO,Fireboy DML,33,35,34,33,33,31,31,32.85714286,,,,,,
31,TOO LATE TOO LIT (EP),KDDO,36,36,33,35,29,44,37,35.71428571,,,,,,
32,Haitian Boy Kodak,Kodak Black,31,32,30,34,38,41,44,35.71428571,,,,,,
33,High Tension,Bella Shmurda,35,38,42,36,36,36,34,36.71428571,,,,,,
34,Carpe Diem,Olamide,48,43,41,41,41,24,25,37.57142857,,,,,,
35,The Voice (Deluxe),Lil Durk,47,41,39,31,37,42,39,39.42857143,,,,,,
36,The Gospel of the Kingdom,Dunsin Oyekan,38,40,40,37,40,35,49,39.85714286,,,,,,
37,Rum & Boogie,Peruzzi,41,47,38,39,39,33,43,40,,,,,,
38,SoulFly,Rod Wave,44,44,37,42,34,38,42,40.14285714,,,,,,
39,SoundMan Vol. 1 (feat. Wizkid),StarBoy,45,49,43,40,31,37,40,40.71428571,,,,,,
40,For Broken Ears,Tems,40,39,36,38,42,47,46,41.14285714,,,,,,
101,Hollywood's Bleeding,Post Malone,29,27,35,45,46,53,61,42.28571429,,,,,,
41,Ayo,Wizkid,39,31,45,49,54,52,47,45.28571429,,,,,,
42,Yabasi,Basketmouth,42,45,47,44,45,45,54,46,,,,,,
43,Please Excuse Me For Being Antisocial,Roddy Ricch,55,42,46,43,43,50,45,46.28571429,,,,,,
44,Boyfriend,CKay,43,48,48,46,47,40,52,46.28571429,,,,,,
125,The Life Of Pi'erre 5,Pi\'erre Bourne,25,37,44,47,57,63,70,49,,,,,,
45,Beam Me Up Scotty,Nicki Minaj,49,50,53,50,48,48,56,50.57142857,,,,,,
46,Before the Chaos-ep,P - Erigga,51,51,49,55,49,55,57,52.42857143,,,,,,
47,ASTROWORLD,Travis Scott,57,52,51,54,50,56,51,53,,,,,,
48,"Laughter, Tears & Goosebumps",Fireboy DML,61,58,56,48,51,54,48,53.71428571,,,,,,
49,What Have We Done,EP - Omah Lay,56,54,50,52,55,59,58,54.85714286,,,,,,
50,Hallelujah Again (Revelation 19:3),Nathaniel Bassey,52,53,58,56,53,46,71,55.57142857,,,,,,
51,Get Layd,EP - Omah Lay,53,59,57,61,65,58,50,57.57142857,,,,,,
52,My Turn (Deluxe),Lil Baby,64,61,60,59,52,57,59,58.85714286,,,,,,
53,Wild West,Central Cee,60,57,55,58,58,61,67,59.42857143,,,,,,
54,Meet the Woo 2 (Deluxe),Pop Smoke,62,55,59,57,64,67,60,60.57142857,,,,,,
55,Hopeless Romantic,EP - Tomi Thomas,46,46,54,51,61,74,93,60.71428571,,,,,,
56,Ea$t N We$t,EP - Dremo & Jeriq,58,60,70,62,63,66,77,65.14285714,,,,,,
57,Ghetto Lenny's Love Songs,SAINt JHN,69,68,65,65,62,65,66,65.71428571,,,,,,
58,A Good Time,Davido,75,70,68,60,56,68,64,65.85714286,,,,,,
59,While the World Was Burning,SAINt JHN,63,72,64,67,69,62,65,66,,,,,,
60,Product of My Environment,Abra Cadabra,67,63,63,64,67,72,72,66.85714286,,,,,,
61,THE GOAT,Polo G,59,64,66,74,70,60,79,67.42857143,,,,,,
62,East Atlanta Love Letter,6LACK,65,65,62,63,74,73,75,68.14285714,,,,,,
63,Outside,Burna Boy,76,75,72,69,59,64,68,69,,,,,,
64,SATISFIED,Mercy Chinwo,54,66,75,72,75,69,86,71,,,,,,
65,WUNNA (Deluxe),Gunna,66,69,69,66,76,76,78,71.42857143,,,,,,
66,Goodbye & Good Riddance (Anniversary Edition),Juice WRLD,71,62,61,68,60,75,104,71.57142857,,,,,,
67,Sounds From the Other Side,Wizkid,72,67,74,75,81,81,69,74.14285714,,,,,,
68,OXYGENE,EP - Oxlade,70,71,73,70,77,84,84,75.57142857,,,,,,
69,When It's All Said And Done... Take Time,GIVĒON,79,74,71,73,73,83,76,75.57142857,,,,,,
70,Citizen of the World,King Perryy,77,76,78,78,86,82,83,80,,,,,,
71,Platinum Heart (Deluxe),Toosii,82,78,77,79,71,86,95,81.14285714,,,,,,
72,Over It,Summer Walker,89,104,84,67,71,78,77,81.42857143,,,,,,
73,A Gangsta's Pain,Moneybagg Yo,80,73,76,95,82,89,88,83.28571429,,,,,,
74,Off the Yak,Young M.A,74,77,80,84,89,96,90,84.28571429,,,,,,
75,Be Right Back,Jorja Smith,83,80,81,85,85,92,85,84.42857143,,,,,,
76,Death Race for Love,Juice WRLD,99,81,84,81,79,88,82,84.85714286,,,,,,
77,TOP MEMBA,Kida Kudz,110,107,82,83,66,70,81,85.57142857,,,,,,
78,Ayra Starr,EP - Ayra Starr,94,82,79,77,92,85,101,87.14285714,,,,,,
79,Happier Than Ever,Billie Eilish,73,79,83,90,97,94,99,87.85714286,,,,,,
80,The Palmwine Express,Show Dem Camp,86,103,90,80,80,87,89,87.85714286,,,,,,
81,BEAUTIFUL THUGGER GIRLS,Young Thug,100,103,98,87,82,68,78,88,,,,,,
82,Legends Never Die (Video Version),Juice WRLD,50,56,52,53,44,301,63,88.42857143,,,,,,
83,Destined 2 Win,Lil Tjay,91,86,91,94,87,93,92,90.57142857,,,,,,
84,Afro Pop Vol. 1,Adekunle Gold,105,88,86,76,72,90,120,91,,,,,,
85,The Message,Minister GUC,88,97,99,89,91,79,122,95,,,,,,
86,All My Demons Greeting Me as a Friend,AURORA,81,93,89,88,112,111,94,95.42857143,,,,,,
87,2014 Forest Hills Drive,J. Cole,97,106,96,100,88,109,105,100.1428571,,,,,,
88,Mandy & The Jungle,Santi,87,105,104,96,98,105,106,100.1428571,,,,,,F
89,Top,YoungBoy Never Broke Again,90,99,98,103,114,116,97,102.4285714,,,,,,
90,Feed Tha Streets ll,Roddy Ricch,115,92,97,92,111,103,108,102.5714286,,,,,,
91,Divinely Uninspired To A Hellish Extent (Extended Deluxe),Lewis Capaldi,120,119,95,97,83,99,111,103.4285714,,,,,,
92,Anthems & Glory (Live),Todd Dulaney,68,85,93,91,104,145,141,103.8571429,,,,,,
93,Love Goes,Sam Smith,92,94,120,104,90,98,138,105.1428571,,,,,,
94,B4 The Storm,Internet Money,130,145,100,86,95,113,87,108,,,,,,
95,Hood Boy Dreams,EP - Jeriq,114,125,123,99,102,95,100,108.2857143,,,,,,
96,SoundGod Fest Reloaded,Runtown,111,95,110,105,107,126,109,109,,,,,,
97,High Off Life,Future,121,100,112,107,99,115,117,110.1428571,,,,,,
98,Mirage,Mannywellz,85,113,102,117,113,120,123,110.4285714,,,,,,
99,Roots,NSG,108,108,114,114,106,130,98,111.1428571,,,,,,
100,Scorpion,Drake,93,83,92,126,126,136,125,111.5714286,,,,,,
102,Yellow,Brymo,126,111,94,109,94,127,124,112.1428571,,,,,,
103,Dark Lane Demo Tapes,Drake,162,102,103,98,93,112,116,112.2857143,,,,,,
104,Zulu Man With Some Power,Nasty C,123,114,121,115,108,106,102,112.7142857,,,,,,
105,Starboy,The Weeknd,112,109,111,111,118,128,114,114.7142857,,,,,,
106,Studying Abroad: Extended Stay,Masego,119,104,101,124,105,108,147,115.4285714,,,,,,
107,The Human Condition,Jon Bellion,109,115,107,106,109,117,145,115.4285714,,,,,,
108,Scam,EP - G4 Boyz,98,90,115,122,116,150,121,116,,,,,,
109,Chilombo (Deluxe Video Version),Jhené Aiko,124,137,131,113,103,102,107,116.7142857,,,,,,
