rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,19 & Dangerous,Ayra Starr,1,1,1,2,2,1,1,1.2857142857142858
2,UY Scuti,Olamide,2,2,3,1,1,2,2,1.8571428571428572
3,High Tension 2.0,Dangbana Republik & Bella Shmurda,3,3,2,3,3,3,3,2.857142857142857
4,High Tension EP,Bella Shmurda,4,4,6,4,4,5,4,4.428571428571429
5,APOLLO,Fireboy DML,5,5,4,6,6,4,6,5.142857142857143
6,WONDALAND,Teni,6,6,7,5,5,7,8,6.285714285714286
7,Somewhere Between Beauty & Magic,Joeboy,8,8,5,7,7,9,5,7.0
8,Carpe Diem,Olamide,7,7,9,10,10,6,7,8.0
9,What Have We Done,Omah Lay,9,9,10,8,8,8,9,8.714285714285714
10,Nothing To Prove,Victor AD,10,10,8,9,9,12,11,9.857142857142858
11,Twice As Tall,Burna Boy,11,11,11,11,11,16,13,12.0
12,THE GOAT,Polo G,14,14,12,12,12,10,15,12.714285714285714
13,Get Layd,Omah Lay,16,16,15,14,14,11,12,14.0
14,Rema Compilation,Rema,12,12,13,16,16,19,14,14.571428571428571
15,Eclipse,Troniq Music & Oxlade,13,13,16,13,13,20,20,15.428571428571429
16,Zero Panic,Balloranking,15,15,14,15,15,18,19,15.857142857142858
17,"Laughter, Tears & Goosebumps",Fireboy DML,17,17,19,19,19,13,17,17.285714285714285
18,A True Champion,Rexxie,19,19,18,17,17,14,18,17.428571428571427
19,LIGHT (The EP),MohBad,18,18,17,18,18,17,16,17.428571428571427
20,Please Excuse Me for Being Antisocial,Roddy Ricch,20,20,20,20,20,15,21,19.428571428571427
21,Chrome Eccentric Ep,Zinoleesky,21,21,22,24,24,22,29,23.285714285714285
22,NEW ERA,Kiss Daniel,22,22,21,22,22,23,33,23.571428571428573
23,Shottaz 4Eva (Deluxe),MO3,25,25,35,23,23,21,22,24.857142857142858
24,High Off Life,Future,24,24,24,27,27,28,23,25.285714285714285
25,Afro Pop Vol. 1,Adekunle Gold,32,32,28,25,25,26,24,27.428571428571427
26,No Pressure,Sarkodie,23,23,26,32,32,30,27,27.571428571428573
27,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,30,30,23,28,28,24,31,27.714285714285715
28,Man Of Galilee,Judikay,26,26,32,36,36,25,26,29.571428571428573
29,Simisola,Simi,29,29,30,29,29,34,32,30.285714285714285
30,King Of Love,Kizz Daniel,28,28,27,34,34,27,35,30.428571428571427
31,Sex Over Love,Blaqbonez,31,31,29,26,26,35,36,30.571428571428573
32,Superstar,Wizkid,27,27,31,37,37,32,37,32.57142857142857
33,Rum & Boogie,Peruzzi,36,36,25,35,35,31,34,33.142857142857146
34,Gratitude,Timaya,35,35,37,31,31,36,28,33.285714285714285
35,Welcome to O'Block,King Von,39,39,39,30,30,33,25,33.57142857142857
36,I'll Say It For You,Dax,40,40,33,40,40,39,40,38.857142857142854
37,The Golden Boy,KiDi,33,33,36,46,46,37,41,38.857142857142854
38,All or Nothing,Rotimi,55,55,66,21,21,29,30,39.57142857142857
39,Life of Betrayal 2x,Yungeen Ace,42,42,46,33,33,38,49,40.42857142857143
40,LV N ATTN,Lojay & Sarz,37,37,38,39,39,45,50,40.714285714285715
41,Water & Garri,Tiwa Savage,38,38,43,47,47,40,39,41.714285714285715
42,Shottaz 4Eva,MO3,51,51,34,38,38,51,42,43.57142857142857
43,Love & Light,Joeboy,48,48,40,41,41,47,48,44.714285714285715
44,Boo of the Booless,Chiké,41,41,44,51,51,43,43,44.857142857142854
45,Razor,Cheque,47,47,48,42,42,49,45,45.714285714285715
46,Boyfriend,CKay,44,44,52,55,55,48,44,48.857142857142854
47,Jackboy 2,Jackboy,34,34,47,48,48,62,71,49.142857142857146
48,TOP PRIZE,ALKALINE,49,49,49,43,43,52,61,49.42857142857143
49,Off The Yak,Young M.A,46,46,45,52,52,58,53,50.285714285714285
50,For Broken Ears,Tems,45,45,58,58,58,53,46,51.857142857142854
51,Top,YoungBoy Never Broke Again,54,54,41,54,54,42,64,51.857142857142854
52,Soundgod Fest Vol.1,Runtown,61,61,51,44,44,50,59,52.857142857142854
53,Bad Commando,Rema,53,53,50,45,45,70,55,53.0
54,Simisola (Deluxe),Simi,57,57,42,61,61,46,47,53.0
55,Cultural Praise,Kcee & Okwesili Eze Group,43,43,63,56,56,61,52,53.42857142857143
56,Three,Patoranking,56,56,56,50,50,57,63,55.42857142857143
57,Omo Charlie Champagne Vol1,Simi,52,52,60,57,57,60,51,55.57142857142857
58,The Cross: My Gaze,Mercy Chinwo,58,58,61,53,53,54,57,56.285714285714285
59,Hot Pink,Doja Cat,50,50,57,63,63,56,66,57.857142857142854
60,Shopla,Jaido P,76,76,62,49,49,44,75,61.57142857142857
61,Twelve A.M,Crayon,60,60,72,64,64,64,56,62.857142857142854
62,Just A Matter of Slime,YNW Melly,69,69,69,62,62,55,60,63.714285714285715
63,The Message,Minister GUC,63,63,67,59,59,63,74,64.0
