position,album
1,Uy Scuti
2,Somewhere Between Beauty & Magic
3,Carpe Diem
4,PANDEMIC
5,Twice As Tall
6,What Have We Done
7,APOLLO
8,WONDALAND
9,Faith
10,Boo of the Booless
11,Made In Lagos
12,High Tension 2.0
13,Love or the Word (EP)
14,A Better Time
15,Man Of Galilee
16,Alagbe
17,Get Layd
18,"Laughter, Tears & Goosebumps"
19,Hallelujah Again (Revelation 19:3)
20,Twelve A.M
21,Man Of Galilee (Live)
22,Too Faithful
23,SATISFIED
24,The Gospel of the Kingdom
25,African Giant
26,Three
27,Before the Chaos (EP)
28,Ecstasy
29,King Of Love
30,Yes And Amen
31,The King Is Coming
32,Clone Wars Vol. 5 (- The Algorhythm)
33,Justice
34,KAIROS
35,Fuji The Sound
36,Born Of God
37,Superstar
38,LV N ATTN
39,The Voice of the Heroes
40,A True Champion
41,Simisola
42,High Tension
43,The Harvest
44,You Have Done Me Well
45,Ayo (Joy)
46,Legends Never Die
47,LOL (Lord Of Lamba) EP
48,Barry Back (The EP)
49,Omo Charlie Champagne Vol. 1
50,Ea$t N We$t
51,Love & Light (EP)
52,The Life And Times Of 50th Birthday Edition
53,Faith
54,The Erigma II
55,Flavour of Africa
56,A Good Time
57,Deal With It
58,The Prodigal
59,Mafia Culture (Vol. 2.0)
60,Kingdom Now
61,Please Excuse Me for Being Antisocial
62,Boyfriend
63,Cultural Praise
64,Sex Over Love
65,Outside
66,Hall of Fame
67,Shoot For The Stars Aim For The Moon
68,You Are Great
69,This God Is Too Good
70,Gratitude
71,No Bad Songz
72, (The Album Live) (Live)
73,Kapacity
74,Death Race For Love
75,The Playmaker
76,The Spirit Of Light
77,Country Moods
78,The Cross: My Gaze
79,Grass 2 Grace
80,!
81,Hymnal (Volume 1)
82,Next Level
83,Chiomalized
84,Something Else (EP)
85,Coast To Coast (Expanded Edition)
86,Meet The Woo
87,KHALED KHALED
88,About 30
89,By Special Request Vol. 2
90,Feed tha Streets
91,JORDI
92,Culture III
93,Seed (- EP)
94,Hakuna Matata
95,...Shall We Begin...
96,Light
97,Street OT
98,Gongo Aso
99,Asha
100,Warriors
