rank,album,artist,Previous week,weeks on chart
1,High Tension 2.0,Dangbana Republik & Bella Shmurda,39,2
2,UY Scuti,Olamide,1,5
3,Made In Lagos,Wizkid,3,6
4,Twice As Tall,Burna Boy,5,6
5,A True Champion,Rexxie,2,3
6,WONDALAND,Teni,4,6
7,Somewhere Between Beauty & Magic,Joeboy,7,6
8,LV N ATTN,EP - Lojay & Sarz,6,6
9,Clone Wars Vol. 5 (- The Algorhythm),The Algorhythm - Show Dem Camp,0,1
10,A Better Time,Davido,10,6
11,Sex Over Love,Blaqbonez,8,6
12,High Tension,Bella Shmurda,9,3
13,APOLLO,Fireboy DML,12,6
14,Boo of the Booless,Chike,11,6
15,A Good Time,Davido,17,6
16,Man Of Galilee,Judikay,15,6
17,Get Layd,EP - Omah Lay,38,6
18,"Laughter, Tears & Goosebumps",Fireboy DML,29,6
19,What Have We Done,EP - Omah Lay,37,6
20,Please Excuse Me for Being Antisocial,Roddy Ricch,40,6
21,Superstar,Wizkid,16,6
22,Carpe Diem,Olamide,14,6
23,Cultural Praise,KCee & Okwesili Eze Group,20,6
24,Rum & Boogie,Peruzzi,49,6
25,For Broken Ears,Tems,19,6
26,Satisfied,Mercy Chinwo,0,1
27,Masta Groove,Masterkraft,13,3
28,Haitian Boy Kodak,Kodak Black,33,6
29,...Shall We Begin...,Laycon,44,6
30,Wild West,Central Cee,26,6
31,THE GOAT,Polo G,25,6
32,SAVAGE MODE II,21 Savage & Metro Boomin,82,6
33,ROOTS,The Cavemen.,23,3
34,USEE4YOURSELF,IDK,0,1
35,Outside,Burna Boy,58,6
36,OXYGENE,EP - Oxlade,75,6
37,The Palmwine Express,Show Dem Camp,28,6
38,Mars,EP - BadboyMarz,59,2
39,Off the Yak,Young M.A,30,6
40,Light,MohBad,0,1
41,Boyfriend,CKay,21,6
42,I LOVE GIRLS WITH TROBUL,Sarz & WurlD,0,1
43,WUNNA (Deluxe),Gunna,0,1
44,Welcome to O'Block,King Von,36,4
45,Slime Language 2,"Young Stoner Life, Young Thug & Gunna",0,1
46,PANDEMIC,EP - Ruger,41,6
47,Gratitude,Timaya,65,6
48,The Voice of the Heroes,Lil Baby & Lil Durk,42,6
49,Hall of Fame,Polo G,47,6
50,African Giant,Burna Boy,48,6
51,Justice,Justin Bieber,51,6
52,Culture III,Migos,46,5
53,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,50,6
54,Alagbe,Qdot,99,2
55,Yabasi,Basketmouth,24,6
56,Ayo,Wizkid,0,1
57,Love or the Word (EP),Jaywillz,56,2
58,Hot Pink,Doja Cat,0,1
59,Death Race For Love,Juice WRLD,60,6
60,In The Dark,Mizzle,18,3
61,Legends Never Die,Juice WRLD,57,6
62,Mixed Emotions (- EP),EP - Abra Cadabra,0,1
63,The Mayor of Lagos,Mayorkun,0,1
64,High Off Life,Future,35,6
65,Planet Her (Deluxe),Doja Cat,62,2
66,Simisola,Simi,63,2
67,Ea$t N We$t,EP - Dremo & Jeriq,92,2
68,Meet The Woo 2 (Deluxe),Pop Smoke,79,3
69,KHALED KHALED,DJ Khaled,53,6
70,SoundGod Fest Reloaded,Runtown,45,6
71,Old Church Basement,Elevation Worship & Maverick City Music,78,6
72,Afro Pop Vol. 1,Adekunle Gold,27,3
73,King Of Love,Kizz Daniel,71,3
74,Eternal Atake (Deluxe) - LUV vs. The World 2,LUV vs. The World 2 - Lil Uzi Vert,0,1
75,SoundMan Vol. 1,StarBoy,0,1
76,Vince Staples,Vince Staples,0,1
77,The Greatest Showman (Original Motion Picture Soundtrack),"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya",0,1
78,Top,YoungBoy Never Broke Again,72,6
79,ASTROWORLD,Travis Scott,73,2
80,TEMPORARY HIGHS IN THE VIOLET SKIES,Snoh Aalegra,0,1
81,CALL ME IF YOU GET LOST,"Tyler, The Creator",69,3
82,The Voice (Deluxe),Lil Durk,94,3
83,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,31,6
84,SoulFly,Rod Wave,32,6
85,The Message,Minister GUC,76,6
86,Big Conspiracy,J Hus,70,6
87,Omo Charlie Champagne Vol1,Simi,0,1
88,PSYCHODRAMA,Dave,98,2
89,Rema Compilation,Rema,0,1
90,Hollywood's Bleeding,Post Malone,90,6
91,The Gospel of the Kingdom,Dunsin Oyekan,66,6
92,Goodbye & Good Riddance,Juice WRLD,96,2
93,Jubilee: Juneteenth Edition,Maverick City Music,97,4
94,Zero Panic,EP - Balloranking,0,1
95,SOUR,Olivia Rodrigo,67,6
96,Shiesty Season,Spring Deluxe - Pooh Shiesty,0,1
97,Die A Legend,Polo G,0,1
98,Too Late Too Lit,KDDO,0,1
99,Heaven Or Hell,Don Toliver,52,4
100,Product of My Environment,Abra Cadabra,83,6
