rank,album,artist,apple,audiomark,deezer,boom,RT
1,High Tension 2.0,Dangbana Republik & Bella Shmurda,1,2,4,15,10.75
2,UY Scuti,Olamide,6,1,14,1,21.25
3,Made In Lagos,Wizkid,4,7,13,11,26.75
4,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,3,15,2,37,29.25
5,Twice As Tall,Burna Boy,11,10,17,6,39.5
6,LV N ATTN,EP - Lojay & Sarz,2,30,5,42,47.5
7,WONDALAND,Teni,18,4,26,9,50.25
8,Somewhere Between Beauty & Magic,Joeboy,30,5,21,2,56.5
9,A Better Time,Davido,17,14,25,14,59.5
10,TOP MEMBA,Kida Kudz,12,27,6,79,64.75
11,APOLLO,Fireboy DML,34,6,41,8,83.0
12,Sex Over Love,Blaqbonez,21,20,31,44,83.0
13,Boo of the Booless,Chike,23,37,35,10,97.5
14,A True Champion,Rexxie,26,9,62,59,111.75
15,High Tension,Bella Shmurda,51,3,51,49,117.25
16,Man Of Galilee,Judikay,28,24,81,18,137.5
17,Get Layd,EP - Omah Lay,53,16,65,21,139.25
18,Superstar,Wizkid,33,48,52,41,143.25
19,"Laughter, Tears & Goosebumps",Fireboy DML,47,17,87,20,156.0
20,What Have We Done,EP - Omah Lay,57,11,97,7,166.75
21,Cultural Praise,KCee & Okwesili Eze Group,19,49,82,76,169.0
22,Moon Boy,Yung Bleu,5,28,10,520,173.0
23,A Good Time,Davido,43,47,68,64,174.0
24,Carpe Diem,Olamide,55,8,128,4,192.0
25,Clone Wars Vol. 5 - The Algorhythm,The Algorhythm - Show Dem Camp,20,141,24,38,194.5
26,Please Excuse Me for Being Antisocial,Roddy Ricch,37,19,129,45,196.25
27,For Broken Ears,Tems,36,51,70,520,287.0
28,ROOTS,The Cavemen.,15,132,30,520,307.0
29,OXYGENE,EP - Oxlade,93,73,39,520,335.0
30,Haitian Boy Kodak,Kodak Black,70,71,78,520,349.0
31,Wild West,Central Cee,105,78,37,520,350.0
32,Outside,Burna Boy,69,203,69,68,358.0
33,THE GOAT,Polo G,61,13,158,520,362.0
34,Yabasi,Basketmouth,54,119,66,520,369.0
35,"Afro Pop, Vol. 1",Adekunle Gold,121,23,113,520,387.0
36,King Of Love,Kizz Daniel,243,44,108,33,403.25
37,Off the Yak,Young M.A,129,40,121,520,420.0
38,High Off Life,Future,80,21,196,520,427.0
39,Boyfriend,CKay,67,41,320,51,440.75
40,Light,MohBad,98,18,200,520,446.0
41,Gratitude,Timaya,172,29,247,89,470.25
42,SAVAGE MODE II,21 Savage & Metro Boomin,149,57,137,520,473.0
43,Nothing To Prove,EP - Victor AD,177,162,141,3,480.75
44,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",58,85,218,520,491.0
45,PANDEMIC,EP - Ruger,8,510,11,5,530.25
46,The Voice of the Heroes,Lil Baby & Lil Durk,9,510,20,46,550.5
47,Justice,Justin Bieber,24,510,16,35,558.75
48,Hall of Fame,Polo G,16,510,18,67,560.75
49,African Giant,Burna Boy,22,510,23,27,561.75
50,Heaven Or Hell,Don Toliver,153,182,100,520,565.0
51,We're All Alone In This Together,Dave,52,510,1,13,566.25
52,Love or the Word (EP),Jaywillz,48,510,15,12,576.0
53,No Pressure,Sarkodie,178,188,88,520,584.0
54,SATISFIED,Mercy Chinwo,60,69,450,22,584.5
55,Legends Never Die,Juice WRLD,50,510,27,48,599.0
56,Faith (Deluxe),Pop Smoke,102,510,9,26,627.5
57,Original Vibe Machine,1da Banton,46,510,56,86,633.5
58,Sweetness,EP - Obongjayar & Sarz,7,510,3,520,650.0
59,Death Race For Love,Juice WRLD,88,510,42,72,658.0
60,Planet Her,Doja Cat,10,510,22,520,672.0
61,...Shall We Begin...,Laycon,31,66,450,520,677.0
62,Rum & Boogie,Peruzzi,79,26,450,520,685.0
63,Shoot For The Stars Aim For The Moon,Pop Smoke,27,510,138,81,695.25
64,The Voice (Deluxe),Lil Durk,25,510,40,520,705.0
