Position,song,artist
1,Pray,Victony
2,Outside,Buju
3,A. Iverson (feat. dndSection),Zamir
4,Understand,Omah Lay
5,Who Talk (feat. Adekunle Gold & Ria Sean),Moelogo
6,Confident,Savage and  Buju
7,Frenemies (feat. Oxlade),Rexxie
8,Human (feat. Tomi Owxc3xb3),Show Dem Camp
9,Unconditionally,Ajebutter 22 and  Oxlade
10,Peru,Fireboy DML
11,Party Starter,Gabzy
12,Real,Tim Lyre
13,Sinner,Adekunle Gold and  Lucky Daye
14,Dragon Fruit Freestyle,Lady Donli
15,Shege,Purple Plutonian
16,Fancy,Uche Malik
17,Bling (feat. Amaarae & Buju),Blaqbonez
18,Pumpkin,Mike Akox
19,Cocaine,Dai Verse
20,Times Two (X2) [feat. Buju],WANI
21,Wicked Somebody (Refix),Wondamagik and  Ogranya
22,BEAN24 (feat. DOZ & Le Mav),Hermez
23,Indecisive,Niinety9
24,Seke (feat. TiwaDara),Vader the Wildcard
25,Testimony,Buju
26,Talk,Timiboi
27,Early Momo (feat. GoodGirl LA),Vector
28,Money & Laughter (feat. Amaarae & Zamir),BOJ
29,Caribbeana,Wondamagik and  Ogranya
30,Alcy (feat. Bella Alubo),July Drama
31,Workaholic,BRUME
32,Ltf,Victor Collins and  MisterKay
33,Gorgeous (feat. Blaqbonez),SaveMilli
34,Tonongo,Lojay and  Sarz
35,Test Me,"Jeune Lio,  Chrystel and  Yung D3mz"
36,Feeling,LADIPOE and  Buju
37,Euphoria (feat. Victony),Hoodini
38,Wotm,Richie Benson
39,Oh No,Alpha P
40,Soundgasm,Rema
41,Searching,Lady Donli
42,Sweatshirt,April Maey
43,Table for Two,Bella Alubo
44,Sacrifices (feat. Tim Lyre),DAP The Contract
45,PEAKING,Tay Iwar
46,One Time (feat. Reekado Banks),Moelogo
47,Push & Pull (feat. Phaemous & Bigshyrobot),Randay
48,Cold,"Zubi,  anatu and  Gabriel"
49,La La,T'neeya
50,Tornado,chuXchu
51,The Key,Tems
52,So Long (feat. Tomi Thomas & Larry Gaaga),Sjxy
53,DUPxc4x96 (feat. Lady Donli) [Lady Donli Remix],Azekel
54,Anaconda,BadTheSoundBoy
55,POPSHIT (feat. Somadina),SGaWD
56,Show U Love (feat. Offei),Oniisha
57,Quarter Past Love (Qpl),W!ll
58,Idgaf,Ikayh
59,Align (feat. LADIPOE),Show Dem Camp
60,"Bestie (feat. Ekxc3xa9 Miller, Shalom Dubas & July Drama)",PURRRRRR
61,Fancy (feat. Africaine),Niinety9
62,Lifestyle,Naassure
63,Sativa (feat. Minz),Runtown
64,Fever,Yung D3mz
65,Result,Dreylo
66,Send Me Nudes (feat. Joey B),KiDi
67,Kogi (feat. Bella Shmurda & Poco Lee),Jumabee
68,Closure,The Syndicate
69,Someone Else (feat. Mannywellz),Olayinka Ehi
70,Firedncr. (feat. Azanti),Jaylon
71,Right Back,Skaa and  Buju
72,Sisi Caro,Governor of Africa and  Oxlade
73,Cry Another Day,"Zubi,  Gabriel and  anatu"
74,Dark Twisted Fantasy,T'neeya
75,For You,Smyley
76,Down for You (feat. Boybreed),Aramide
77,Joro Mi,Beejvibe$
78,RIP OLD DAD,The.wav
79,Rise of the Underdogs 2 (feat. Tomi Thomas),Show Dem Camp
80,Ball Till We Fall (feat. Bella Shmurda),Kida Kudz
81,Let Go,Txc3x96ME
82,Tdk (feat. SirBastien),DAP The Contract
83,Show My Side (feat. Amaarae),CKay
84,Birthday (feat. Buju & Moelogo),Rexxie
85,Sweet Escape,Mizzle
86,Fever,Sutxc3xa9 Iwar
