Position,song,artist
1,Smile For You (feat. Oxlade) ,Mizzle featuring Oxlade
2,Soundgasm   ,Rema
3,Pull Up   ,Gabzy
4,Let U Down (feat. CIll) ,Sigag Lauren
5,PEAKING   ,Tay Iwar
6,Beautifully   ,Fave
7,Confident   ,Savage X Buju
8,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp featuring Tomi Thomas
9,How Dare You   ,Joda Kgosi
10,GAMBLE   ,Kholi
11,Company   ,Twiss Tosin & Zen Univrse
12,LUV HRTS (feat. Odunsi (The Engine)) ,Zamir featuring Odunsi (The Engine)
13,Cakes (feat. PatricKxxLee & KashCPT) ,Straffitti featuring PatricKxxLee and KashCPT
14,Wreckless Tactics   ,TRiPPY TRiPPY
15,Paradise   ,4Runna
16,I Miss You   ,Joda Kgosi
17,Dark Twisted Fantasy   ,T'neeya
18,Where (Has the Time Gone)   ,Bey T
19,Permission   ,Damosh
20,Damages   ,Tems
21,Hot Star   ,Chrystel
22,Dubai   ,Skaa
23,Non Stop   ,Jody
24,Tired   ,Shirazee
25,Queen Bee   ,Black Lavender
26,Don't Fold (feat. BRYAN THE MENSAH) ,Delis
27,FANCY   ,Amaarae
28,BBC   ,Blaqbonez
29,Focused   ,PsychoYP & Azanti
30,EVERYWHERE (feat. Buju) ,Straffitti featuring Buju
31,Over You (feat. Odunsi & Santi) ,Joey B
32,Bomo   ,Adey
33,Trouble (feat. Tems) ,DRB LasGidi
34,All My Ladies   ,WANI
35,SAUS (See As U Set)   ,Chillz x TMXO
36,Lenu (Remix)   ,Buju & Burna Boy
37,DUPĖ   ,Azekel
38,Space   ,Whoisakin
39,Go Outside (feat. Mr Eazi) ,Nonso Amadi
40,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay) ",DJ Tunez
41,Catch A Vibe   ,Karun and MOMBRU
42,Pull Up   ,Don Mappy
43,Celebration   ,Joeboy
44,Godly   ,Omah Lay
45,Girlfriend (feat. Naya Akanji) ,SirBastien
46,Cocaine   ,Dai Verse
47,Diamonds (feat. Mulla Stackz) ,Rebecca Winter
48,"Santa Flow (feat. L.K, Tena Tenpo, Cubix & Miju) ","Chop Life Crew featuring L.K, Tena Tenpo, Cubix and Miju"
49,Man Of My Word   ,Noir
50,Like Dat (feat. PsychoYP) ,Skillz 8Figure
51,Can't Complain (feat. Fasina) ,Nova
52,Bounce   ,Rema
53,Longé   ,Bryann
54,Guala (feat. Maison 2500 & New World Ray) ,Teezee
55,Right Back (feat. Buju) ,Skaa
56,(Put Your Mind at Ease) Fight It2   ,Mich Straaw
57,"Self Luv (Remix) (feat. Blaqbonez, Drizilik & Enam) ",Skillz 8Figure
58,Too Many Women   ,"Ajebutter22, BOJ, Falz"
59,Lemonade   ,Ria sean
60,Chanel   ,Ceeboi
61,Greenlight   ,Hamzil
62,Narcissus Is Dead   ,Suté Iwar
63,Fast Lane   ,Lavaud
64,4 You   ,Yung D3mz
65,Only You   ,take1 & Muku Fresh
66,ManDown   ,BoyCamilo
67,Ball Till We Fall (feat. Bella Shmurda) ,Kida Kudz featuring Bella Shmurda
68,Swayy (feat. Tay Iwar) ,Suté Iwar featuring Tay Iwar
69,Moscow   ,Jody
70,Movement   ,Lekside Westside
71,Numbers Don't Lie (feat. Ayo Jay) ,chuXchu featuring Ayo Jay
72,Trouble (feat. Famous Bobson) ,DAP The Contract
73,We Up (feat. Phaemous) ,Zilla Oaks featuring Phaemous
74,Lagos Bad Girls   ,Bils
75,Strangers or Friends   ,Atee
76,Needing You   ,Big Ozed
77,Down Low   ,Krosszn
78,Ka$h App   ,"Beezyx feat. denzl, Kiienka, Begho, Bolaryn"
79,Nobody Else   ,Ugo Klassic
80,CHANGE   ,"Lord Edward and Boy Nino feat. Murphy Cubic, Tyrone Jones"
81,What is this love   ,July
82,Lowo (feat. Zarion Uti & Chordratic) ,Chuks Profound featuring Zarion Uti and Chordratic
83,Nobody   ,Pzeefire
84,HUSTLER   ,Marzi
85,Fire For You   ,Prodbyvino feat. D1wav
86,Sweatshirt   ,April Maey
87,Brag   ,DETO BLACK
88,Table for Two   ,Bella Alubo
89,Times Two (X2) (feat. Buju) ,WANI
90,Real   ,Tim Lyre
91,All Mine Remix (feat. Buju) ,Kinsolo
92,If Its On (feat. Boutross) ,Silverstone Barz
93,three5zero   ,DETO BLACK
94,MKD   ,Skillz 8Figure
95,True Love (feat. Kaey) ,Molazzi
96,Peace   ,Mannywellz and Tems
97,Money Medicine   ,Laime
98,My Chargie (feat. Ahve) ,Bizzonthetrack
99,Calm Down   ,Dove Nicol
