rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Free Mind,Tems,2,2,2,2,2,12,12,4.857142857142857
2,Prosecco,Th&o.,3,3,3,3,3,15,15,6.428571428571429
3,jorja,Hoosh,4,4,4,4,4,19,19,8.285714285714286
4,Island Pink (feat. PsychoYP),Phaemous,5,5,5,5,5,26,26,11.0
5,Bloody Samaritan,Ayra Starr,14,14,14,14,14,6,6,11.714285714285714
6,Minor Notes,Ria Sean,6,6,6,6,6,27,27,12.0
7,Vogue,Wauve,15,15,15,15,15,8,8,13.0
8,Be My Guest,WSTRN,7,7,7,7,7,29,29,13.285714285714286
9,BDMN,Minz,8,8,8,8,8,32,32,14.857142857142858
10,La Vida,M.anifest,10,10,10,10,10,43,43,19.428571428571427
11,Pray,Victony,11,11,11,11,11,44,44,20.428571428571427
12,Different Strain,Fasina,20,20,20,20,20,22,22,20.571428571428573
13,Symbiosis,Ajebo Hustlers,13,13,13,13,13,47,47,22.714285714285715
14,Cash,Lady Donli,24,24,24,24,24,28,28,25.142857142857142
15,Cigarette,Turunesh,30,30,30,30,30,16,16,26.0
16,POPSHIT (feat. Somadina),SGaWD,16,16,16,16,16,54,54,26.857142857142858
17,Radar,Remix - BwoiiDaas,17,17,17,17,17,55,55,27.857142857142858
18,Caribbeana,Wondamagik,18,18,18,18,18,57,57,29.142857142857142
19,VVS,Studio Magic,19,19,19,19,19,58,58,30.142857142857142
20,Brag,DETO BLACK,21,21,21,21,21,60,60,32.142857142857146
21,Salvation,Ogranya,22,22,22,22,22,62,62,33.42857142857143
22,Euphoria,PsychoYP,46,46,46,46,46,5,5,34.285714285714285
23,Money & Laughter,Boj,25,25,25,25,25,63,63,35.857142857142854
24,Indifferent,Mo$hpit Cindy,26,26,26,26,26,64,64,36.857142857142854
25,Fallin' Hard,The.wav,27,27,27,27,27,65,65,37.857142857142854
26,Harmonies,Wavy The Creator,28,28,28,28,28,66,66,38.857142857142854
27,In My Bag,808vic,52,52,52,52,52,10,10,40.0
28,Inside Out,Fiona Sleek,29,29,29,29,29,68,68,40.142857142857146
29,Table for Two,Bella Alubo,41,41,41,41,41,40,40,40.714285714285715
30,loving is harder,Johnny Drille,31,31,31,31,31,69,69,41.857142857142854
31,Commas,Hoosh,49,49,49,49,49,24,24,41.857142857142854
32,Sacrifices (feat. Tim Lyre),DAP The Contract,32,32,32,32,32,70,70,42.857142857142854
33,Early Momo,Vector,33,33,33,33,33,72,72,44.142857142857146
34,Gone Girl,Obongjayar,57,57,57,57,57,13,13,44.42857142857143
35,Up,T'neeya,56,56,56,56,56,17,17,44.857142857142854
36,Fever,Suté Iwar,34,34,34,34,34,73,73,45.142857142857146
37,4AMIN (feat. SOLIS),Ayüü,35,35,35,35,35,74,74,46.142857142857146
38,Problem,Kida Kudz,36,36,36,36,36,75,75,47.142857142857146
39,Peace of Mind,Preyé,51,51,51,51,51,39,39,47.57142857142857
40,SPUNK,WurlD,37,37,37,37,37,76,76,48.142857142857146
41,Life of the Party,Yung D3mz,54,54,54,54,54,36,36,48.857142857142854
42,Walahi (feat. Tidé),D-Truce,38,38,38,38,38,77,77,49.142857142857146
43,Real,Tim Lyre,68,68,68,68,68,3,3,49.42857142857143
44,Nasa,Rvdical the Kid,66,66,66,66,66,9,9,49.714285714285715
45,sippycup,AGBNOTNICE,39,39,39,39,39,78,78,50.142857142857146
46,Deep End,Adey,63,63,63,63,63,20,20,50.714285714285715
47,Selense,The Cavemen.,40,40,40,40,40,79,79,51.142857142857146
48,fools,Zubi,42,42,42,42,42,80,80,52.857142857142854
49,Fool's Love,Muzi,44,44,44,44,44,82,82,54.857142857142854
50,Eyes But No Eyes,M3NSA,45,45,45,45,45,83,83,55.857142857142854
51,FEEL A WAY,Amaarae,47,47,47,47,47,84,84,57.57142857142857
52,Serenade,Begho,61,61,61,61,61,50,50,57.857142857142854
53,Sacred Forest,Ogranya,48,48,48,48,48,85,85,58.57142857142857
54,gentil,Zubi,69,69,69,69,69,34,34,59.0
55,Chargie,Jay Cliff,76,76,76,76,76,21,21,60.285714285714285
56,Magic,Public Goods,50,50,50,50,50,86,86,60.285714285714285
