rank,song,artist
1,Soundgasm,Rema
2,PEAKING,Tay Iwar
3,Dark Twisted Fantasy,T'neeya
4,Table for Two,Bella Alubo
5,Real,Tim Lyre
6,Confident   ,Savage and  Buju
7,FANCY   ,Uche Malik
8,Cocaine   ,Dai Verse
9,Company,Twiss Tosin & Zen Univrse
10,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp
11,LUV HRTS,Zamir featuring Odunsi (The Engine)
12,Caribbeana,Wondamagik and  Ogranya
13,Bling (feat. Amaarae & Buju),Blaqbonez
14,Early Momo,Vector
15,Times Two (X2) (feat. Buju) ,WANI
16,Searching,Lady Donli
17,Right Back (feat. Buju) ,Skaa and  Buju
18,Sweatshirt   ,April Maey
19,Fever,Yung D3mz
20,Ball Till We Fall (feat. Bella Shmurda) ,Kida Kudz
21,Euphoria,Hoodini
22,Lagos Bad Girls,Bils
23,POPSHIT (feat. Somadina),SGaWD
24,Pray,Victony
25,cold,"Zubi,  anatu and  Gabriel"
26,Money & Laughter,BOJ
27,Guala,Teezee
28,Sacrifices (feat. Tim Lyre),DAP The Contract
29,Brag,DETO BLACK
30,TDK (feat. SirBastien),DAP The Contract
31,Smile For You (feat. Oxlade) ,Mizzle featuring Oxlade
32,Pull Up   ,Gabzy
33,Let U Down (feat. CIll) ,Sigag Lauren
34,Beautifully   ,Fave
35,How Dare You   ,Joda Kgosi
36,GAMBLE   ,Kholi
37,Outside,Buju
38,Essence (feat. Tems) ,Wizkid
39,A. Iverson (feat. dndSection),Zamir
40,Cakes (feat. PatricKxxLee & KashCPT) ,Straffitti featuring PatricKxxLee and KashCPT
41,Understand,Omah Lay
42,Wreckless Tactics   ,TRiPPY TRiPPY
43,Who Talk (feat. Adekunle Gold & Ria Sean),Moelogo
44,Paradise   ,4Runna
45,I Miss You   ,Joda Kgosi
46,Frenemies (feat. Oxlade),Rexxie
47,Human (feat. Tomi Owxc3xb3),Show Dem Camp
48,Where (Has the Time Gone)   ,Bey T
49,Unconditionally,Ajebutter 22 and  Oxlade
50,Permission   ,Damosh
