rank,song,artist,apple,boom,youtube,RT
1,Soundgasm,Rema,51,2,53,35.333333333333336
2,PEAKING,Tay Iwar,81,5,77,54.333333333333336
3,Real,Tim Lyre,58,87,31,58.666666666666664
4,Table for Two,Bella Alubo,88,85,73,82.0
5,Confident   ,Savage and  Buju,27,7,450,161.33333333333334
6,Cocaine   ,Dai Verse,13,44,450,169.0
7,Pray,Victony,10,510,4,174.66666666666666
8,Harmonies,Wavy The Creator,7,510,11,176.0
9,FANCY   ,Niinety9,56,26,450,177.33333333333334
10,SPUNK,WurlD,18,510,18,182.0
11,Free Mind,Tems,1,510,35,182.0
12,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp,90,8,450,182.66666666666666
13,Right Back (feat. Buju) ,Skaa and  Buju,52,53,450,185.0
14,MKD   ,Skillz 8Figure,24,91,450,188.33333333333334
15,Amnesia,Zamir,26,510,39,191.66666666666666
16,Company,Twiss Tosin & Zen Univrse,500,11,65,192.0
17,Gone Girl,Obongjayar and  Sarz,53,510,23,195.33333333333334
18,All Mine Remix (feat. Buju) ,Kinsolo,48,88,450,195.33333333333334
19,Peace   ,Mannywellz and  Tems,46,93,450,196.33333333333334
20,Money Medicine   ,Laime,45,94,450,196.33333333333334
21,Euphoria,Hoodini,37,510,48,198.33333333333334
22,Fever,Yung D3mz,82,510,9,200.33333333333334
23,Guala,Teezee,500,52,49,200.33333333333334
24,Dark Twisted Fantasy,T'neeya,500,17,89,202.0
25,Times Two (X2) (feat. Buju) ,WANI,71,86,450,202.33333333333334
26,Tonight,Ginius,14,510,87,203.66666666666666
27,Caribbeana,Wondamagik and  Ogranya,83,510,24,205.66666666666666
28,Money & Laughter,BOJ,28,510,88,208.66666666666666
29,Fallin' Hard,The.wav,89,510,44,214.33333333333334
30,Lagos Bad Girls,Bils,500,72,72,214.66666666666666
31,Brag,DETO BLACK,500,84,67,217.0
32,Bling (feat. Amaarae & Buju),Blaqbonez,50,510,93,217.66666666666666
33,Smile For You (feat. Oxlade) ,Mizzle featuring Oxlade,500,1,450,317.0
34,Pull Up   ,Gabzy,500,3,450,317.6666666666667
35,Let U Down (feat. CIll) ,Sigag Lauren,500,4,450,318.0
36,Beautifully   ,Fave,500,6,450,318.6666666666667
37,How Dare You   ,Joda Kgosi,500,9,450,319.6666666666667
38,GAMBLE   ,Kholi,500,10,450,320.0
39,LUV HRTS (feat. Odunsi (The Engine)) ,Zamir featuring Odunsi (The Engine),500,12,450,320.6666666666667
40,Satisfy My Soul,Ria Sean,2,510,450,320.6666666666667
41,Cakes (feat. PatricKxxLee & KashCPT) ,Straffitti featuring PatricKxxLee and KashCPT,500,13,450,321.0
42,Pay Me,Troniq Music and  Oxlade,3,510,450,321.0
43,Wreckless Tactics   ,TRiPPY TRiPPY,500,14,450,321.3333333333333
44,Peru,Fireboy DML,4,510,450,321.3333333333333
45,Understand,Omah Lay,5,510,450,321.6666666666667
46,Paradise   ,4Runna,500,15,450,321.6666666666667
47,I Miss You   ,Joda Kgosi,500,16,450,322.0
48,Outside,Buju,6,510,450,322.0
49,Where (Has the Time Gone)   ,Bey T,500,18,450,322.6666666666667
50,Showtime (feat. Azanti),Zarion Uti,8,510,450,322.6666666666667
51,LOML (feat. Olamide),Cheque,9,510,450,323.0
52,Permission   ,Damosh,500,19,450,323.0
53,Hot Star   ,Chrystel,500,20,450,323.3333333333333
54,Dubai   ,Skaa,500,21,450,323.6666666666667
55,Pretend (feat. Tay Iwar),Zamir,11,510,450,323.6666666666667
56,Non Stop   ,Jody,500,22,450,324.0
57,Mood (feat. Buju),Wizkid,12,510,450,324.0
58,Tired   ,Shirazee,500,23,450,324.3333333333333
59,Queen Bee   ,Black Lavender,500,24,450,324.6666666666667
60,Don't Fold (feat. BRYAN THE MENSAH) ,Delis,500,25,450,325.0
61,Testimony,Buju,17,510,450,325.6666666666667
62,BBC   ,Blaqbonez,500,27,450,325.6666666666667
63,Focused   ,PsychoYP & Azanti,500,28,450,326.0
64,EVERYWHERE (feat. Buju) ,Straffitti featuring Buju,500,29,450,326.3333333333333
65,Sweet As Temptation,Ogranya,19,510,450,326.3333333333333
66,Sinner,Adekunle Gold and  Lucky Daye,20,510,450,326.6666666666667
67,Over You (feat. Odunsi & Santi) ,Joey B,500,30,450,326.6666666666667
68,W I L D,Lady Donli,21,510,450,327.0
69,Bomo   ,Adey,500,31,450,327.0
70,Trouble (feat. Tems) ,DRB LasGidi,500,32,450,327.3333333333333
71,Ojuju,Troniq Music and  Oxlade,22,510,450,327.3333333333333
72,Julie Juicy,FOURYY,23,510,450,327.6666666666667
73,All My Ladies   ,WANI,500,33,450,327.6666666666667
74,SAUS (See As U Set)   ,Chillz x TMXO,500,34,450,328.0
75,Lenu (Remix)   ,Buju & Burna Boy,500,35,450,328.3333333333333
76,Offend Me (feat. Blaqbonez),Bella Alubo,25,510,450,328.3333333333333
77,DUPĖ   ,Azekel,500,36,450,328.6666666666667
78,Space   ,Whoisakin,500,37,450,329.0
79,Go Outside (feat. Mr Eazi) ,Nonso Amadi,500,38,450,329.3333333333333
80,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay) ",DJ Tunez,500,39,450,329.6666666666667
81,The Key,Tems,29,510,450,329.6666666666667
82,Lockdown,Mr Vibez,30,510,450,330.0
83,Catch A Vibe   ,Karun and MOMBRU,500,40,450,330.0
84,911,Dxc3x84BS,31,510,450,330.3333333333333
85,Firedncr. (feat. Azanti),Jaylon,32,510,450,330.6666666666667
86,Celebration   ,Joeboy,500,42,450,330.6666666666667
87,Erima (feat. Terri & Minz),DJ Latitude,33,510,450,331.0
88,Girlfriend (feat. Naya Akanji) ,SirBastien,500,43,450,331.0
89,No Worry (feat. Buju),Valvin,34,510,450,331.3333333333333
90,Diamonds (feat. Mulla Stackz) ,Rebecca Winter,500,45,450,331.6666666666667
91,Show My Side (feat. Amaarae),CKay,35,510,450,331.6666666666667
92,Mr Nike (feat. April Maey),Dts,36,510,450,332.0
93,"Santa Flow (feat. L.K, Tena Tenpo, Cubix & Miju) ","Chop Life Crew featuring L.K, Tena Tenpo, Cubix and Miju",500,46,450,332.0
94,Man Of My Word   ,Noir,500,47,450,332.3333333333333
95,Like Dat (feat. PsychoYP) ,Skillz 8Figure,500,48,450,332.6666666666667
96,Wayo Wayo,Bee-Z,38,510,450,332.6666666666667
97,Can't Complain (feat. Fasina) ,Nova,500,49,450,333.0
98,I Like Girls,Kola Williams,39,510,450,333.0
99,Bounce   ,Rema,500,50,450,333.3333333333333
100,Ltf,Victor Collins and  MisterKay,40,510,450,333.3333333333333
101,Longé   ,Bryann,500,51,450,333.6666666666667
102,Don't Play,Floyd Miles,41,510,450,333.6666666666667
103,Unconditionally,Ajebutter 22 and  Oxlade,42,510,450,334.0
104,Tornado,chuXchu,43,510,450,334.3333333333333
105,Frenemies (feat. Oxlade),Rexxie,44,510,450,334.6666666666667
106,(Put Your Mind at Ease) Fight It2   ,Mich Straaw,500,54,450,334.6666666666667
107,"Self Luv (Remix) (feat. Blaqbonez, Drizilik & Enam) ",Skillz 8Figure,500,55,450,335.0
108,Too Many Women   ,"Ajebutter22, BOJ, Falz",500,56,450,335.3333333333333
109,Wag1 (feat. 60),Activity Club NG,47,510,450,335.6666666666667
110,Lemonade   ,Ria sean,500,57,450,335.6666666666667
111,Chanel   ,Ceeboi,500,58,450,336.0
112,Down for You (feat. Boybreed),Aramide,49,510,450,336.3333333333333
113,Greenlight   ,Hamzil,500,59,450,336.3333333333333
114,Narcissus Is Dead   ,Suté Iwar,500,60,450,336.6666666666667
115,Salvation,Ogranya,500,510,1,337.0
116,Fast Lane   ,Lavaud,500,61,450,337.0
117,Island Pink (feat. PsychoYP),Phaemous,500,510,2,337.3333333333333
118,4 You   ,Yung D3mz,500,62,450,337.3333333333333
119,Only You   ,take1 & Muku Fresh,500,63,450,337.6666666666667
120,loving is harder,Johnny Drille,500,510,3,337.6666666666667
121,ManDown   ,BoyCamilo,500,64,450,338.0
122,Beggie Beggie (feat. Ckay),Ayra Starr,54,510,450,338.0
123,Sacrifices (feat. Tim Lyre),DAP The Contract,500,510,5,338.3333333333333
124,Human (feat. Tomi Owxc3xb3),Show Dem Camp,55,510,450,338.3333333333333
125,Ball Till We Fall (feat. Bella Shmurda) ,Kida Kudz featuring Bella Shmurda,500,65,450,338.3333333333333
126,Early Momo,Vector,500,510,6,338.6666666666667
127,Swayy (feat. Tay Iwar) ,Suté Iwar featuring Tay Iwar,500,66,450,338.6666666666667
128,Moscow   ,Jody,500,67,450,339.0
129,Selense,The Cavemen.,500,510,7,339.0
130,Should've Known Better,Sizz The Truth,57,510,450,339.0
131,Movement   ,Lekside Westside,500,68,450,339.3333333333333
