rank,song,artist,Previous week,weeks on chart
1,Soundgasm,Rema,1,5
2,PEAKING,Tay Iwar,2,5
3,Table for Two,Bella Alubo,4,5
4,Real,Tim Lyre,3,5
5,Confident   ,Savage and  Buju,5,5
6,Cocaine   ,Dai Verse,6,4
7,Free Mind,Tems,11,5
8,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp,12,5
9,FANCY   ,Niinety9,9,5
10,Pray,Victony,7,5
11,Peace   ,Mannywellz and  Tems,19,2
12,Harmonies,Wavy The Creator,8,4
13,Walahi (feat. Tidé),Faym Official,0,1
14,Right Back (feat. Buju) ,Skaa and  Buju,13,5
15,Money & Laughter,BOJ,28,4
16,MKD   ,Skillz 8Figure,14,5
17,Euphoria,Hoodini,21,5
18,SPUNK,WurlD,10,4
19,All Mine Remix (feat. Buju) ,Kinsolo,18,5
20,Dark Twisted Fantasy,T'neeya,24,2
21,Money Medicine   ,Laime,20,4
22,Gone Girl,Obongjayar and  Sarz,17,5
23,Brag,DETO BLACK,31,5
24,Company,Twiss Tosin & Zen Univrse,16,5
25,Crazy Tings,Tems,0,1
26,Guala,Teezee,23,5
27,Fever,Yung D3mz,22,3
28,Amnesia,Zamir,15,5
29,Tonight,Ginius,26,5
30,Lagos Bad Girls,Bils,30,4
31,Bling (feat. Amaarae & Buju),Blaqbonez,32,5
32,Smile For You (feat. Oxlade) ,Mizzle featuring Oxlade,33,5
33,Pull Up   ,Gabzy,34,4
34,Let U Down (feat. CIll) ,Sigag Lauren,35,5
35,Beautifully   ,Fave,36,5
36,How Dare You   ,Joda Kgosi,37,5
37,GAMBLE   ,Kholi,38,5
38,LUV HRTS,Zamir featuring Odunsi (The Engine),39,5
39,Kini Issue,Niinety9,0,1
40,Cakes (feat. PatricKxxLee & KashCPT) ,Straffitti featuring PatricKxxLee and KashCPT,41,2
41,Satisfy My Soul,Ria Sean,40,5
42,Peru,Fireboy DML,44,4
43,Wreckless Tactics   ,TRiPPY TRiPPY,43,4
44,Paradise   ,4Runna,46,5
45,Ojuju,Troniq Music and  Oxlade,0,1
46,I Miss You   ,Joda Kgosi,47,5
47,Show My Side (feat. Amaarae),CKay,0,1
48,Checkmate,Elhi,0,1
49,Where (Has the Time Gone)   ,Bey T,49,2
50,Permission   ,Damosh,0,1
