Position,song,artist,album
1,I Bow,Judikay,I Bow - Single
2,No Troubles,Chris Morgan,No Troubles - Single
3,Ye Obua Mi (My Help),Joe Mettle,Ye Obua Mi (My Help) - Single
4,This Love,Chidinma,This Love - Single
5,More Than Gold,Judith Kanayo,More Than Gold - Single
6,Fourthman (feat. Chris Morgan),Caleb Audu,Fourthman (feat. Chris Morgan) - Single
7,Everything (Amen),Timi Dakolo,Everything (Amen) - Single
8,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & O/B/A),Nathaniel Bassey,Olorun Agbaye - You Are Mighty - Single (feat. Chandler Moore & O/B/A) - Single
9,Onyedikagi (feat. Glowrie),Mercy Chinwo,Onyedikagi (feat. Glowrie) - Single
10,Too Faithful,Moses Bliss,Too Faithful
11,Ebube Jehovah,Victor Ike,Ebube Jehovah - Single
12,Song of Victory,Esther Olugbemi,Song of Victory - Single
13,Excess Love (feat. J.J. Hairston & Youthful Praise) [Remix],Mercy Chinwo,SATISFIED
14,In This Place,Minister GUC,In This Place - EP
15,Never Forget Your Love,Anny,Never Forget Your Love - Single
16,Capable God,Judikay,Man of Galilee
17,Worship Your Maker,Dunsin Oyekan,The Gospel of the Kingdom
18,Everything,Ada Ehi,Everything - Single
19,Beautiful (feat. Nathaniel Bassey),Sinach,Greatest Lord
20,Hallelujah No Go Finish,Freke Umoh,Hallelujah No Go Finish - Single
21,Yahweh Yahweh (feat. Sinach),Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
22,Omemma,Judikay,Man of Galilee
23,All in All,CalledOut Music,Roots - EP
24,Hosanna (Live),Steve Crown,Hosanna (Live) - Single
25,Nothing Missing,Preye Odede,Nothing Missing - Single
26,Too Much,Chioma Jesus,Next Level
27,Thank You,"Kobby Mantey, Joe Mettle",Thank You - Single
28,Jesu Doh,"EBEN, Jahdiel",Jesu Doh - Single
29,All Things New,Tee Worship,All Things New - Single
30,King of Glory (feat. Darlene Zschech),Sinach,Greatest Lord
31,Lions,T Sharp,Lions - Single
32,Congratulations (feat. Buchi),Ada Ehi,Born of God
33,Oga Jesus,Daniel Mylez,Oga Jesus - Single
34,Best of Me,Double F,Best of Me - Single
35,Awone (feat. Chris Morgan),naomee,Beautified by Grace
36,Great & Mighty (Awimayehun),Segun John,Great & Mighty (Awimayehun) - Single
37,Cultural Praise Vol. 3,"KCee, Okwesili Eze Group",Cultural Praise
38,Jehovah Overdo,Chidinma,Jehovah Overdo - Single
39,Covenant Keeping God,Jimmy D Psalmist,Indomitable
40,Amazing,Isyrose,Amazing - Single
41,Most High,Frank Edwards,Anglican
42,You Fight for Me,Mahalia Buchanan,You Fight for Me - Single
43,Amen,Tjsarx,The Journey
44,We Prevail (feat. Maranda Curtis),Sinach,Greatest Lord
45,Fire (feat. Okey Sokay),Dj Ernesty,Fire (feat. Okey Sokay) - Single
46,Billion Words,"Limoblaze, Onos",Billion Words - Single
47,Faithful God (Live),Onos,Faithful God (Live) - Single
48,Ekele,Desai David,Ekele - Single
49,Oka ome,Chioma Jesus,Chiomalized
50,Perfect Love,Rhema \'Ye,Perfect Love - Single
51,Hosanna,TDR,Hosanna - Single
52,I Believe,Jessika Kioja,I Believe - Single
