Position,song,artist
1,Capable God,Judikay
2,Too Faithful,Moses Bliss
3,Jesus the Son of God,Chidinma
4,Roar,Dunsin Oyekan
5,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & O/B/A),Nathaniel Bassey
6,More Than Gold,Judith Kanayo
7,New Dimension (Live),Onos
8,I Bow,Judikay
9,Jehovah Overdo,Chidinma
10,Excess Love (feat. J.J. Hairston & Youthful Praise) [Remix],Mercy Chinwo
11,Hallelujah (feat. Dunsin Oyekan),Joe Mettle
12,Worship Your Maker,Dunsin Oyekan
13,Everything,Ada Ehi
14,Omemma,Judikay
15,Made In Amazing,Timothy Bassey
16,Hallelujah No Go Finish,Freke Umoh
17,Good God,Limoblaze and  Ada Ehi
18,Holy,Monica Eze
19,God Dey (Live),KobbySalm
20,Onyedikagi (feat. Glowrie),Mercy Chinwo
21,Everything (Amen),Timi Dakolo
22,Congratulations (feat. Buchi),Ada Ehi
23,Light it up (feat. Savanah),LaToyah Bless
24,Ebube Jehovah,Victor Ike
25,Ye Obua Mi (My Help),Joe Mettle
26,Your Name Is Jesus,Eljoe Onoja
27,Song of Victory,Esther Olugbemi
28,No Troubles,Chris Morgan
29,This Love,Chidinma
30,In This Place,Minister GUC
31,Hallelujah,Elisha Amana
32,One Song,Ikiri Lawrence
33,Never Forget Your Love,Anny
34,xc3x8cmxe1xbbx8dxccx81lxe1xbaxb9xccx80,T Sharp
35,More Than Conquerors,Chelsea Levi
36,Beautiful (feat. Nathaniel Bassey),Sinach
37,This Love,Chidinma
38,"A New Wave of Glory (feat. Tosin Bee, Segunfunmi, Moses Onofeghara & Femi Okunuga)",One Hallelujah
39,Mmoloki Waka,Choko
40,Yahweh Yahweh (feat. Sinach),Nathaniel Bassey
41,All in All,CalledOut Music
42,Covenant Keeping God,Jimmy D Psalmist
43,Hosanna (Live),Steve Crown
44,Mercy O ! (feat. Ini Adesanya & Pastor Sarah Omakwu),Wale Adenuga
45,Nothing Missing,Preye Odede
46,Your Love Is Amazing (feat. Bethuel Lasoi),Rebekah Dawn
47,Thank You,Kobby Mantey and  Joe Mettle
48,God of Wonders,Simon Onah
49,Hozanna,Claire Bahi
50,Jesu Doh (feat. Jahdiel),EBEN
51,Warriors Worship (Medley),Nayaah
52,Amen,Tjsarx
53,All Things New,Tee Worship
54,King of Glory (feat. Darlene Zschech),Sinach
55,Now,Ada Ehi
56,Lions,T Sharp
57,Best of Me,Double F
58,Ajibole,Protek Illasheva and  Marizu
59,God Most High,Shalom Braide
60,Awone (feat. Chris Morgan),naomee
61,My Father My God (Live),Jimmy D Psalmist
62,Fourthman (feat. Chris Morgan),Caleb Audu
63,Great & Mighty (Awimayehun),Segun John
64,Oga Jesus,Daniel Mylez
65,Amazing,Isyrose
66,Oluwa Is Involved,Joyce Blessing
67,Most High,Frank Edwards
68,You Fight for Me,Mahalia Buchanan
69,We Prevail (feat. Maranda Curtis),Sinach
70,They That Wait (feat. MOG),Joe Mettle
71,Worship with Angels (feat. Joe Praize),PV Idemudia
72,I Am Yours,Ify Ehis
73,Too Much,Chioma Jesus
74,Faithful God (Live),Onos
75,Liyinqaba,Hle and  Hlengiwe Mhlaba
76,Ekele,Desai David
77,Oka'ome,Chioma Jesus
78,Ubangiji (feat. Steve Williz),Younggod
79,Perfect Love,Rhema 'Ye
80,Billion Words,Limoblaze and  Onos
81,Delight,Freke Umoh
82,Hosanna,TDR
83,I Believe,Jessika Kioja
84,Answer Your Name (feat. Rosemary Chibuogwu),Caleb Audu
85,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey
86,We Bow Down,Sinach
87,Konyana,Dr Tumi
88,Chukwu Eze,Melody Gabriel
89,Tested and Trusted,BOSE PETER
90,Alpha & Omega (feat. Chris Morgan),K Praise
91,Unastahili,Evelyn Wanjiru
92,Bigger Everyday,"Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple"
93,Amanamo (feat. Mercy Chinwo),Chris Morgan
94,Battles,Tim Godfrey
95,My Father & My Friend (feat. Stephanie Kome Ita),Elijah Oyelade
96,Nara (feat. Travis Greene),Tim Godfrey
97,Grace Is Available,Sammie Okposo
98,Cultural Praise Vol.2,KCee and  Okwesili Eze Group
99,Do,Austin Hogan
100,Bless Me (feat. Ada Ehi),Mercy Masika
