,artist,song
0,Ada Ehi,Everything
1,Ada Ehi,Never Go Down ft. Limoblaze
2,Diana Hamilton,Adom Grace
3,Ada Ehi,Congratulations ft. Buchi
4,Moses Bliss,Too Faithful
5,Ada Ehi,"Congratulations ft, Buchi"
6,Steve Crown,You Are Yahweh
7,Mercy Chinwo,Obinasom
8,Nathaniel Bassey,Hallelujah Challenge Praise Medley
9,Ada Ehi,More Than Enough
10,Ada Ehi,Fix My Eyes On You ft. Sinach
11,Steve Crown,You Are Great
12,Goodluck Gozbert,Kampeni
13,Ada Ehi,Thank You For My Life
14,Ada Ehi,Now
15,Steve Crown,Hosanna
16,Dunsin Oyekan,Fragrance to Fire
17,Moses Bliss,"Bigger Every Day ft. Festizie, Membrane, Uwa, Chris Heavens & Temple"
18,Steve Crown,All The Glory
19,Sinach,Way Maker
20,Samsong,Jesus ft. Mercy Chinwo
21,Sinach,Omemma
22,Moses Bliss,Taking Care
23,Nathaniel Bassey,Yeshua Hamashiach
24,Onos,Faithful God (Live)
25,Nathaniel Bassey,Emmanuel
26,Nathaniel Bassey,"Olorun Agbaye - You Are Mighty ft. Chandler Moore, Oba"
27,Steve Crown,Your Love ft. Tope Alabi
28,Chidinma,Jehovah Overdo
29,Frank Edwards,CHIOMA (AFRO VIBE)
30,Victoria Orenze,Spirit Chant
31,Nathaniel Bassey,Yahweh Yahweh ft. Sinach
32,Prospa Ochimana,Ekwueme ft. Osinachi Nwachukwu (ETTWP)
33,Nathaniel Bassey,Hallelujah Challenge Worship Medley
34,Frank Edwards,NO OTHER NAME
35,Joe Mettle,Yesu Mo
36,Nathaniel Bassey,Olorun Agbaye - You Are Mighty ft. Chandler Moore & Oba
37,Elijah Oyelade,All Because Of You
38,Dunsin Oyekan,Yah
39,David G,Covenant Keeper
40,Ada Ehi,New Level
41,Tope Alabi,Yes And Amen
42,Jimmy D Psalmist,My Father My God
43,Diana Hamilton,Nyansabuakwa Nyame
44,Ada Ehi,Finally
45,Eben,Jesus Power
46,Chris Shalom,My Beautifier
47,Dunsin Oyekan,At All Cost
48,Moses Bliss,You I Live For ft. Loveworld Indomitable Choir
49,Moses Bliss,Bigger Everyday
50,Indira,Je Laisse Tout A Dieu
51,JayMikee,Heaven
52,Steve Crown,Mighty God ft. Nathaniel Bassey
53,Ada Ehi,iTestify
54,Mercy Chinwo,Onememma ft. Chioma Jesus
55,Victoria Orenze,Have Mercy (Live)
56,Mercy Chinwo,Na You Dey Reign
57,Joe Praize,Unchangeable God
58,Ada Ehi,Settled
59,Goodluck Gozbert,Afadhali Yesu ft.Guardian Angel
60,Dunsin Oyekan,Worship Your Maker
61,Celestine Donkor,Agbebolo ft. NHYIRABA GIDEON
62,Chioma Jesus,Bulldozer
63,Dunsin Oyekan,You Remain the Same
64,Joyce Blessing,Adam Nana
65,Joe Mettle,Ye Obua Mi (My Help)
66,Steve Crown,Imela
67,Dunsin Oyekan,More Than a Song
68,Tope Alabi,You Are Worthy
69,Mike Abdul,Baba Ese ft. Yoruba Mass Choir
70,Minister GUC,All That Matters
71,Moses Bliss,You I Live For
72,Tope Alabi,Lae La O Ma Bo Oluwa
73,Tim Godfrey,Nara
74,Indira,Je Veux Te Louer
75,Chioma Jesus,Okemmuo Ft. Mercy Chinwo
76,Ada Ehi,I Overcame
77,Mercy Chinwo,Chinedum
78,Goodluck Gozbert,Wacha Waone ft. Martha Mwaipaja
79,Mercy Chinwo,Excess Love
80,Solomon Lange,Mai Taimako Na (My Helper)
81,Chris Shalom,JESUS
82,Mercy Chinwo,Akamdinelu
83,Solomon Lange,I Will Praise You
84,ROSNY KAYIBA,Nazo bondela yo (Je te prie)
85,Yinka Ayefele,Ekundayo
86,Moses Bliss,In Your Hands
87,Ada Ehi,Cheta 
88,Tope Alabi,Halleluyah
89,Sinach,All Things Are Ready
90,Jimmy D Psalmist,Mighty Man of War
91,Joe Mettle,My Everything
92,MOGmusic,Local Praise
93,Frank Edwards,Under The Canopy
94,Ada Ehi,Notice
95,Eben,The Harvest
96,Steve Crown,What A Mighty God ft. Nathaniel Bassey
97,Chioma Jesus,Oka Ome
98,Mercy Chinwo,Oyoyo Chukwu ft. Israel Dammy & EeZee Tee
99,Tope Alabi,Jesu Ore Otito
