rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,With My Hands,"Sinach, Micah Stampley",1,1,1,1,1,1,1,1.0
2,Ndenzel' Uncedo Hymn 377,Live - Joyous Celebration,2,2,2,2,2,2,2,2.0
3,Bulie,Preye Odede,3,3,3,3,3,3,3,3.0
4,Jesus Never Fails,MaryJane Nweke,4,4,4,4,4,4,4,4.0
5,The Great Shepherd,Dr Tumi,5,5,5,5,5,5,5,5.0
6,Make a Way,Live - Spirit Of Praise,6,6,6,6,6,6,6,6.0
7,The Lord Is My Sheperd,Kgotso,7,7,7,7,7,7,7,7.0
8,Days of Elijah,Live - Joyous Celebration,8,8,8,8,8,9,9,8.285714285714286
9,Way Maker,Sinach,9,9,9,9,9,10,10,9.285714285714286
10,We Raise a Sound,Nosa,10,10,10,10,10,11,11,10.285714285714286
11,Jesus Is Enough,Xolly Mncwango,11,11,11,11,11,12,12,11.285714285714286
12,Jehovah Is Your Name (Live),Ntokozo Mbambo,12,12,12,12,12,13,13,12.285714285714286
13,How to Love,Folabi Nuel,13,13,13,13,13,14,14,13.285714285714286
14,Love My Home,Sinach,14,14,14,14,14,15,15,14.285714285714286
15,OMG (feat. JJ Hairston),Tim Godfrey,15,15,15,15,15,16,16,15.285714285714286
16,No Void,Onos,16,16,16,16,16,17,17,16.285714285714285
17,Faithful,Kingdmusic,17,17,17,17,17,18,18,17.285714285714285
18,Adom Grace,Diana Hamilton,18,18,18,18,18,19,19,18.285714285714285
19,I Need To Worship,Kgotso,19,19,19,19,19,20,20,19.285714285714285
20,Ti Oluwa ni ile,Ade Jones,20,20,20,20,20,21,21,20.285714285714285
21,Itshokwadi,Live - Joyous Celebration,21,21,21,21,21,22,22,21.285714285714285
22,Big God,Joyous Celebration,22,22,22,22,22,23,23,22.285714285714285
23,Atmosphere,Khaya Mthethwa,24,24,24,24,24,24,24,24.0
24,Amen,Ladysmith Black Mambazo,25,25,25,25,25,25,25,25.0
25,Olori Oko,Infinity,26,26,26,26,26,26,26,26.0
26,Open Up,Dunsin Oyekan,27,27,27,27,27,27,27,27.0
27,Blessed,Akesse Brempong,29,29,29,29,29,28,28,28.714285714285715
28,Bow Down and Worship,Benjamin Dube,30,30,30,30,30,29,29,29.714285714285715
29,Most High,African Worship Medley/Live - Uche Agu,31,31,31,31,31,30,30,30.714285714285715
30,Strong Tower,Mercy Chinwo,32,32,32,32,32,31,31,31.714285714285715
31,Uzugcin'impilo Yam',Bucy Radebe,33,33,33,33,33,32,32,32.714285714285715
32,Fix My Eyes On You,Ada Ehi,34,34,34,34,34,33,33,33.714285714285715
33,Halleluyah,MzVee,35,35,35,35,35,34,34,34.714285714285715
34,Udumo,Live at Pont De Val - Dr Tumi,36,36,36,36,36,35,35,35.714285714285715
35,Child of Heaven,Remake - Kingdmusic,37,37,37,37,37,36,36,36.714285714285715
36,Always Win (Solo Version),Sinach,38,38,38,38,38,37,37,37.714285714285715
37,Nkosi Ndithembe Wena,Joey Mofoleng,39,39,39,39,39,38,38,38.714285714285715
38,Praise Medley,Ronke Adesokan,28,28,28,28,28,68,68,39.42857142857143
39,Okay,Limoblaze,40,40,40,40,40,39,39,39.714285714285715
40,He's Alive,Rehmahz,41,41,41,41,41,40,40,40.714285714285715
41,I Believe (Live),HLE,42,42,42,42,42,41,41,41.714285714285715
42,Yibanathi,Vusi Nova,43,43,43,43,43,42,42,42.714285714285715
43,Xa Ndiyekelelwa,"Live - Spirit Of Praise, Thando",44,44,44,44,44,43,43,43.714285714285715
44,Yesu Wena UnguMhlobo,Live - Joyous Celebration,45,45,45,45,45,44,44,44.714285714285715
45,Ndikhokhele Bawo,Cape Town Youth Choir,46,46,46,46,46,45,45,45.714285714285715
46,Your Majesty,Muyiwa & Riversongz,47,47,47,47,47,46,46,46.714285714285715
47,Miracle Worker (feat. Nathaniel Bassey),Glowreeyah Braimah,48,48,48,48,48,47,47,47.714285714285715
48,Messiah,Kgotso,49,49,49,49,49,48,48,48.714285714285715
49,Haleluyah Mdumiseni (Live),Lebo Sekgobela,50,50,50,50,50,49,49,49.714285714285715
50,Mimo (feat. Sola Allyson),Fountain Of Praise,51,51,51,51,51,50,50,50.714285714285715
51,Yesu Mo,Joe Mettle,52,52,52,52,52,51,51,51.714285714285715
52,Made Whole,CRC Music,53,53,53,53,53,52,52,52.714285714285715
53,You Are Worthy,Tope Alabi,54,54,54,54,54,53,53,53.714285714285715
54,Love On The Cross,Dr Tumi,55,55,55,55,55,54,54,54.714285714285715
55,Ese Oluwa / Papa,Sonnie Badu,56,56,56,56,56,55,55,55.714285714285715
56,Eh Yaweh,Benjamin Dube,57,57,57,57,57,56,56,56.714285714285715
57,Dansaki,Lara George,58,58,58,58,58,57,57,57.714285714285715
58,Awesome God,Tembalami,59,59,59,59,59,58,58,58.714285714285715
59,Nothing Without You,Live At The Barnyard Theatre - Dr Tumi,60,60,60,60,60,59,59,59.714285714285715
