rank,song,artist,apple,boom,youtube,RT
1,Everything (Amen),Timi Dakolo,5,1,3,7.0
2,Too Faithful,Moses Bliss,8,17,20,31.666666666666668
3,Congratulations (feat. Buchi Atuonwu),Ada Ehi,29,3,27,41.0
4,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & OBA),Nathaniel Bassey,6,43,24,57.0
5,Omemma,Judikay,19,31,51,67.0
6,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple","Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens, Temple",55,16,64,92.33333333333333
7,Now,Ada Ehi,77,13,40,103.33333333333333
8,Excess Love (Live) (feat. Mercy Chinwo),Mercy Chinwo,10,90,21,107.0
9,Worship Your Maker,Dunsin Oyekan,14,94,8,110.66666666666667
10,Covenant Keeping God,Jimmy D Psalmist,36,96,37,144.33333333333334
11,Nara,Tim Godfrey,83,85,22,175.33333333333334
12,Hosanna,Steve Crown,21,14,450,185.0
13,Ye Obua Mi (My Help),Joe Mettle,2,44,450,196.0
14,Jehovah Overdo,Chidinma,35,12,450,197.0
15,Faithful God (Live),Onos,44,22,450,216.0
16,Yahweh Yahweh ft. Sinach,Nathaniel Bassey,18,52,450,220.0
17,Too Much,Chioma Jesus,23,48,450,221.0
18,AMEN ft. Joe Mettle,Tjsarx,40,41,450,231.0
19,Amanamo ft. Mercy Chinwo,Chris Morgan,58,33,450,241.0
20,Adom Grace,Diana Hamilton,84,9,450,243.0
21,All Things New,Tee Worship,26,77,450,253.0
22,Wanibariki,Nandy,85,100,450,335.0
23,You are Yahweh,Steve Crown,500,5,17,510.6666666666667
24,Obinasom,Mercy Chinwo,500,11,14,515.6666666666666
25,Onyedikagi (feat. Glowrie),Mercy Chinwo,7,510,1,517.3333333333334
26,Beautiful (feat. Nathaniel Bassey),Sinach,16,510,2,526.6666666666666
27,You are Great,Steve Crown,500,15,45,530.0
28,Way Maker,Sinach,500,29,16,534.3333333333334
29,Jesus (feat. Mercy Chinwo),Samsong,500,24,32,534.6666666666666
30,Fragrance to Fire,Dunsin Oyekan,500,20,58,539.3333333333334
31,Yes And Amen,Tope Alabi,500,32,43,546.3333333333334
32,Hallelujah No Go Finish,Freke Umoh,17,510,61,547.3333333333334
33,NO OTHER NAME,Frank Edwards,500,42,55,560.3333333333334
34,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,51,510,7,563.3333333333334
35,In Your Hands,Moses Bliss,500,64,31,574.3333333333334
36,My Father & My Friend,Elijah Oyelade,60,510,19,576.3333333333334
37,Akamdinelu,Mercy Chinwo,500,59,54,577.0
38,Chinedum,Mercy Chinwo,500,66,34,577.3333333333334
39,Mighty God (feat. Nathaniel Bassey),Steve Crown,500,55,67,577.3333333333334
40,Battles,Tim Godfrey,59,510,38,581.6666666666666
41,At All Cost,Dunsin Oyekan,500,69,41,582.6666666666666
42,All Things Are Ready,Sinach,500,62,66,584.0
43,We Raise a Sound (feat. 121selah),Nosa,70,510,18,586.0
44,Na You Dey Reign,Mercy Chinwo,500,72,44,586.6666666666666
45,God of Vengeance,Minister GUC,500,79,30,589.0
46,Halleluyah,Tope Alabi,500,70,57,589.0
47,Bless Me (feat. Ada Ehi),Mercy Masika,64,510,93,605.0
48,Under The Canopy,Frank Edwards,500,89,60,609.0
49,Yahweh,Ifeoma Okoli,74,510,82,611.3333333333334
50,Imela,Steve Crown,500,97,63,618.0
51,Never Go Down ft. Limoblaze,Ada Ehi,500,2,450,652.0
52,You I Live For,Moses Bliss,500,4,450,654.0
53,Thank You For My Life,Ada Ehi,500,6,450,656.0
54,Hallelujah Challenge Praise Medley,Nathaniel Bassey,500,7,450,657.0
55,More Than Enough,Ada Ehi,500,8,450,658.0
56,I Bow,Judikay,1,510,450,661.0
57,This Love,Chidinma,3,510,450,663.0
58,More Than Gold,Judith Kanayo,4,510,450,664.0
59,Your Love ft. Tope Alabi,Steve Crown,500,18,450,668.0
60,What A Mighty God ft. Nathaniel Bassey,Steve Crown,500,19,450,669.0
61,Ebube Jehovah,Victor Ike,9,510,450,669.0
62,In This Place,Minister GUC,11,510,450,671.0
63,My Evidence ft. Frank Edwards,Testimony Jaga,500,21,450,671.0
64,Never Forget Your Love,Anny,12,510,450,672.0
65,Capable God,Judikay,13,510,450,673.0
66,Heaven,JayMikee,500,23,450,673.0
67,Fix My Eyes On You ft. Sinach,Ada Ehi,500,25,450,675.0
68,Spirit Chant,Victoria Orenze,500,26,450,676.0
69,Emmanuel,Nathaniel Bassey,500,27,450,677.0
70,Yeshua Hamashiach,Nathaniel Bassey,500,28,450,678.0
71,Powerful Glorious God,Steve Crown,500,30,450,680.0
72,All in All,CalledOut music,20,510,450,680.0
73,Nothing Missing,Preye Odede,22,510,450,682.0
74,Taking Care,Moses Bliss,500,34,450,684.0
75,Thank You,"Kobby Mantey, Joe Mettle",24,510,450,684.0
76,New Level,Ada Ehi,500,35,450,685.0
77,Jesu Doh,"EBEN, Jahdiel",25,510,450,685.0
78,Ekwueme ft. Osinachi Nwachukwu (ETTWP),Prospa Ochimana,500,36,450,686.0
79,CHIOMA (AFRO VIBE),Frank Edwards,500,37,450,687.0
80,King of Glory (feat. Darlene Zschech),Sinach,27,510,450,687.0
81,Lae La O Ma Bo Oluwa,Tope Alabi,500,38,450,688.0
82,Lions,T Sharp,28,510,450,688.0
83,All The Glory,Steve Crown,500,39,450,689.0
84,Finally,Ada Ehi,500,40,450,690.0
85,Oga Jesus,Daniel Mylez,30,510,450,690.0
86,Best of Me,Double F,31,510,450,691.0
87,Awone (feat. Chris Morgan),naomee,32,510,450,692.0
88,Great & Mighty (Awimayehun),Segun John,33,510,450,693.0
89,Cultural Praise Vol. 3,"KCee, Okwesili Eze Group",34,510,450,694.0
90,Count On Me,Moses Bliss,500,45,450,695.0
91,Amazing,Isyrose,37,510,450,697.0
92,Nyansabuakwa Nyame,Diana Hamilton,500,47,450,697.0
93,Most High,Frank Edwards,38,510,450,698.0
94,You Fight for Me,Mahalia Buchanan,39,510,450,699.0
95,Chineke Idi Nma,Chioma Jesus,500,50,450,700.0
