rank,song,artist
1,Everything (Amen),Timi Dakolo
2,Too Faithful,Moses Bliss
3,Congratulations (feat. Buchi Atuonwu),Ada Ehi
4,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & OBA),Nathaniel Bassey
5,Omemma,Judikay
6,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple","Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens, Temple"
7,Now,Ada Ehi
8,Excess Love (Live) (feat. Mercy Chinwo),Mercy Chinwo
9,Worship Your Maker,Dunsin Oyekan
10,Covenant Keeping God,Jimmy D Psalmist
11,Nara,Tim Godfrey
12,Hosanna,Steve Crown
13,Ye Obua Mi (My Help),Joe Mettle
14,Jehovah Overdo,Chidinma
15,Faithful God (Live),Onos
16,Yahweh Yahweh ft. Sinach,Nathaniel Bassey
17,Too Much,Chioma Jesus
18,AMEN ft. Joe Mettle,Tjsarx
19,Amanamo ft. Mercy Chinwo,Chris Morgan
20,Adom Grace,Diana Hamilton
21,All Things New,Tee Worship
22,Wanibariki,Nandy
23,You are Yahweh,Steve Crown
24,Obinasom,Mercy Chinwo
25,Onyedikagi (feat. Glowrie),Mercy Chinwo
26,Beautiful (feat. Nathaniel Bassey),Sinach
27,You are Great,Steve Crown
28,Way Maker,Sinach
29,Jesus (feat. Mercy Chinwo),Samsong
30,Fragrance to Fire,Dunsin Oyekan
31,Yes And Amen,Tope Alabi
32,Hallelujah No Go Finish,Freke Umoh
33,NO OTHER NAME,Frank Edwards
34,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey
35,In Your Hands,Moses Bliss
36,My Father & My Friend,Elijah Oyelade
37,Akamdinelu,Mercy Chinwo
38,Chinedum,Mercy Chinwo
39,Mighty God (feat. Nathaniel Bassey),Steve Crown
40,Battles,Tim Godfrey
41,At All Cost,Dunsin Oyekan
42,All Things Are Ready,Sinach
43,We Raise a Sound (feat. 121selah),Nosa
44,Na You Dey Reign,Mercy Chinwo
45,God of Vengeance,Minister GUC
46,Halleluyah,Tope Alabi
47,Bless Me (feat. Ada Ehi),Mercy Masika
48,Under The Canopy,Frank Edwards
49,Yahweh,Ifeoma Okoli
50,Imela,Steve Crown
