rank,song,artist,apple,boom,youtube,spotify,RT
1,Everything (Amen),Timi Dakolo,3,1,2,490,165.33333333333334
2,Congratulations (feat. Buchi Atuonwu),Ada Ehi,9,3,28,490,176.66666666666666
3,Too Faithful,Moses Bliss,13,12,20,490,178.33333333333334
4,Way Maker,Sinach,500,19,16,9,181.33333333333334
5,Amen,Tjsarx,7,64,450,25,182.0
6,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & OBA),Nathaniel Bassey,4,37,24,490,185.0
7,Adom Grace,Diana Hamilton,88,6,450,18,187.33333333333334
8,Omemma,Judikay,11,24,53,490,192.66666666666666
9,Excess Love (Live) (feat. Mercy Chinwo),Mercy Chinwo,20,52,21,490,194.33333333333334
10,Jesus Never Fails,MaryJane Nweke,500,65,23,4,197.33333333333334
11,We Raise a Sound,Nosa,74,510,18,10,204.0
12,Worship Your Maker,Dunsin Oyekan,19,97,8,490,204.66666666666666
13,Now,Ada Ehi,81,15,42,490,209.33333333333334
14,You Are Worthy,Tope Alabi,500,49,30,54,211.0
15,Halleluyah,Tope Alabi,500,74,58,35,222.33333333333334
16,Nara,Tim Godfrey,87,81,22,490,226.66666666666666
17,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple","Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens, Temple",61,71,66,490,229.33333333333334
18,Hosanna,Steve Crown,29,16,450,490,328.3333333333333
19,Fix My Eyes On You,Ada Ehi,500,13,450,34,332.3333333333333
20,Ye Obua Mi (My Help),Joe Mettle,18,46,450,490,334.6666666666667
21,No Troubles,Chris Morgan,17,47,450,490,334.6666666666667
22,Jehovah Overdo,Chidinma,42,25,450,490,335.6666666666667
23,Obinasom,Mercy Chinwo,500,5,14,490,336.3333333333333
24,You are Yahweh,Steve Crown,500,4,17,490,337.0
25,Onyedikagi (feat. Glowrie),Mercy Chinwo,12,510,3,490,338.3333333333333
26,Yahweh Yahweh ft. Sinach,Nathaniel Bassey,27,56,450,490,341.0
27,Faithful God (Live),Onos,50,35,450,490,341.6666666666667
28,Beautiful (feat. Nathaniel Bassey),Sinach,25,510,1,490,342.0
29,Jesus (feat. Mercy Chinwo),Samsong,500,20,34,490,348.0
30,Love My Home,Sinach,500,510,26,14,350.0
31,You are Great,Steve Crown,500,14,47,490,350.3333333333333
32,I Believe (Live),Jessika Kioja,55,510,450,42,352.3333333333333
33,Praise Medley,Joe Mettle,70,510,450,28,352.6666666666667
34,Yes And Amen,Tope Alabi,500,27,45,490,354.0
35,Too Much,Chioma Jesus,31,91,450,490,354.0
36,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,57,510,7,490,354.6666666666667
37,More Than Gold (feat. Mercy Chinwo),Judith Kanayo,5,510,60,490,355.0
38,Fragrance to Fire,Dunsin Oyekan,500,18,59,490,355.6666666666667
39,Fire (Amapiano Remix) ft. Okey Sokay,Dj Ernesty,48,87,450,490,358.3333333333333
40,Chinedum,Mercy Chinwo,500,50,36,490,358.6666666666667
41,Covenant Keeping God,Jimmy D Psalmist,43,510,39,490,360.6666666666667
42,My Father & My Friend,Elijah Oyelade,64,510,19,490,361.0
43,NO OTHER NAME,Frank Edwards,500,40,56,490,362.0
44,Hallelujah No Go Finish,Freke Umoh,26,510,63,490,363.0
45,Yesu Mo,Joe Mettle,500,88,450,52,363.3333333333333
46,In Your Hands,Moses Bliss,500,75,33,490,366.0
47,Amanamo ft. Mercy Chinwo,Chris Morgan,62,96,450,490,366.0
48,Na You Dey Reign,Mercy Chinwo,500,62,46,490,366.0
49,God of Vengeance,Minister GUC,500,79,32,490,367.0
50,Battles,Tim Godfrey,63,510,40,490,367.6666666666667
51,At All Cost,Dunsin Oyekan,500,70,43,490,367.6666666666667
52,Mighty God (feat. Nathaniel Bassey),Steve Crown,500,51,69,490,370.0
53,All Things Are Ready,Sinach,500,67,68,490,375.0
54,Mimo (feat. Sola Allyson),Sola Allyson,500,510,67,51,376.0
55,Under The Canopy,Frank Edwards,500,85,62,490,379.0
56,Akamdinelu,Mercy Chinwo,500,53,100,490,381.0
57,Awesome God,SINACH,500,510,80,59,383.0
58,Imela,Steve Crown,500,94,65,490,383.0
59,Yahweh,Ifeoma Okoli,78,510,84,490,387.3333333333333
60,Bless Me (feat. Ada Ehi),Mercy Masika,68,510,95,490,387.6666666666667
61,Eze Nara Ekele,Steve Crown,500,99,85,490,391.3333333333333
62,Never Go Down ft. Limoblaze,Ada Ehi,500,2,450,490,480.6666666666667
63,You I Live For,Moses Bliss,500,7,450,490,482.3333333333333
64,Thank You For My Life,Ada Ehi,500,8,450,490,482.6666666666667
65,More Than Enough,Ada Ehi,500,9,450,490,483.0
66,Hallelujah Challenge Praise Medley,Nathaniel Bassey,500,10,450,490,483.3333333333333
67,I Bow,Judikay,1,510,450,490,483.6666666666667
68,Good God,"Limoblaze, Ada Ehi",2,510,450,490,484.0
69,This Love,Chidinma,6,510,450,490,485.3333333333333
70,"Bigger Every Day ft. Festizie, Membrane, Uwa, Chris Heavens & Temple",Moses Bliss,500,17,450,490,485.6666666666667
71,Fourthman (feat. Chris Morgan),Caleb Audu,8,510,450,490,486.0
72,Mercy O ! (feat. Ini Adesanya & Pastor Sarah Omakwu),Wale Adenuga,10,510,450,490,486.6666666666667
73,Heaven,JayMikee,500,21,450,490,487.0
74,With My Hands,"Sinach, Micah Stampley",500,510,450,1,487.0
75,Ndenzel' Uncedo Hymn 377 - Live,Joyous Celebration,500,510,450,2,487.3333333333333
76,Yeshua Hamashiach,Nathaniel Bassey,500,22,450,490,487.3333333333333
77,Bulie,Preye Odede,500,510,450,3,487.6666666666667
78,Emmanuel,Nathaniel Bassey,500,23,450,490,487.6666666666667
79,Ebube Jehovah,Victor Ike,14,510,450,490,488.0
80,Your Name Is Jesus,Eljoe Onoja,15,510,450,490,488.3333333333333
81,The Great Shepherd,Dr Tumi,500,510,450,5,488.3333333333333
82,Make a Way - Live,Spirit Of Praise,500,510,450,6,488.6666666666667
83,Song of Victory,Esther Olugbemi,16,510,450,490,488.6666666666667
84,Spirit Chant,Victoria Orenze,500,26,450,490,488.6666666666667
85,The Lord Is My Sheperd,Kgotso,500,510,450,7,489.0
86,What A Mighty God ft. Nathaniel Bassey,Steve Crown,500,28,450,490,489.3333333333333
87,Days of Elijah - Live,Joyous Celebration,500,510,450,8,489.3333333333333
88,Your Love ft. Tope Alabi,Steve Crown,500,29,450,490,489.6666666666667
89,All The Glory,Steve Crown,500,30,450,490,490.0
90,In This Place,Minister GUC,21,510,450,490,490.3333333333333
91,Jesus Is Enough,Xolly Mncwango,500,510,450,11,490.3333333333333
92,Ekwueme ft. Osinachi Nwachukwu (ETTWP),Prospa Ochimana,500,31,450,490,490.3333333333333
93,Never Forget Your Love,Anny,22,510,450,490,490.6666666666667
94,CHIOMA (AFRO VIBE),Frank Edwards,500,32,450,490,490.6666666666667
95,Jehovah Is Your Name (Live),Ntokozo Mbambo,500,510,450,12,490.6666666666667
96,Capable God,Judikay,23,510,450,490,491.0
97,New Level,Ada Ehi,500,33,450,490,491.0
98,How to Love,Folabi Nuel,500,510,450,13,491.0
99,Hold on Me ft. Kirk Franklin & John P. Kee,Travis Greene,500,34,450,490,491.3333333333333
100,OMG (feat. JJ Hairston),Tim Godfrey,500,510,450,15,491.6666666666667
101,Finally,Ada Ehi,500,36,450,490,492.0
102,No Void,Onos,500,510,450,16,492.0
103,Faithful,Kingdmusic,500,510,450,17,492.3333333333333
104,All in All,CalledOut Music,28,510,450,490,492.6666666666667
105,Nyansabuakwa Nyame,Diana Hamilton,500,38,450,490,492.6666666666667
106,My Evidence ft. Frank Edwards,Testimony Jaga,500,39,450,490,493.0
107,I Need To Worship,Kgotso,500,510,450,19,493.0
108,Ti Oluwa ni ile,Ade Jones,500,510,450,20,493.3333333333333
109,Nothing Missing,Preye Odede,30,510,450,490,493.3333333333333
110,Taking Care,Moses Bliss,500,41,450,490,493.6666666666667
111,Itshokwadi - Live,Joyous Celebration,500,510,450,21,493.6666666666667
112,Big God,Joyous Celebration,500,510,450,22,494.0
113,Thank You,"Kobby Mantey, Joe Mettle",32,510,450,490,494.0
114,Lae La O Ma Bo Oluwa,Tope Alabi,500,42,450,490,494.0
115,Jesu Doh,"EBEN, Jahdiel",33,510,450,490,494.3333333333333
116,Easy to Love,Folu,500,510,450,23,494.3333333333333
117,Yah,Dunsin Oyekan,500,43,450,490,494.3333333333333
118,All Things New,Tee Worship,34,510,450,490,494.6666666666667
119,Atmosphere,Khaya Mthethwa,500,510,450,24,494.6666666666667
120,King of Glory (feat. Darlene Zschech),Sinach,35,510,450,490,495.0
121,Able,Benedict Ukpong,500,45,450,490,495.0
122,Lions,T Sharp,36,510,450,490,495.3333333333333
123,Olori Oko,Infinity,500,510,450,26,495.3333333333333
124,Oga Jesus,Daniel Mylez,37,510,450,490,495.6666666666667
125,Open Up,Dunsin Oyekan,500,510,450,27,495.6666666666667
126,Best of Me,Double F,38,510,450,490,496.0
127,My Beautifier,Chris Shalom,500,48,450,490,496.0
128,Awone (feat. Chris Morgan),naomee,39,510,450,490,496.3333333333333
129,Blessed,Akesse Brempong,500,510,450,29,496.3333333333333
130,Great & Mighty (Awimayehun),Segun John,40,510,450,490,496.6666666666667
131,Bow Down and Worship,Benjamin Dube,500,510,450,30,496.6666666666667
132,Most High - African Worship Medley/Live,Uche Agu,500,510,450,31,497.0
133,Cultural Praise Vol. 3,"KCee, Okwesili Eze Group",41,510,450,490,497.0
134,Strong Tower,Mercy Chinwo,500,510,450,32,497.3333333333333
135,Uzugcin'impilo Yam',Bucy Radebe,500,510,450,33,497.6666666666667
136,Amazing,Isyrose,44,510,450,490,498.0
137,Adam Nana,Joyce Blessing,500,54,450,490,498.0
138,iTestify,Ada Ehi,500,55,450,490,498.3333333333333
139,Most High,Frank Edwards,45,510,450,490,498.3333333333333
140,Udumo - Live at Pont De Val,Dr Tumi,500,510,450,36,498.6666666666667
141,You Fight for Me,Mahalia Buchanan,46,510,450,490,498.6666666666667
142,Covenant Keeper,David G,500,57,450,490,499.0
143,We Prevail (feat. Maranda Curtis),Sinach,47,510,450,490,499.0
144,Child of Heaven - Remake,Kingdmusic,500,510,450,37,499.0
145,Nazo bondela yo (Je te prie),ROSNY KAYIBA,500,58,450,490,499.3333333333333
146,Always Win (Solo Version),Sinach,500,510,450,38,499.3333333333333
147,Billion Words,"Limoblaze, Onos",49,510,450,490,499.6666666666667
148,Nkosi Ndithembe Wena,Joey Mofoleng,500,510,450,39,499.6666666666667
149,Powerful Glorious God,Steve Crown,500,60,450,490,500.0
150,Okay,Limoblaze,500,510,450,40,500.0
151,He's Alive,Rehmahz,500,510,450,41,500.3333333333333
152,Jesu Ore Otito,Tope Alabi,500,61,450,490,500.3333333333333
153,Ekele,Desai David,51,510,450,490,500.3333333333333
154,Oka\'ome,Chioma Jesus,52,510,450,490,500.6666666666667
155,Yibanathi,Vusi Nova,500,510,450,43,501.0
