rank,song,artist,Previous week,weeks on chart
1,Everything (Amen),Ada Ehi,1,10
2,Too Faithful,Moses Bliss,2,10
3,Congratulations (feat. Buchi),Ada Ehi,3,9
4,Worship Your Maker,Dunsin Oyekan,4,9
5,Omemma,Judikay,5,10
6,Excess Love (feat. J.J. Hairston & Youthful Praise) [Remix],Mercy Chinwo,7,9
7,Now,Ada Ehi,6,10
8,Nara (feat. Travis Greene),Tim Godfrey,8,9
9,Bigger Everyday,"Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple",9,9
10,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & O/B/A),Nathaniel Bassey,10,7
11,Yahweh Yahweh (feat. Sinach),Nathaniel Bassey,13,10
12,Jehovah Overdo,Chidinma,11,10
13,Hosanna (Live),Steve Crown,12,4
14,You are Yahweh,Steve Crown,15,9
15,Obinasom,Mercy Chinwo,14,9
16,Onyedikagi (feat. Glowrie),Mercy Chinwo,16,10
17,Way Maker,Sinach,17,9
18,Ye Obua Mi (My Help),Joe Mettle,18,10
19,Beautiful (feat. Nathaniel Bassey),Sinach,19,8
20,Faithful God (Live),Onos,20,9
21,Jesus (feat. Mercy Chinwo),Samsong,21,8
22,You are Great,Steve Crown,22,10
23,My Father My God,Jimmy D Psalmist,23,10
24,Fragrance to Fire,Dunsin Oyekan,24,10
25,More Than Gold,Judith Kanayo,25,10
26,Yes And Amen,Tope Alabi,27,10
27,At All Cost,Dunsin Oyekan,26,10
28,Hallelujah No Go Finish,Freke Umoh,28,10
29,Covenant Keeping God,Jimmy D Psalmist,29,10
30,Na You Dey Reign,Mercy Chinwo,31,8
31,You Are Worthy,Tope Alabi,30,9
32,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,32,8
33,All That Matters,Minister GUC,35,8
34,In Your Hands,Moses Bliss,34,6
35,NO OTHER NAME,Frank Edwards,37,5
36,Chinedum,Mercy Chinwo,33,10
37,Mighty God (feat. Nathaniel Bassey),Steve Crown,36,10
38,My Father & My Friend (feat. Stephanie Kome Ita),Elijah Oyelade,38,10
39,Imela,Steve Crown,39,7
40,Halleluyah,Tope Alabi,40,5
41,Battles,Tim Godfrey,41,9
42,Under The Canopy,Frank Edwards,43,10
43,All Things Are Ready,Sinach,42,10
44,Bless Me (feat. Ada Ehi),Mercy Masika,44,7
45,Never Go Down ft. Limoblaze,Ada Ehi,45,3
46,Adom Grace,Diana Hamilton,46,3
47,Hallelujah Challenge Praise Medley,Nathaniel Bassey,47,3
48,More Than Enough,Ada Ehi,48,3
49,Thank You For My Life,Ada Ehi,50,2
50,Jesus the Son of God,Chidinma,0,1
