Position,song,artist
1,Onyedikagi (feat. Glowrie),Mercy Chinwo
2,Beautiful (feat. Nathaniel Bassey),Sinach
3,Everything (Amen),Timi Dakolo
4,Everything,Ada Ehi
5,INDOMITABLE - JIMMY D PSALMIST (OFFICIAL VIDEO),Jimmy D Psalmist
6,Imole,Sola Allyson
7,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey
8,Worship Your Maker,Dunsin Oyekan
9,Worship Medley (feat. Toks Nnamani),Kaydee Numbere
10,Nothing Without You (feat. Kirk Whalum),Dr Tumi
11,Rejoice in the Lord Philippians 4:4,Victoria Orenze
12,One Moment,Freke Umoh
13,Magnify,Dare David
14,Obinasom,Mercy Chinwo
15,Jesus Jehovah,Lara George
16,Way Maker,Sinach
17,You are Yahweh,Steve Crown
18,We Raise a Sound (feat. 121selah),Nosa
19,My Father & My Friend,Elijah Oyelade
20,Too Faithful,Moses Bliss
21,Excess Love (Live) (feat. Mercy Chinwo),J.J. Hairston
22,Nara,Tim Godfrey
23,Jesus Never Fails,MaryJane Nweke
24,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & OBA),Nathaniel Bassey
25,Knowing You,Minister GUC
26,Unchangeable,Joe Praize
27,Congratulations (feat. Buchi Atuonwu),Ada Ehi
28,Take Over,1spirit & Theopilus Sunday
29,Adonai [Live],Elijah Oyelade
30,God of Vengeance,Minister GUC
31,In Your Hands,Moses Bliss
32,Jesus (feat. Mercy Chinwo),Samsong
33,WE WORSHIP YOU,Frank Edwards
34,Chinedum,Mercy Chinwo
35,Your Word Is Truth (Live),CHRIS SHALOM
36,Show Up,Ema Onyx
37,Covenant Keeping God,Jimmy D Psalmist
38,Battles,Tim Godfrey
39,Peace In the Storm,Sinach
40,Now,Ada Ehi
41,At All Cost,Dunsin Oyekan
42,You No Dey Use Me Play,Ema Onyx
43,Yes And Amen,Tope Alabi
44,Na You Dey Reign,Mercy Chinwo
45,You are Great,Steve Crown
46,Rid Me of Those Things,Elijah Oyelade
47,My Praise (feat. Solomon Lange),Norine Mindeyes
48,Great I Am,Dare David
49,Afarafa,Sola Allyson
50,Healing Stream,Evans Ighodalo
51,Omemma,Sinach
52,Omeriwo (feat. Henrisoul & Mercy Chinwo),Sammie Okposo
53,Yahweh Be Praised ( Live ),Emmasings
54,Akamdinelu,Mercy Chinwo
55,NO OTHER NAME,Frank Edwards
56,All That Matters,GUC
57,Halleluyah,Tope Alabi
58,Fragrance to Fire,Dunsin Oyekan
59,I Overcame,Ada Ehi
60,Under The Canopy,Frank Edwards
61,Hallelujah No Go Finish,Freke Umoh
62,Yours (Live),Minister GUC
63,Imela,Steve Crown
64,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple",Moses Bliss
65,Mimo,Sola Allyson
66,All Things Are Ready,Sinach
67,Mighty God (feat. Nathaniel Bassey),Steve Crown
68,Imole De,Dunsin Oyekan
69,IZURUKEME (more than enough),Promise Benson
70,Gratitude,Tope Alabi
71,Man of Galilee,Judikay
72,Angels Bow (feat. Phil Thompson),Steve Crown
73,Ta Lo Dabii Re,Tope Alabi
74,Same God,Segun John
75,Idinma,Judikay
76,How Great You Are (feat. Mercy Chinwo & Nosa),JOEPRAIZE
77,You Are Jehovah,Prospa Ochimana
78,Awesome God,SINACH
79,Yes Lord (Live),Judikay
80,Spirit Pray (Live),Elijah Oyelade
81,I Win,Samsong
82,Yahweh,David G
83,Eze Nara Ekele,Steve Crown
84,We Wait on You,Steve Crown
85,Ebe,Sola Allyson
86,Born to Worship,Prinz
87,Aye Ole,Infinity
88,Korede,Mike Abdul
89,Iyin,Sola Allyson
90,Iyin Ye O,Tope Alabi
91,E Dey Work,Samsong
92,Nobody Can,Sammie Okposo
93,Bless Me (feat. Ada Ehi),Mercy Masika
94,My Peace,Elijah Oyelade
95,Iro Halleluyah (feat. Tope Alabi),Mike Abdul
96,Jesu Mi Da (feat. Puffy Tee & Bidemi Olaoba),Mike Abdul
97,God Alone,Joe Praize
