rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Yahweh,Mercy Chinwo,1,1,1,1,1,1,1,1
2,Beautiful (feat. Nathaniel Bassey),Sinach,2,2,2,2,2,2,2,2
3,Everything (Amen),Timi Dakolo,3,3,3,3,3,3,3,3
4,Everything,Ada Ehi,4,4,4,4,4,4,4,4
5,Onyedikagi (feat. Glowrie),Mercy Chinwo,6,6,6,6,5,5,6,5.714285714
6,Imole,Sola Allyson,7,7,7,7,6,6,7,6.714285714
7,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,8,8,8,8,7,7,8,7.714285714
8,Worship Your Maker,Dunsin Oyekan,9,9,9,9,8,8,9,8.714285714
9,Worship Medley (feat. Toks Nnamani),Kaydee Numbere,10,10,10,10,9,9,10,9.714285714
10,Nothing Without You (feat. Kirk Whalum),Dr Tumi,11,11,11,11,10,10,11,10.71428571
11,Rejoice in the Lord Philippians 4:4,Victoria Orenze,12,12,12,12,11,11,12,11.71428571
12,One Moment,Freke Umoh,13,13,13,13,12,12,13,12.71428571
13,Magnify,Dare David,14,14,14,14,13,13,14,13.71428571
14,Obinasom,Mercy Chinwo,15,15,15,15,14,14,15,14.71428571
15,Jesus Jehovah,Lara George,16,16,16,16,15,15,16,15.71428571
16,Way Maker,Sinach,17,17,17,17,16,16,17,16.71428571
17,You are Yahweh,Steve Crown,18,18,18,18,17,17,18,17.71428571
18,We Raise a Sound (feat. 121selah),Nosa,19,19,19,19,18,18,19,18.71428571
19,My Father & My Friend,Elijah Oyelade,20,20,20,20,19,19,20,19.71428571
20,Too Faithful,Moses Bliss,21,21,21,21,20,20,21,20.71428571
21,Excess Love (Live) (feat. Mercy Chinwo),J.J. Hairston,22,22,22,22,21,21,22,21.71428571
22,Nara,Tim Godfrey,23,23,23,23,22,22,23,22.71428571
23,Jesus Never Fails,MaryJane Nweke,24,24,24,24,23,23,24,23.71428571
24,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & OBA),Nathaniel Bassey,25,25,25,25,24,24,25,24.71428571
25,Knowing You,Minister GUC,26,26,26,26,25,25,26,25.71428571
26,Love My Home,Sinach,27,27,27,27,26,26,27,26.71428571
27,Unchangeable,Joe Praize,28,28,28,28,27,27,28,27.71428571
28,Congratulations (feat. Buchi Atuonwu),Ada Ehi,29,29,29,29,28,28,29,28.71428571
29,Take Over,1spirit & Theopilus Sunday,30,30,30,30,29,29,30,29.71428571
30,You Are Worthy,Tope Alabi,31,31,31,31,30,30,31,30.71428571
31,Adonai [Live],Elijah Oyelade,32,32,32,32,31,31,32,31.71428571
32,God of Vengeance,Minister GUC,33,33,33,33,32,32,33,32.71428571
33,In Your Hands,Moses Bliss,34,34,34,34,33,33,34,33.71428571
34,Jesus (feat. Mercy Chinwo),Samsong,35,35,35,35,34,34,35,34.71428571
35,WE WORSHIP YOU,Frank Edwards,36,36,36,36,35,35,36,35.71428571
36,Chinedum,Mercy Chinwo,37,37,37,37,36,36,37,36.71428571
37,Your Word Is Truth (Live),CHRIS SHALOM,38,38,38,38,37,37,38,37.71428571
38,Show Up,Ema Onyx,39,39,39,39,38,38,39,38.71428571
39,Covenant Keeping God,Jimmy D Psalmist,40,40,40,40,39,39,40,39.71428571
40,Battles,Tim Godfrey,41,41,41,41,40,40,41,40.71428571
41,Peace In the Storm,Sinach,42,42,42,42,41,41,42,41.71428571
42,Now,Ada Ehi,43,43,43,43,42,42,43,42.71428571
43,At All Cost,Dunsin Oyekan,44,44,44,44,43,43,44,43.71428571
44,You No Dey Use Me Play,Ema Onyx,45,45,45,45,44,44,45,44.71428571
45,Yes And Amen,Tope Alabi,46,46,46,46,45,45,46,45.71428571
46,Na You Dey Reign,Mercy Chinwo,47,47,47,47,46,46,47,46.71428571
47,You are Great,Steve Crown,48,48,48,48,47,47,48,47.71428571
48,Rid Me of Those Things,Elijah Oyelade,49,49,49,49,48,48,49,48.71428571
49,My Praise (feat. Solomon Lange),Norine Mindeyes,50,50,50,50,49,49,50,49.71428571
50,Great I Am,Dare David,51,51,51,51,50,50,51,50.71428571
51,Healing Stream,Evans Ighodalo,53,53,53,53,52,52,53,52.71428571
52,Omemma,Sinach,54,54,54,54,53,53,54,53.71428571
53,Omeriwo (feat. Henrisoul & Mercy Chinwo),Sammie Okposo,55,55,55,55,54,54,55,54.71428571
54,Yahweh Be Praised ( Live ),Emmasings,56,56,56,56,55,55,56,55.71428571
55,NO OTHER NAME,Frank Edwards,57,57,57,57,56,56,57,56.71428571
56,All That Matters,GUC,58,58,58,58,57,57,58,57.71428571
57,Halleluyah,Tope Alabi,59,59,59,59,58,58,59,58.71428571
58,Fragrance to Fire,Dunsin Oyekan,60,60,60,60,59,59,60,59.71428571
59,More Than Gold (feat. Mercy Chinwo),Judikay,61,61,61,61,60,60,61,60.71428571
60,Under The Canopy,Frank Edwards,63,63,63,63,62,62,63,62.71428571
61,Hallelujah No Go Finish,Freke Umoh,64,64,64,64,63,63,64,63.71428571
62,Yours (Live),Minister GUC,65,65,65,65,64,64,65,64.71428571
63,Imela,Steve Crown,66,66,66,66,65,65,66,65.71428571
64,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple",Moses Bliss,67,67,67,67,66,66,67,66.71428571
65,Mimo,Sola Allyson,68,68,68,68,67,67,68,67.71428571
66,All Things Are Ready,Sinach,69,69,69,69,68,68,69,68.71428571
67,Mighty God (feat. Nathaniel Bassey),Steve Crown,70,70,70,70,69,69,70,69.71428571
68,Imole De,Dunsin Oyekan,71,71,71,71,70,70,71,70.71428571
69,IZURUKEME (more than enough),Promise Benson,72,72,72,72,71,71,72,71.71428571
70,Gratitude,Tope Alabi,73,73,73,73,72,72,73,72.71428571
71,Man of Galilee,Judikay,74,74,74,74,73,73,74,73.71428571
72,Angels Bow (feat. Phil Thompson),Steve Crown,75,75,75,75,74,74,75,74.71428571
73,On #Yes and Amen Album,Tope Alabi,76,76,76,76,75,75,76,75.71428571
74,Same God,Segun John,77,77,77,77,76,76,77,76.71428571
75,Idinma,Judikay,78,78,78,78,77,77,78,77.71428571
76,How Great You Are (feat. Mercy Chinwo & Nosa),JOEPRAIZE,79,79,79,79,78,78,79,78.71428571
77,You Are Jehovah,Prospa Ochimana,80,80,80,80,79,79,80,79.71428571
78,Awesome God,SINACH,81,81,81,81,80,80,81,80.71428571
79,Yes Lord (Live),Judikay,82,82,82,82,81,81,82,81.71428571
80,Spirit Pray (Live),Elijah Oyelade,83,83,83,83,82,82,83,82.71428571
81,I Win,Samsong,84,84,84,84,83,83,84,83.71428571
82,Yahweh,David G,85,85,85,85,84,84,85,84.71428571
83,Eze Nara Ekele,Steve Crown,86,86,86,86,85,85,86,85.71428571
84,We Wait on You,Steve Crown,87,87,87,87,86,86,87,86.71428571
85,Ebe,Sola Allyson,88,88,88,88,87,87,88,87.71428571
86,Born to Worship,Prinz,89,89,89,89,88,88,89,88.71428571
87,INDOMITABLE,Jimmy D Psalmist,5,5,5,5,301,301,5,89.57142857
88,Aye Ole,Infinity,90,90,90,90,89,89,90,89.71428571
89,Korede,Mike Abdul,91,91,91,91,90,90,91,90.71428571
90,Iyin,Sola Allyson,92,92,92,92,91,91,92,91.71428571
91,Iyin Ye O,Tope Alabi,93,93,93,93,92,92,93,92.71428571
92,E Dey Work,Samsong,94,94,94,94,93,93,94,93.71428571
93,Nobody Can,Sammie Okposo,95,95,95,95,94,94,95,94.71428571
94,Bless Me (feat. Ada Ehi),Mercy Masika,96,96,96,96,95,95,96,95.71428571
95,My Peace,Elijah Oyelade,97,97,97,97,96,96,97,96.71428571
96,Iro Halleluyah (feat. Tope Alabi),Mike Abdul,98,98,98,98,97,97,98,97.71428571
97,Jésù Mi Dà (feat. Puffy Tee & Bidemi Olaoba),Mike Abdul,99,99,99,99,98,98,99,98.71428571
98,ADA EHI,Ada Ehi,62,62,301,301,61,61,62,130
99,God Alone (Live),Joe Praize,100,100,100,100,301,301,100,157.4285714
100,SOLA ALLYSON,Sola Allyson,52,52,52,52,301,301,301,158.7142857
101,ÌRÌ,Sola Allyson,301,301,301,301,51,51,52,194
102,ADA EHI,Ada Ehi,301,301,62,62,301,301,301,232.7142857
103,GOD ALONE,Joe Praize,301,301,301,301,99,99,301,243.2857143
