Position,song,artist,album
1,Somebody (feat. Phyno),Olamide,UY Scuti
2,Euphoria,PsychoYP,Euphoria - Single
3,Coachella,"Sarkodie, Kwesi Arthur",Coachella - Single
4,I Want (feat. Mutoriah),Chris Kaiga,I Want (feat. Mutoriah) - Single
5,Makaveli,Kida Kudz,TOP MEMBA
6,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth)",Jay Bahd,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O\'Kenneth) - Single"
7,Ama,Medikal,Ama - Single
8,Feeling,"LADIPOE, Buju",Feeling - Single
9,Married to the Game,TenTik,Married to the Game - Single
10,First Sermon,Black Sherif,First Sermon - Single
11,Best I Ever Had,Nasty C,Best I Ever Had - Single
12,Jailer (feat. Jaywillz),Olamide,UY Scuti
13,Ye X 4,"Blxckie, Nasty C",B4now
14,Heartbreaker (feat. Nasty C),Blaqbonez,Sex Over Love
15,Network,Twist,Network - Single
16,Sika (feat. Sarkodie & Kweku Flick) [Remix],Sista Afia,Sika (Remix) [feat. Sarkodie & Kweku Flick] - Single
17,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE) - Single
18,History,"Cheque, Fireboy DML",History - Single
19,RBG,Elzo Jamdong,RBG - Single
20,Nikwa Ni Shoke,Khaligraph Jones,Nikwa Ni Shoke - Single
21,eKAPA,"Mark Akol, Sipho the Gift",eKAPA - Single
22,Skrrr! (feat. Zilla Oaks),SLIMN Major,Synergy
23,Rock,Olamide,UY Scuti
24,Breathe (feat. Chike),A-Q,Golden
25,Safara,Papeush the Ghost,Safara - Single
26,Bruxos,Pongo,Bruxos - Single
27,LovLov,Fik Fameica,LovLov - Single
28,Ere Beketemaw,Lij Michael,Atgebam Alugn
29,Mask Off (feat. KobbyRockz),Jay Erl,Mask Off (feat. KobbyRockz) - Single
30,"This One Loud Oh! (feat. Dremo, The Flowolf & Ike Exclusive)",AO - MACHINE,"This One Loud Oh! (feat. Ike Exclusive, The Flowolf & Dremo) - Single"
31,Dawn,Kay-T,Dawn - Single
32,"On Fire (feat. 4eb, Aye Jones & Kenny wilde)",urbanroll,"On Fire (feat. 4eb, Aye Jones & Kenny wilde) - Single"
33,Talk,Dreylo,Mixed Feelings - EP
34,Mr Talk and Do (feat. Odumodublvck & XL SPIFF),Reeplay,Mr Talk and Do (feat. Odumodublvck & XL SPIFF) - Single
35,Understanding Love (Extended),"DarkoVibes, Runtown",Understanding Love (Extended) - Single
36,Nomakanjani,Costa Titch,Nomakanjani - Single
37,Big Toy,"Jojo Sk, Elias Tag\'em",HOLISTIQUE LOVER
38,Colonization,NSG,Colonization - Single
39,Deep In Da Streets,TNT Kenya,Deep In Da Streets - Single
40,Corns (Freestyle),"BURUKLYN BOYZ, AJAY",Corns (Freestyle) - Single
41,Winning (feat. VIC MENSA),Kwesi Arthur,Winning (feat. VIC MENSA) - Single
42,Long Way,Emtee,LOGAN
43,Feelin U (feat. Mi Casa & Blxckie),Gigi Lamayne,Mermaids and Stuff
44,Who Be This Guy (feat. Falz & M.I Abaga),Kheengz,Who Be This Guy (feat. Falz & M.I Abaga) - Single
45,Yarn Dust,Delis,Yarn Dust - Single
46,Heavy On the Game,Hugo P,Resurrection
47,Fresh (feat. Samba Peuzzi),Iss 814,Fresh - Single
48,All My Life (feat. Oxlade),M.I Abaga,All My Life (feat. Oxlade) - Single
49,Magun 2.0 (feat. TROD & Kabex),OG Hyper,Magun 2.0 (feat. TROD & Kabex) - Single
50,Mehia Sika (feat. Dead Peepol),ZACK GH,Mehia Sika (feat. Dead Peepol) - Single
51,Batman Remix (feat. Miles Caliph),Tobii WTW,Batman Remix (feat. Miles Caliph) - Single
52,LA MINE ( Phase Test II ),Joe Kingston,LA MINE (Phase Test II) - Single
53,On connait \xc3\xa7a,Black K,On connait \xc3\xa7a - Single
54,"Ka$h App (feat. Denz\'l, Kiienka, Begho & Bolaryn)",Beezyx,"Ka$h App (feat. Denz\'l, Kiienka, Begho & Bolaryn) - Single"
55,Chris (feat. Yogi schools),Shakur,Chris (feat. Yogi schools) - Single
56,We Go Better Pass Yesterday,Ennwai,We Go Better Pass Yesterday - Single
57,Hut,Blxckie,B4now
58,Amadlozi,Mondo Dusk,Amadlozi - Single
59,The Warm Up,Bolu,The Warm Up - Single
60,Sahwira,Holy Ten,Risky Life
61,No Fugazy,Sarkodie,No Fugazy - Single
62,Bruddah,Darrell Cole,Bruddah - Single
63,I Be Your Mate (feat. Magnito),L Easy,The Maturation
64,Confusion,M.anifest,Confusion - Single
65,Bible N Rifle,Biy Martins,Bible N Rifle - Single
66,What You Telling Me,Zilla Oaks,No Zzzz 2
67,Trap Sequel (feat. Enkay B),All Gees,Trap Sequel (feat. Enkay B) - Single
68,Sinner (feat. Kwaku DMC & LP2Loose),"Smallgod, Headie One, O\'Kenneth",Sinner (feat. Kwaku DMC & LP2Loose) - Single
69,Loving You (feat. Peruzzi),D-Black,Loyalty
70,Banga,Yung Pabi,Banga - Single
71,Asampepe,"Wale Turner, Idowest",Asampepe - Single
72,Iprc,Didi B,Iprc - Single
73,Run The Cheque,D-Truce,Smoke Break
74,Lady with a Choppa,"M8alla, Kelly Kale",Lady with a Choppa - Single
75,Body On Me,Layzee Ella,Body On Me - Single
76,Guarded Up,"Straffitti, GCL3F",Endless - EP
77,Hmm (feat. Blaqbonez & Bad Boy Timz) [Remix],G4 Boyz,Hmm [Remix] [Remix] [feat. Blaqbonez & Bad Boy Timz] - Single
78,Gas,Blxckie,B4now
79,E Go Be,Chuks Profound,Before We Proceed - EP
80,Lil N****s (feat. Jay Money & Keezy),Kwaku DMC,RoadToTrApHouse3
81,About Money,SunkkeySnoop,About Money - Single
82,Forward,M3NSA,Forward - Single
83,Ipromise (feat. Tulenkey & Amg Armani),Eddie Khae,Ipromise (feat. Tulenkey & Amg Armani) - Single
84,Faut pas me d\xc3\xa9ranger,"Fanicko, Suspect 95",Faut pas me d\xc3\xa9ranger - Single
85,Se\xc3\xb1orita (feat. RAYVANNY),Ma\xc3\xaetre Gims,Les vestiges du fleau
86,Bugia (feat. Cleo Ice Queen) [Remix],"Tallie, Ssaru, Pryse",Bugia (feat. Cleo Ice Queen) [Remix] - Single
87,W.A.G (feat. Sarkodie & Youssoupha),Rouge,W.A.G (feat. Sarkodie & Youssoupha) - Single
88,Musazvituma,Holy Ten,Risky Life
89,THE 5 YEAR PLAN (feat. Wordz),A-Reece,"Today\'s Tragedy, Tomorrow\'s Memory: the mixtape"
90,Mona Lisa (feat. JSX),Booba,ULTRA
91,Mood (feat. Sean Lifer),Yaw Tog,TIME
