Position,song,artist
1,Diamonds,"Killertunes,  PsychoYP and  Lyta"
2,La Vida,M.anifest
3,Big up Yo Self (feat. PsychoYP),Laime
4,Whipped (feat. DarkoVibes),Sarkodie
5,Babimo (feat. Wande Coal),Gustavo Africano
6,Ofr3 (feat. Kawabanga & Kwaku DMC),$pacely
7,Gimme Racks!,M8alla and  Ducee' droptop
8,"No Follow Me Talk (feat. Odumodublvck, Mojo & Hotyce) [Remix]",Dians
9,Spotlight (feat. El Choco),Darrell Cole
10,Woah,TOBi and  Jazz Cartier
11,ridiculouS,"A-Reece,  Jay Jody and  BLUE TAPE"
12,VOD Gang (feat. Edoh YAT),Dar Rich
13,The Truth (feat. M.anifest),Larruso
14,Ctrl Z,Miles Caliph
15,"Meye Gee (feat. Fameye, Quamina Mp & Tulenkey)",Kofi Jamar
16,Eff All Day (feat. Phyno),Timaya
17,Loruko Jesu,D.S.6
18,Save the World (feat. OGSNYPZ),Nakie4000
19,Lazy Man (feat. C.P & A-MVN),Nene
20,Amnesia,Zamir
21,Ntoni Na (feat. Blxckie & 25K),Yanga Chief
22,Craze,Krixx Kroxx
23,Running (feat. Bergdorfbadman & KXNGWUAP),Thirstyworldwide and  Straffitti
24,Limbo (Pretty Little Thing),Xplosive DJ and  Maglera Doe Boy
25,Sama Ko Kassa,Mamaki Boys
26,Validxc3xa9 II,"Samxe2x80x99s,  Bosh and  Gazo"
27,Tryna,Kiiing Leo
28,Ak Fi Rew Mi Tolou,Akhlou Brick
29,No Trouble,Yaa Pono
30,Eze Ego (with Kida Kudz),Keyz Emmanuel
31,Soukxc3xa9 Pou Siki,Stelair and  Oyoki Onanayo
32,Pilka Pilka,Steph Kapela
33,Stop Acting,Morph
34,Dance (feat. Droxx),Lokii840
35,+234 (Daily Paper),PsychoYP
36,I'm Not Sorry,Rosa Ree
37,"Tukye (feat. Braa Benk, Reggie, Jay Bahd & O'Kenneth)",Cabum
38,Yabo?! (feat. YoungstaCPT),Bravo Le Roux
39,My Crew (feat. Lil5ive),Kiiwii
40,Ichwane Lenyoka,Big Zulu
41,BENGA (feat. Huguo Boss & Oyoki Onanayo),Fior 2 Bior
42,Fear (feat. DE7),Eldeezy
43,"Calling (feat. O'Kenneth, Jay Bahd, Sean Lifer, Reggie & City Boy)",Kawabanga
44,Panda Shuka,Wendy Kay
45,Konji,Aiinem Myke
46,Second Sermon,Black Sherif
47,Mozart Capitaine Jackson (Episode 1),Leto
48,16 (feat. Unity),Kavali King
49,Brag,DETO BLACK
50,Yafun Yafun,Ajebo Hustlers
51,All Love (feat. Blvckxng Beekay),Kwaku Bota
52,Petite,NSG
53,Purple Rain (feat. PsychoYP),Laime
54,Better Days (feat. DTS),Bless Clymax
55,Come With Me,Sam Asari
56,Heathrow,Droxx and  Mo'gunz
57,Somebody (feat. Phyno),Olamide
58,Do or Die,Kweku Smoke
59,Salute (feat. Rissy God),Wavedave
60,mONEY,Lanray X and  Rotex
61,Panana,Sam Asari
62,Chini Chini,Matata and  Mejja
63,On Me (feat. DwillsHarmony & PsychoYP),Beatsbykarma
64,Ain't No Regular,Lucretius and  Tumi Tladi
65,Banana (feat. Quamina Mp),YAW BERK
66,xc3x87a Connaxc3xaet Pas (feat. Huguo Boss),MC One
67,Baby Stuff (feat. Kayode),Tobii WTW and  Kadens
68,That Guy,T.O.D SZN and  EESKAY
69,"My Touch (feat. Medikal, D-Black & Kwesi Arthur) [Remix]","Eugy,  Chop Daily and  Falz"
70,Sirudi Home (feat. BREEDER LW & NDOVU KUU) [Refix],Maandy
71,Tycoon (feat. Reminisce & MOJO),Show Dem Camp
72,Bobby (feat. Timmy Blanco),Silverstone Barz
73,Racks (feat. Pukido),F$rgo
74,Money,BADYOUTH
75,Easy Come (feat. Okese1),$pacely
76,GET A GRIP,DEELA
77,Wonder (feat. Patoranking),Dremo
78,MKD,Skillz 8Figure
79,Gbese,Ogranya and  Show Dem Camp
80,Yawa,Baba Kuboye
81,OKAY,Franglish and  Tyga
82,Iprc,Didi B
83,Akwasi,Akan
84,Pololo (feat. Tiakola),MHD
85,Seke (feat. TiwaDara),Vader the Wildcard
86,SHARK (feat. Teios),Glorich
87,Laye (feat. Zlatan),Bennylee
88,Mbougeul,Shampagne Baby
89,6 Feet Deep (feat. Alpha P & PatricKxxLee),PsychoYP
90,OMOKOMO,Baddy Oosha
91,Eyes But No Eyes,M3NSA
92,See You Next Week,Dremo
93,Badder Than Bad (feat. Fame Holiday),Jbwai
94,If Its On (feat. Boutross),Silverstone Barz
95,Aketesia (feat. Laycon & Medikal),Kweku Darlington
96,T-R (feat. MC Azas),Raykaa
97,GENG (feat. windy citi),Lasko Blark
98,Match Esili (Freestyle),Crystal
99,Vibration,Sarkodie and  VIC MENSA
