Position,song,artist
1,Second Sermon,Black Sherif
2,Yafun Yafun,Ajebo Hustlers
3,Stress Away,"W1zzy, PVPI STRZ"
4,T.Y.B,"Del B, Phyno, Mufasa"
5,Kilode (Remix) [feat. Geezyshore],Tobii WTW
6,Ofr3 (feat. Kawabanga & Kwaku DMC),$pacely
7,Pololo (feat. Tiakola),MHD
8,Tycoon (feat. Reminisce & MOJO),Show Dem Camp
9,Omo X 100 (feat. Olamide),Reminisce
10,Cakes (feat. PatricKxxLee & KashCPT),Straffitti
11,Jack,Nasty C
12,Vibration,"Sarkodie, VIC MENSA"
13,Survive (feat. Olamide),Jaido P
14,Question For the Gods (feat. M.anifest),M3NSA
15,Fiesta (feat. Naira Marley),MHD
16,Forever (feat. Riky Rick),Frank Casino
17,Align (feat. LADIPOE),Show Dem Camp
18,Uthini (feat. Blxckie & Phantom Steeze),Costa Titch
19,OKAY,"Franglish, Tyga"
20,Loyal,Acebergtm
21,Somebody (feat. Phyno),Olamide
22,Feeling,"LADIPOE, Buju"
23,Ye X 4,"Blxckie, Nasty C"
24,HIGH (feat. AratheJay),Korshi T
25,ROCKETS,Kashcpt
26,Body on Me,Sudxn
27,Zaza,Brian Simba
28,Stoves,Wale the Sage
29,We Don't Play,Givtti
30,"Top (feat. Ambulanceee, IzzPurp & Wheaguy)",Danagog
31,Makola Dreams (feat. M.anifest),Omar Sterling
32,Decisions (feat. Sean Lifer),Jay Bahd
33,"Akata Gang Gang (feat. O'Kenneth, Pappy Kojo, Skyface SDW, Kawabanga & Jay Bahd)",Reggie
34,Missing You,Dead Peepol
35,Death Sentence,Amerado
36,PUBLIC ENEMY (Kwesi Arthur Remix),INFAMOUSIZAK
37,Hold On,"Oluwapizzle, Emaxee"
38,Ayo (feat. Blaise B),Mink's
39,Bigger Picture,Thutmose
40,Euphoria,PsychoYP
41,"Dkm (Ma Pa Mi) [feat. PsychoYP, Eeskay & Magna.]",Loti
42,Korope,"Lil Kesh, Naira Marley"
43,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie
44,50 Miss Calls (Drill Mix),"Tony Ross, JoeBoy, Layzee Ella"
45,Yaya Tourxc3xa9,Yung Mavu
46,RIP OLD DAD,The.wav
47,Whorephobia (feat. Aux Africa),SGaWD
48,Confirm Me,Durello
49,Hustlers Prayer (feat. A-Reece),25K
50,One Time (feat. Lioness),Willy Monfret
51,I Want (feat. Mutoriah),Chris Kaiga
52,Hustle,Nami
53,What If I Stumble,Snatcha
54,Makaveli,Kida Kudz
55,For Me (feat. deeachi),The Beat-Oven
56,No Juju (feat. Ecibu),Khofi Images
57,Heartbreaker (feat. Nasty C),Blaqbonez
58,Jailer (feat. Jaywillz),Olamide
59,Stay With Me,Layzee Ella
60,Gidi Flex,KingJayy
61,Eyes off Me,Stella Mwangi
62,Coachella,"Sarkodie, Kwesi Arthur"
63,My Crew (feat. Lil5ive),Kiiwii
64,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)",Jay Bahd
65,Ama,Medikal
66,Married to the Game,TenTik
67,First Sermon,Black Sherif
68,Network,Twist
69,Sika (feat. Sarkodie & Kweku Flick) [Remix],Sista Afia
70,NDOVU NI KUU (feat. KHALIGRAPH JONES & BOUTROSS MUNENE),arcane krispah
71,History,"Cheque, Fireboy DML"
72,RBG,Elzo Jamdong
73,Nikwa Ni Shoke,Khaligraph Jones
74,eKAPA,"Mark Akol, Sipho the Gift"
75,Skrrr! (feat. Zilla Oaks),SLIMN Major
76,Rock,Olamide
77,Breathe (feat. Chike),A-Q
78,In the Night (feat. Zap),Mazi Codex
79,Safara,Papeush the Ghost
80,Bruxos,Pongo
81,LovLov,Fik Fameica
82,Ere Beketemaw,Lij Michael
83,Mask Off (feat. KobbyRockz),Jay Erl
84,"This One Loud Oh! (feat. Dremo, The Flowolf & Ike Exclusive)",AO - MACHINE
85,Dawn,Kay-T
86,Talk,Dreylo
87,Understanding Love (Extended),"DarkoVibes, Runtown"
88,Deep In Da Streets,TNT Kenya
89,Winning (feat. VIC MENSA),Kwesi Arthur
90,Long Way,Emtee
91,Yarn Dust,Delis
92,Heavy On the Game,Hugo P
93,Fresh (feat. Samba Peuzzi),Iss 814
94,All My Life (feat. Oxlade),M.I Abaga
95,Sahwira,Holy Ten
96,Loving You (feat. Peruzzi),D-Black
97,W.A.G (feat. Sarkodie & Youssoupha),Rouge
98,THE 5 YEAR PLAN (feat. Wordz),A-Reece
99,Mood (feat. Sean Lifer),Yaw Tog
100,Laqhasha (feat. Lolli Native & Flash Ikumkani),Emtee
