rank,song,artist,R1,R2,R3,R4,R5,RT
1,No Fugazy,Sarkodie,1,2,2,2,2,1.8
2,Crown Of Clay (feat. Pheelz),Vector,2,3,3,3,3,2.8
3,No Fear (feat. Vic Mensa & Moliy),M.anifest,3,4,4,4,4,3.8
4,KOLO (feat. Oxlade),Ice Prince,4,5,5,5,5,4.8
5,Balance (feat. Joey B & Nshonamuzik),Pappy Kojo featuring Joey B and Nshonamuzik,5,6,6,6,6,5.8
6,Every Weekend,DJ Tunez & J. Anthoni,6,7,7,7,7,6.8
7,Guala (feat. Maison 2500 & New World Ray),Teezee,7,8,8,8,8,7.8
8,I Be (feat. Manu Crooks),Pappy Kojo featuring Manu Crooks,8,9,9,9,9,8.8
9,Fire In The Ghetto (feat. Troublle),Kwesta featuring Troublle,9,10,10,10,10,9.8
10,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",10,11,11,11,11,10.8
11,Uomo (feat. Sarkodie & KiddBlack),Pappy Kojo featuring Sarkodie and KiddBlack,12,13,13,13,14,13.0
12,Odeshi,Kwvdwo Pvnch,13,14,14,14,15,14.0
13,Euphoria,PsychoYP,66,1,1,1,1,14.0
14,"Loose Guard (I See, I Saw)",Legendary Styles & Falz,14,15,15,15,16,15.0
15,Squander (feat. Niniola),Falz,15,16,16,16,17,16.0
16,Toxic (feat. Adekunle Gold),Reminisce,16,17,17,17,18,17.0
17,Attention (feat. Oxlade & Merr,ynn) - PsychoYP,17,18,18,18,19,18.0
18,African Knockout,AFRICAN KNOCKOUT x M.I Abaga,18,19,19,19,20,19.0
19,Oulalalah,Samba Peuzzi,19,20,20,20,21,20.0
20,Action Figure,Gemini Major and AKA,20,21,21,21,22,21.0
21,"Condemn (feat. City Boy, O'Kenneth, reggie & Kwaku DMC)",Jay Bahd,21,22,22,22,23,22.0
22,Could Have Been Worse,CDQ,22,23,23,23,24,23.0
23,Intense,"Blackway, Busta Rhymes",23,24,24,24,25,24.0
24,Roll Call,$pacely,24,25,25,25,26,25.0
25,Lekki Epe (feat. Vector),Maxino feat. Vector,25,26,26,26,27,26.0
26,Where You Dey,"Kokopee, Erigga",26,27,27,27,28,27.0
27,EVERYWHERE (feat. Buju),Straffitti featuring Buju,27,28,28,28,29,28.0
28,Don't Worry (feat. Emtee),Just G featuring Emtee,28,29,29,29,30,29.0
29,Flex and Ball (feat. Azanti & Lyta),PsychoYP,29,30,30,30,31,30.0
30,On The Streets (feat. Kwesi Arthur),Kweku Smoke featuring Kwesi Arthur,30,31,31,31,32,31.0
31,Three,Kweku Lee,31,32,32,32,33,32.0
32,"1 Sima (feat. Kojo Trip, The Township, Hyndu, Nemsis Loso & Yaw Lucaz)",Pappy Kojo,32,33,33,33,34,33.0
33,Bourdillon Love (feat. Three),Studio Magic x Fresh L,33,34,34,34,35,34.0
34,Drive By (Fivio Freestyle),So$aVelli,34,35,35,35,36,35.0
35,Dawgi (feat. Sarkodie),Amerado,35,36,36,36,37,36.0
36,Go Down,Bucky Raw,36,37,37,37,38,37.0
37,Molade (feat. Dwillsharmony & Ycee),Beatsbykarma,37,38,38,38,39,38.0
38,We Move (Freestyle),Stonebwoy,38,39,39,39,40,39.0
39,Like Dat (feat. PsychoYP),Skillz 8Figure,39,40,40,40,41,40.0
40,Use to this,Marvy feat. Psycho YP,40,41,41,41,42,41.0
41,TikTok Girl (feat. Kofi Mole),Kwasi Yesu,41,42,42,42,43,42.0
42,Justice,KayMad,42,43,43,43,44,43.0
43,All I Need,Yung6ix,43,44,44,44,45,44.0
44,1. Confusion,M.anifest,44,45,45,45,46,45.0
45,Heartbreaker (feat. Nasty C),Blaqbonez,45,46,46,46,47,46.0
46,"Zombie (feat. PsychoYP, Laycon & ",) - Blaqbonez,46,47,47,47,48,47.0
47,Run The Cheque,D-Truce,47,48,48,48,49,48.0
48,"Kubo (feat. K.O, Focalistic & Bassie)","Kwesta featuring K.O, Focalistic and Bassie",48,49,49,49,50,49.0
49,Snakes In The Crib (feat. Tshego AMG),Kwesta featuring Tshego AMG,49,50,50,50,51,50.0
50,Foreign (feat. Trigga the 24),ameen,50,51,51,51,52,51.0
51,Text My Ex (feat. Bryan The Mensah),D-Truce,51,52,52,52,53,52.0
52,BROWN (feat. Una Rams),King Lutendo featuring Una Rams,52,53,53,53,54,53.0
53,"Ghost (feat. Miles Caliph, Kadens & Tobii WTW)",Stringz Beatz,53,54,54,54,55,54.0
54,CHANGE,"Lord Edward and Boy Nino feat. Murphy Cubic, Tyrone Jones",54,55,55,55,56,55.0
55,THOHO KHULU PART 3,King Lutendo,55,56,56,56,57,56.0
56,HEATHROW,Droxx & Mo'gunz,56,57,57,57,58,57.0
