rank,song,artist,R1,R2,RT
1,Euphoria,PsychoYP,1,1,1.0
2,No Fugazy,Sarkodie,2,2,2.0
3,Crown Of Clay (feat. Pheelz),Vector,3,3,3.0
4,No Fear (feat. Vic Mensa & Moliy),M.anifest,4,4,4.0
5,KOLO (feat. Oxlade),Ice Prince,5,5,5.0
6,Balance (feat. Joey B & Nshonamuzik),Pappy Kojo featuring Joey B and Nshonamuzik,6,6,6.0
7,Every Weekend,DJ Tunez & J. Anthoni,7,7,7.0
8,Guala (feat. Maison 2500 & New World Ray),Teezee,8,8,8.0
9,I Be (feat. Manu Crooks),Pappy Kojo featuring Manu Crooks,9,9,9.0
10,Fire In The Ghetto (feat. Troublle),Kwesta featuring Troublle,10,10,10.0
11,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",11,11,11.0
12,Monster,Vnero feat. Tonez,12,12,12.0
13,Rappers (feat. Dremo),Dreylo feat. Dremo,13,13,13.0
14,Uomo (feat. Sarkodie & KiddBlack),Pappy Kojo featuring Sarkodie and KiddBlack,14,14,14.0
15,Odeshi,Kwvdwo Pvnch,15,15,15.0
16,"Loose Guard (I See, I Saw)",Legendary Styles & Falz,16,16,16.0
17,Squander (feat. Niniola),Falz,17,17,17.0
18,Toxic (feat. Adekunle Gold),Reminisce,18,18,18.0
19,Attention (feat. Oxlade & Merr,ynn) - PsychoYP,19,19,19.0
20,African Knockout,AFRICAN KNOCKOUT x M.I Abaga,20,20,20.0
21,Oulalalah,Samba Peuzzi,21,21,21.0
22,Action Figure,Gemini Major and AKA,22,22,22.0
23,"Condemn (feat. City Boy, O'Kenneth, reggie & Kwaku DMC)",Jay Bahd,23,23,23.0
24,Could Have Been Worse,CDQ,24,24,24.0
25,Intense,"Blackway, Busta Rhymes",25,25,25.0
26,Roll Call,$pacely,26,26,26.0
27,Lekki Epe (feat. Vector),Maxino feat. Vector,27,27,27.0
28,Where You Dey,"Kokopee, Erigga",28,28,28.0
29,EVERYWHERE (feat. Buju),Straffitti featuring Buju,29,29,29.0
30,Don't Worry (feat. Emtee),Just G featuring Emtee,30,30,30.0
31,Flex and Ball (feat. Azanti & Lyta),PsychoYP,31,31,31.0
32,On The Streets (feat. Kwesi Arthur),Kweku Smoke featuring Kwesi Arthur,32,32,32.0
33,Three,Kweku Lee,33,33,33.0
34,"1 Sima (feat. Kojo Trip, The Township, Hyndu, Nemsis Loso & Yaw Lucaz)",Pappy Kojo,34,34,34.0
35,Bourdillon Love (feat. Three),Studio Magic x Fresh L,35,35,35.0
36,Drive By (Fivio Freestyle),So$aVelli,36,36,36.0
37,Dawgi (feat. Sarkodie),Amerado,37,37,37.0
38,Go Down,Bucky Raw,38,38,38.0
39,Molade (feat. Dwillsharmony & Ycee),Beatsbykarma,39,39,39.0
40,We Move (Freestyle),Stonebwoy,40,40,40.0
41,Like Dat (feat. PsychoYP),Skillz 8Figure,41,41,41.0
42,Use to this,Marvy feat. Psycho YP,42,42,42.0
43,TikTok Girl (feat. Kofi Mole),Kwasi Yesu,43,43,43.0
44,Justice,KayMad,44,44,44.0
45,All I Need,Yung6ix,45,45,45.0
46,1. Confusion,M.anifest,46,46,46.0
47,Heartbreaker (feat. Nasty C),Blaqbonez,47,47,47.0
48,"Zombie (feat. PsychoYP, Laycon & ",) - Blaqbonez,48,48,48.0
49,Run The Cheque,D-Truce,49,49,49.0
50,"Kubo (feat. K.O, Focalistic & Bassie)","Kwesta featuring K.O, Focalistic and Bassie",50,50,50.0
51,Snakes In The Crib (feat. Tshego AMG),Kwesta featuring Tshego AMG,51,51,51.0
52,Foreign (feat. Trigga the 24),ameen,52,52,52.0
53,Text My Ex (feat. Bryan The Mensah),D-Truce,53,53,53.0
54,BROWN (feat. Una Rams),King Lutendo featuring Una Rams,54,54,54.0
55,"Ghost (feat. Miles Caliph, Kadens & Tobii WTW)",Stringz Beatz,55,55,55.0
56,CHANGE,"Lord Edward and Boy Nino feat. Murphy Cubic, Tyrone Jones",56,56,56.0
57,THOHO KHULU PART 3,King Lutendo,57,57,57.0
58,HEATHROW,Droxx & Mo'gunz,58,58,58.0
59,waterbody,mwami,59,59,59.0
60,Mehia Sika (feat. Dead Peepol),ZACK GH,60,60,60.0
61,Who Be This Guy (feat. FALZ & M.I ABAGA),Kheengz,61,61,61.0
62,Cassette (feat. King Promise),Nanky,62,62,62.0
63,4 You,Yung D3mz,63,63,63.0
64,Goboyi (feat. Oladips & Tcash_omowest),"Odumodublvck, Reeplay",64,64,64.0
65,Check Yourself,Kaptain,65,65,65.0
66,OPS,KashCPT,66,66,66.0
67,On the Move (feat. Dead Peepol),RichMiller,67,67,67.0
68,Omo X 100 (feat. Olamide),Reminisce,68,68,68.0
69,Sinner (feat. Kwaku DMC & LP2Loose),"Smallgod, Headie One, O'Kenneth",69,69,69.0
70,My Crew (feat. Lil5ive),Kiiwii,70,70,70.0
71,Rise Of The Underdogs 2 (feat. Tomi Thomas),Show Dem Camp featuring Tomi Thomas,71,71,71.0
72,First Sermon,Black Sherif,72,72,72.0
73,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)",Jay Bahd,73,73,73.0
74,KSM,Naza,201,74,137.5
