rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Feel,Mrolaide ,2,1,2,1,1,1,1,1.2857142857142858
2,Omo X 100 ft. Olamide,Reminisce,1,2,1,2,2,3,3,2.0
3,Check Yourself,Kaptain,5,4,3,3,3,2,2,3.142857142857143
4,Dimension ft. Skepta & Rema,Jae5,3,5,4,4,4,4,5,4.142857142857143
5,Koleyewon,Naira Marley,4,3,5,5,5,5,4,4.428571428571429
6,Many Nites,Erigga,6,6,6,6,6,6,6,6.0
7,Coachella ft. Kwesi Arthur,Sarkodie,7,7,8,7,7,7,7,7.142857142857143
8,Dick Appointment,Erigga,8,8,7,8,8,8,8,7.857142857142857
9,Wahala Dey,Erigga,9,9,9,10,10,11,10,9.714285714285714
10,Early Momo ft. Good Girl LA,Vector,10,10,11,12,9,9,9,10.0
11,LV N ATTN feat. Wizkid ft. Sarz & Wizkid,Lojay,13,12,10,9,14,15,12,12.142857142857142
12,Late At Night,Roddy Ricch,12,13,15,14,11,10,14,12.714285714285714
13,All My Life (feat. Oxlade),M.I Abaga,11,14,13,15,13,14,15,13.571428571428571
14,For the Money ft. Peruzzi,Phyno,15,15,14,13,15,13,11,13.714285714285714
15,Ego ft. Jeriq,Dremo,14,11,12,16,17,17,13,14.285714285714286
16,I No Wear Pant,Erigga,16,16,16,17,16,16,16,16.142857142857142
17,Voice of the Heroes ft. Lil Durk,LiL Baby,18,18,17,22,18,18,18,18.428571428571427
18,The End,Erigga,19,20,18,20,19,20,20,19.428571428571427
19,East To West ft. Jeriq,Dremo,17,17,20,25,20,24,21,20.571428571428573
20,Dior,Pop Smoke,20,21,22,24,23,22,22,22.0
21,Stay High,Juice WRLD,22,22,25,27,25,23,24,24.0
22,Dont Die Alive,Erigga,23,23,29,29,26,28,25,26.142857142857142
23,Mood Swings ft. Lil Tjay,Pop Smoke,27,26,28,28,28,27,23,26.714285714285715
24,Rise Of The Underdogs 2 ft. Tomi Thomas,Show Dem Camp,25,28,24,30,24,19,39,27.0
25,LET IT GO ft. Justin Bieber & 21 Savage,DJ Khaled,24,25,27,32,34,32,30,29.142857142857142
26,Problem,Kaptain,29,30,31,35,31,26,26,29.714285714285715
27,Having Our Way ft. Drake,Migos,42,46,32,18,21,21,32,30.285714285714285
28,Rich Off Pain ft. Lil Durk & Rod Wave,LiL Baby,32,29,30,33,32,30,28,30.571428571428573
29,Wishing Well,Juice WRLD,30,27,33,34,33,33,31,31.571428571428573
30,Ball If I Want To,DaBaby,28,31,26,26,29,44,48,33.142857142857146
31,RAPSTAR,POLO G,40,36,35,31,35,35,33,35.0
32,Secure The Bag ft. Jeriq,Dremo,34,33,34,37,36,38,36,35.42857142857143
33,Hats Off ft. Lil Durk & Travis Scott,LiL Baby,38,41,37,40,37,36,37,38.0
34,Imakwa ft. Jeriq,Dremo,36,37,42,41,39,41,34,38.57142857142857
35,Jollof Rice ft. Duncan Mighty,Erigga,35,38,43,43,43,37,35,39.142857142857146
36,"Body (Remix) ft. Russ Millions, ArrDee, E1 (3x3), ZT (3x3) & Bugzy Malone",Tion Wayne,33,34,38,42,46,42,42,39.57142857142857
37,Up,Cardi B,41,39,50,36,38,50,38,41.714285714285715
38,The Woo ft. 50 Cent & Roddy Ricch,Pop Smoke,39,40,41,39,50,47,44,42.857142857142854
39,Robbery,Juice WRLD,46,44,49,48,42,39,41,44.142857142857146
40,Tonongo ft. Sarz,Lojay,21,24,19,23,12,201,17,45.285714285714285
41,For The Night ft. Lil Baby & DaBaby,Pop Smoke,47,43,46,44,47,48,45,45.714285714285715
42,Jack,Nasty C,26,32,21,19,27,201,29,50.714285714285715
43,Oliver Twist,ArrDee,48,45,45,201,44,45,40,66.85714285714286
44,Fans,2jaja,201,201,23,11,22,12,27,71.0
45,Breathe ft. Chike,A-Q,31,35,36,45,201,201,47,85.14285714285714
46,734,Juice WRLD,45,42,44,201,48,201,43,89.14285714285714
47,Toosie Slide,Drake,44,47,201,201,41,201,46,111.57142857142857
48,Thot Shit,Megan Thee Stallion,201,201,39,21,30,201,201,127.71428571428571
49,Fame & Riches ft. Roddy Ricch,POLO G,201,201,48,38,40,201,201,132.85714285714286
50,In Love ft. Satyango,Kaptain,201,48,201,49,201,46,201,135.28571428571428
51,All Girls Are The Same,Juice WRLD,50,201,201,201,49,201,50,136.14285714285714
52,SIR BAUDELAIRE ft. DJ Drama,"Tyler, The Creator",201,19,40,201,201,201,201,152.0
53,Laugh Now Cry Later ft. Lil Durk,Drake,201,201,201,50,45,201,201,157.14285714285714
54,The Box,Roddy Ricch,49,201,47,201,201,201,201,157.28571428571428
55,Shedi Bala Bala,Dj Basplit,201,49,201,201,201,201,49,157.57142857142858
56,Gbese Gbese,Kaptain,201,50,201,201,201,49,201,157.71428571428572
57,Fvck boy (selah) ft. Jay rhymes & killertunes,Yunderscoreblack,201,201,201,201,201,201,19,175.0
58,Many Men (Wish Death),50 Cent,201,201,201,201,201,25,201,175.85714285714286
59,Mockingbird,Eminem,201,201,201,201,201,29,201,176.42857142857142
60,Westside Story ft. 50 Cent,The Game,201,201,201,201,201,31,201,176.71428571428572
61,Dear Mama,2Pac,201,201,201,201,201,34,201,177.14285714285714
62,SIR BAUDELAIRE,"Tyler, The Creator",37,201,201,201,201,201,201,177.57142857142858
63,Song Cry,JAY-Z,201,201,201,201,201,40,201,178.0
64,ROCKSTAR ft. Roddy Ricch,DaBaby,43,201,201,201,201,201,201,178.42857142857142
65,Jesus Walks,Kanye West,201,201,201,201,201,43,201,178.42857142857142
66,Drugs N Hella Melodies (feat. Kali Uchis),Don Toliver,201,201,201,46,201,201,201,178.85714285714286
67,p r i d e . i s . t h e . d e v i l ft. Lil Baby,J. Cole,201,201,201,47,201,201,201,179.0
