rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Matriculation (Intro),PlaTBoss,1,1,1,1,1,1,1,1.0
2,Hustler's Tale,PlaTBoss,2,2,2,2,2,2,3,2.142857142857143
3,Politics and Lies,PlaTBoss,3,3,3,3,3,4,4,3.2857142857142856
4,Trust Issues,PlaTBoss,4,4,4,4,4,5,5,4.285714285714286
5,Tomorrow Never Comes,PlaTBoss,6,5,5,5,5,6,6,5.428571428571429
6,Monalisa ft. Sarz,Lojay,5,7,7,7,7,3,2,5.428571428571429
7,Balling,PlaTBoss,7,6,6,6,6,7,7,6.428571428571429
8,Living It Up,PlaTBoss,8,8,8,8,8,8,8,8.0
9,Indifferent,PlaTBoss,10,9,9,9,9,9,9,9.142857142857142
10,Graduation,PlaTBoss,11,10,10,10,10,10,10,10.142857142857142
11,Koleyewon,Naira Marley,9,11,11,12,12,12,12,11.285714285714286
12,Check Yourself,Kaptain,12,12,12,11,11,11,11,11.428571428571429
13,Early Momo ft. Good Girl LA,Vector,15,16,16,15,13,13,13,14.428571428571429
14,System ft. WizKid,Dave,13,13,13,13,17,21,16,15.142857142857142
15,Many Nites,Erigga,17,14,14,16,15,17,17,15.714285714285714
16,Jack,Nasty C,16,15,15,14,16,16,21,16.142857142857142
17,Dimension ft. Skepta & Rema,Jae5,18,18,18,17,14,15,14,16.285714285714285
18,Second Sermon,Black Sherif,14,17,17,18,20,20,18,17.714285714285715
19,Non Living Thing feat. Oxlade,Sarkodie,19,20,20,21,21,14,15,18.571428571428573
20,For the Money ft. Peruzzi,Phyno,20,19,19,20,19,19,20,19.428571428571427
21,All My Life (feat. Oxlade),M.I Abaga,21,21,21,19,18,18,19,19.571428571428573
22,Late At Night,Roddy Ricch,22,22,22,22,22,22,22,22.0
23,Dick Appointment,Erigga,23,23,23,23,23,23,23,23.0
24,Align ft. LadiPoe,Show Dem Camp,25,24,24,24,24,30,30,25.857142857142858
25,Tonongo ft. Sarz,Lojay,27,26,26,32,25,24,24,26.285714285714285
26,Wahala Dey,Erigga,26,27,27,28,26,29,27,27.142857142857142
27,Dior,Pop Smoke,28,28,28,27,27,28,26,27.428571428571427
28,Stay High,Juice WRLD,32,29,29,26,28,27,31,28.857142857142858
29,Lazarus ft. Boj,Dave,24,25,25,25,30,45,39,30.428571428571427
30,Die Young,Roddy Ricch,30,30,30,31,32,33,29,30.714285714285715
31,The Box,Roddy Ricch,34,34,34,29,29,31,25,30.857142857142858
32,Mood Swings ft. Lil Tjay,Pop Smoke,31,31,31,30,33,35,35,32.285714285714285
33,Clash ft. Stormzy,Dave,33,42,42,40,31,26,28,34.57142857142857
34,Bout A Million ft. 21 Savage & 42 Dugg,Pop Smoke,37,33,33,35,38,34,32,34.57142857142857
35,Sorry ft. Mohbad,Balloranking,39,32,32,42,41,38,34,36.857142857142854
36,I No Wear Pant,Erigga,36,37,37,33,40,36,40,37.0
37,Voice of the Heroes ft. Lil Durk,LiL Baby,38,38,38,38,36,37,37,37.42857142857143
38,Up,Cardi B,29,40,40,36,37,39,42,37.57142857142857
39,Down Below,Roddy Ricch,47,36,36,39,34,42,44,39.714285714285715
40,Wishing Well,Juice WRLD,41,39,39,34,42,41,43,39.857142857142854
41,East To West ft. Jeriq,Dremo,40,35,35,37,45,47,41,40.0
42,Ego ft. Jeriq,Dremo,35,41,41,41,43,46,45,41.714285714285715
43,Coachella feat. Kwesi Arthur,Sarkodie,44,48,48,47,39,32,36,42.0
44,Tell The Vision ft. Kanye West & Pusha T,Pop Smoke,45,45,45,45,44,44,38,43.714285714285715
45,High Fashion (feat. Mustard),Roddy Ricch,46,44,44,43,46,49,49,45.857142857142854
46,Tycoon ft. Reminisce & Mojo,Show Dem Camp,48,46,46,201,35,25,33,62.0
47,LV N ATTN feat. Wizkid ft. Sarz & Wizkid,Lojay,43,50,50,201,47,40,47,68.28571428571429
48,Jollof Rice ft. Duncan Mighty,Erigga,50,47,47,44,201,201,48,91.14285714285714
49,Robbery,Juice WRLD,49,201,201,46,48,50,46,91.57142857142857
50,God's Eyes,Roddy Ricch,201,201,201,48,49,48,50,114.0
51,War Baby,Roddy Ricch,201,49,49,50,50,201,201,114.42857142857143
52,"Crown Of Clay (Remix) ft. Dip Doundou Guiss, Khaligraph Jones & Ashs The Best",Vector,42,43,43,201,201,201,201,133.14285714285714
53,Motley Crew,Post Malone,201,201,201,201,201,43,201,178.42857142857142
54,"Body (Remix) ft. Russ Millions, ArrDee, E1 (3x3), ZT (3x3) & Bugzy Malone",Tion Wayne,201,201,201,49,201,201,201,179.28571428571428
