,Position,song,artist
0,1,Feeling,LADIPOE
1,2,La go,Kiff No Beat
2,3,KOLO (feat. Oxlade),Ice Prince
3,4,In My Bed,Rotimi
4,5,Jack,Nasty C
5,6,Second Sermon,Black Sherif
6,7,All My Life (feat. Oxlade),M.I Abaga
7,8,Omo X 100,Reminisce
8,9,Coachella,Sarkodie
9,10,Ghetto (feat. Nasty C),Kizz Daniel
10,11,Pockets,Octopizzo
11,12,Yafun Yafun,Ajebo Hustlers
12,13,Vibration,Sarkodie
13,14,Tycoon,Show Dem Camp
14,15,Ofr3,$pacely
15,22,Rise Of The Underdogs 2,Show Dem Camp
16,23,Decisions,Jay Bahd
17,24,Eazy,Nasty C
18,25,Euphoria,PsychoYP
19,26,Money Calling,P Montana
20,27,Kokonsa,Omar Sterling
21,28,RBG,Elzo Jamdong
22,29,DKM (Ma Pa Mi),Loti
23,30,Heartbreaker (feat. Nasty C),Blaqbonez
24,31,Bazenga,Ethic Entertainment
25,32,Best I Ever Had,Nasty C
26,33,Y3 Y3 DOM,Jay Bahd
27,34,Fierce,Laycon
28,35,Breathe,A-Q
29,36,First Sermon,Black Sherif
30,37,Ye x4,Blxckie
31,38,Winning,Kwesi Arthur
32,39,I Want,Chris Kaiga
33,40,Long Way,Emtee
34,41,W.A.G (feat. Sarkodie & Youssoupha),Rouge
35,42,Crown Of Clay,Vector
36,43,Nikwa Ni Shoke,Khaligraph Jones
37,44,Wavy (feat. Sarkodie),Khaligraph Jones
38,45,Sinner,Smallgod
39,46,Sore (Remix),Yaw Tog
40,47,"Loose Guard (I See, I Saw) (Remix)",Legendary Styles
41,48,Lemme Know (Remix),LADIPOE
42,49,Village To City,Alpha Bankz
43,50,Dumelang,Tumi Tladi
