rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Round 2 (feat. Giggs),"Sarkodie, Giggs",1,1,1,1,1,1,1,1.0
2,Feeling,LADIPOE,2,9,2,2,2,2,2,3.0
3,Longtime (feat. Skepta),WizKid,15,2,5,5,4,6,3,5.714285714285714
4,Guestlist,Frenna,3,3,21,3,3,3,6,6.0
5,Make Up Your Mind (feat. Tekno),Ice Prince,17,5,13,18,8,18,4,11.857142857142858
6,Django,Frenna,8,14,14,9,13,13,13,12.0
7,Jack,Nasty C,13,22,20,10,14,4,5,12.571428571428571
8,Black And White,Nasty C,4,12,36,4,7,12,16,13.0
9,Alakori,Falz,20,11,6,23,18,5,10,13.285714285714286
10,Animalistic,Kida Kudz,5,4,33,6,33,8,14,14.714285714285714
11,First Sermon,Black Sherif,33,30,10,8,5,10,27,17.571428571428573
12,Midf (Money I Dey Find),Ycee,9,6,11,33,36,20,11,18.0
13,Siberia (feat. Burna Boy),Headie One,12,17,8,13,15,44,20,18.428571428571427
14,Wavy (feat. Sarkodie),Khaligraph Jones,7,10,18,21,10,39,31,19.428571428571427
15,A Million,Mannywellz,16,8,31,14,27,16,24,19.428571428571427
16,God's Work (feat. iLL BLU),IAMDDB,14,7,44,11,6,25,33,20.0
17,Play Play (feat. Burna Boy),J Hus,6,13,28,38,20,31,12,21.142857142857142
18,Second Sermon,Black Sherif,18,19,4,32,17,17,41,21.142857142857142
19,Lazarus (feat. Boj),Dave,11,18,12,34,35,32,7,21.285714285714285
20,African Girl Bad,Zoro,24,39,39,24,23,7,8,23.428571428571427
21,Long Way From Home,PsychoYP,38,36,9,19,30,29,9,24.285714285714285
22,Ball Till We Fall,Kida Kudz,23,15,25,16,25,38,29,24.428571428571427
23,Dragon Roll,Frenna,27,21,30,25,21,26,21,24.428571428571427
24,Location (feat. Burna Boy),Dave,21,28,22,28,26,22,26,24.714285714285715
25,Best I Ever Had,Nasty C,25,29,3,31,42,21,30,25.857142857142858
26,AMMO,Shane Eagle,10,26,48,20,24,24,37,27.0
