rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Tycoon,"Show Dem Camp, Reminisce, Mojo",1,1,1,1,1,1,1,1
2,Feeling,LADIPOE,4,4,4,3,2,2,2,3
3,Longtime (feat. Skepta),WizKid,3,2,3,2,9,5,3,3.857142857
4,Guestlist,Frenna,5,5,2,4,6,4,4,4.285714286
5,Alakori,Falz,12,6,8,12,4,3,7,7.428571429
6,Make Up Your Mind (feat. Tekno),Ice Prince,9,3,5,11,3,15,14,8.571428571
7,Black And White,Nasty C,15,16,6,6,13,18,6,11.42857143
8,Jack,Nasty C,2,26,17,15,7,13,11,13
9,African Girl Bad,Zoro,26,8,18,5,5,9,20,13
10,Siberia (feat. Burna Boy),Headie One,8,10,15,7,12,26,17,13.57142857
11,Animalistic,Kida Kudz,22,11,25,13,8,12,5,13.71428571
12,Dragon Roll,Frenna,27,22,11,9,11,10,10,14.28571429
13,Crown Of Clay,Vector,20,20,9,19,14,6,19,15.28571429
14,A Million,Mannywellz,7,7,28,14,15,16,33,17.14285714
15,Location (feat. Burna Boy),Dave,14,19,20,37,23,17,8,19.71428571
16,Midf (Money I Dey Find),Ycee,17,23,16,35,10,21,26,21.14285714
17,Sore,Remix - Yaw Tog,21,38,7,32,21,8,32,22.71428571
18,Best I Ever Had,Nasty C,25,9,32,21,27,7,44,23.57142857
19,God's Work (feat. iLL BLU),IAMDDB,29,33,21,10,16,23,35,23.85714286
20,Play Play (feat. Burna Boy),J Hus,18,14,10,42,18,33,34,24.14285714
21,My Brudda,Yung Nnelg,11,27,31,22,29,37,15,24.57142857
22,Wavy (feat. Sarkodie),Khaligraph Jones,23,37,41,8,32,28,13,26
23,AMMO,Shane Eagle,16,24,22,48,38,25,12,26.42857143
24,TBDK (feat. Sinzu & Erigga),M.I. Abaga,39,25,14,28,40,11,29,26.57142857
25,First Sermon,Black Sherif,44,18,26,46,19,14,28,27.85714286
26,Sinner,"Smallgod, Kwaku DMC, Lp2loose",42,15,23,18,41,49,9,28.14285714
27,Grandad,NSG,47,21,34,20,24,24,30,28.57142857
28,Heartbreaker (feat. Nasty C),Blaqbonez,19,30,37,31,36,22,25,28.57142857
29,Winning,Kwesi Arthur,38,12,39,24,31,36,23,29
30,Ball Till We Fall,Kida Kudz,13,17,13,50,30,31,49,29
31,Level Up,Kmw,32,36,19,23,20,32,55,31
32,Long Way From Home,PsychoYP,6,34,36,17,56,52,22,31.85714286
33,Django,Frenna,36,13,42,16,45,20,52,32
34,Ye x4,Blxckie,10,49,27,26,50,27,38,32.42857143
35,Vibration,Sarkodie,28,52,30,29,42,41,18,34.28571429
36,Coachella,Sarkodie,33,43,24,40,26,19,61,35.14285714
37,Hapo Tu (feat. Chris Kaiga),Nyashinski,48,32,47,25,25,35,37,35.57142857
38,Hmm,Remix - G4 Boyz,55,28,12,43,28,48,46,37.14285714
39,FAIS ÇA BIEN,Damso,51,35,35,38,17,45,40,37.28571429
40,Africana (feat. Victoria Kimani),Silverstone Barz,43,40,29,27,33,54,43,38.42857143
41,Smoke From Fire (with The Hics),Bas,24,42,43,45,22,43,56,39.28571429
42,Fantastic!,Suté Iwar,62,51,33,34,46,29,21,39.42857143
43,David,Blxckie,30,29,44,36,60,38,48,40.71428571
44,Second Sermon,Black Sherif,54,56,52,39,43,30,16,41.42857143
45,Euphoria,PsychoYP,41,45,46,33,44,46,59,44.85714286
46,Medusa,H Magnum,40,48,59,55,37,42,39,45.71428571
47,DONE,Frida Amani,49,31,60,49,47,34,54,46.28571429
48,Ox,Gabe 'Nandez,31,39,56,52,39,50,60,46.71428571
49,K:HOVA,K.O,34,41,54,44,58,55,42,46.85714286
50,It's Not A Gun,DAP The Contract,46,46,57,41,59,40,41,47.14285714
51,THE 5 YEAR PLAN,A-Reece,37,44,61,30,53,58,47,47.14285714
52,Amigo,Lous and The Yakuza,45,50,48,53,35,47,57,47.85714286
53,Problem No Dey Finish,BRYAN THE MENSAH,57,61,38,57,34,51,51,49.85714286
54,Mona Lisa,Booba,50,58,49,47,52,44,50,50
55,ASTRONAUTE,Youssoupha,52,55,50,51,49,56,45,51.14285714
56,Σ. MOROSE,Damso,35,54,45,58,51,59,62,52
57,My Heart,Pappy Kojo,56,57,53,60,61,61,24,53.14285714
58,Real Ones,Breeder LW,59,53,62,59,57,53,31,53.42857143
59,GYM,Kiki Marley,60,62,40,61,54,62,36,53.57142857
60,Deep In Da Streets,TNT Kenya,58,47,51,56,55,57,53,53.85714286
61,Question For The Gods,M3NSA,61,59,58,54,62,39,58,55.85714286
62,RE(a)D (with Bas),Dua Saleh,53,60,55,62,48,60,63,57.28571429
63,Solace,Ajebo Hustlers,301,301,301,301,301,63,27,227.8571429
64,Cheki,Oznardi,301,301,301,301,301,64,64,233.2857143
